id,name,count
2,terrainFiller,2302
16,terrGravel,180
18,terrConcrete,33
259,woodShapes:cube,669
268,woodShapes:cubeHalfCorner,7
274,woodShapes:cubeHalf,100
298,woodShapes:cubeQuarterCenter,2
299,woodShapes:quarterCenteredWall,22
309,woodShapes:cubeQuarter5WayCentered,1
367,woodShapes:polePlate,9
376,woodShapes:cubeQuarterCenteredSquareTop,1
383,woodShapes:plate,11
447,woodShapes:billboard,1
742,woodShapes:wedge60,194
743,woodShapes:wedge60Tip,349
744,woodShapes:wedge60TipHalf,93
745,woodShapes:wedge60TipHalfOutsideCorner,3
746,woodShapes:wedge60TipHalfInsideCorner,1
747,woodShapes:wedge60TipHalfCornerLeft,5
748,woodShapes:wedge60TipHalfCornerRight,5
749,woodShapes:wedge60Corner,5
750,woodShapes:wedge60TipCorner,6
751,woodShapes:wedge60InsideCorner2,2
752,woodShapes:wedge60InsideCorner,5
755,woodShapes:wedge60Incline,108
760,woodShapes:wedge60SplitInclineRight,1
767,woodShapes:wedge60InclineCorner,2
827,woodShapes:wedge60SplitLeft03,1
831,woodShapes:wedge60SplitLeft05,1
853,woodShapes:wedge60InclineHalfLeft,14
854,woodShapes:wedge60InclineHalfRight,14
859,woodShapes:wedge60TipHalfLeft,22
860,woodShapes:wedge60TipHalfRight,22
946,woodShapes:wedgeTipQuarter,22
955,woodShapes:gableQuarterHalf,3
957,woodShapes:gable3Quarter,4
961,woodShapes:gable3QuarterHalf,1
979,woodShapes:gableInvertedQuarterHalf,3
1004,woodShapes:halfRampStairs50Filler,1
1193,woodShapes:stairsFilledQuarterVerticalUV,2
1194,woodShapes:stairsFilledVerticalUV,3
1207,woodShapes:stairsFilledRailingLeft,5
1208,woodShapes:stairsFilledRailingRight,2
1257,woodShapes:railingFloatRight,2
1332,woodShapes:railing,7
1345,woodShapes:cubeBaseboard,27
1351,woodShapes:cubeBaseboard4Sided,38
1354,woodShapes:halfCornerBaseboard4Sided,3
1360,woodShapes:halfBaseboard,2
1365,woodShapes:halfBaseboard4Sided,17
1673,woodShapes:cubeHeatVent,3
1691,woodShapes:halfCrown,4
1697,woodShapes:halfCrownCorner1,4
1698,woodShapes:halfCrownCorner2,3
1701,woodShapes:halfCrownCorner5,1
1702,woodShapes:halfCrownCorner6,1
1711,woodShapes:crown,40
1712,woodShapes:crownStraight,6
1714,woodShapes:crownHalfLeft,1
1716,woodShapes:crownInsideCorner,10
1730,woodShapes:doorTrim1m,4
1738,woodShapes:doorTrimTwoSided,2
1746,woodShapes:windowTrim,53
1747,woodShapes:windowTrimBottom,29
1748,woodShapes:windowTrimSides,6
2053,woodShapes:windowBoarded,10
2160,woodShapes:woodDebris01,1
2161,woodShapes:woodDebris02,1
2162,woodShapes:woodDebris03,3
2178,woodShapes:floorJoist,41
2228,woodShapes:tableDynamic,4
2247,woodShapes:counterHollowCombo,1
2265,woodShapes:bookcaseEmpty,2
2277,woodShapes:tvStand03,2
2278,woodShapes:tvStand04,2
2279,woodShapes:tvStand05,2
2298,woodShapes:ladderSquare,4
7051,concreteShapes:cube,1101
7060,concreteShapes:cubeHalfCorner,2
7066,concreteShapes:cubeHalf,28
7090,concreteShapes:cubeQuarterCenter,11
7175,concreteShapes:plate,1
7455,concreteShapes:arch,2
7482,concreteShapes:plateRound,1
7624,concreteShapes:wedge60SplitRight05,2
7663,concreteShapes:wedgeNarrowHigh,5
7664,concreteShapes:wedgeNarrowMid,5
7665,concreteShapes:wedgeNarrowLow,5
7666,concreteShapes:wedgeNarrowTip,5
7985,concreteShapes:stairsFilledQuarterVerticalUV,2
7986,concreteShapes:stairsFilledVerticalUV,2
7999,concreteShapes:stairsFilledRailingLeft,2
8000,concreteShapes:stairsFilledRailingRight,3
8023,concreteShapes:wedgeTipStairs,3
8026,concreteShapes:wedgeTipStairsOutsideCorner,1
8032,concreteShapes:wedgeStairs,1
8035,concreteShapes:wedgeStairsOutsideCorner,1
8043,concreteShapes:stairsFilledQuarterCrown,1
8137,concreteShapes:cubeBaseboard,89
8143,concreteShapes:cubeBaseboard4Sided,6
8144,concreteShapes:halfCornerBaseboard,1
8152,concreteShapes:halfBaseboard,9
8203,concreteShapes:cubeTrimHalfSplit,21
8273,concreteShapes:cubeTrimQuarterEdge,18
8308,concreteShapes:cubeTrimQuarterCornerInside,8
8314,concreteShapes:cubeTrimQuarterCornerInsideDouble,1
8383,concreteShapes:cubeTrimQuarterEdgeTwoSided,11
8398,concreteShapes:cubeTrimQuarterEdgeDouble,1
8483,concreteShapes:halfCrown,3
9131,concreteShapes:plateSidewalkCrooked,13
9132,concreteShapes:plateSidewalkBroke01,1
9133,concreteShapes:plateSidewalkBroke02,1
9134,concreteShapes:plateSidewalkBroke03,1
9135,concreteShapes:plateSidewalkBroke04,1
13843,corrugatedMetalShapes:cube,1
14081,corrugatedMetalShapes:pillar0.025,6
14083,corrugatedMetalShapes:pillar0.025Centered,1
14291,corrugatedMetalShapes:cubeHalfRamp,2
14769,corrugatedMetalShapes:pillar50PlatePillar0.025,4
14916,corrugatedMetalShapes:railing,22
14918,corrugatedMetalShapes:railingCorner,1
14919,corrugatedMetalShapes:railingBroke01,8
14994,corrugatedMetalShapes:cubeTrimHalfSplit4Sided,1
15314,corrugatedMetalShapes:doorTrim1m,1
15318,corrugatedMetalShapes:doorTrim1mDouble,2
15405,corrugatedMetalShapes:windowStoreThreeSidedFull,4
15558,corrugatedMetalShapes:window01,16
15559,corrugatedMetalShapes:window01Broken,17
15751,corrugatedMetalShapes:scaffoldingLadder,3
15753,corrugatedMetalShapes:scaffoldingPlank,2
15755,corrugatedMetalShapes:scaffoldingPlankSupportedSide,4
