id,name,count
2,terrainFiller,5648
5,terrDirt,50
14,terrDestroyedStone,6
16,terrGravel,275
259,woodShapes:cube,1049
274,woodShapes:cubeHalf,64
310,woodShapes:pole,24
375,woodShapes:plate,80
459,woodShapes:pillar50,4
652,woodShapes:arch,2
695,woodShapes:ramp,14
702,woodShapes:rampInsideCornerFull,1
729,woodShapes:wedge60,127
730,woodShapes:wedge60Tip,225
736,woodShapes:wedge60Corner,2
737,woodShapes:wedge60TipCorner,2
742,woodShapes:wedge60Incline,63
828,woodShapes:wedge60InclineHalfLeft,8
829,woodShapes:wedge60InclineHalfRight,8
832,woodShapes:wedge60TipHalfLeft,14
833,woodShapes:wedge60TipHalfRight,14
918,woodShapes:wedgeTipQuarter,21
927,woodShapes:gableQuarterHalf,2
951,woodShapes:gableInvertedQuarterHalf,2
1138,woodShapes:stairsFilledVerticalUV,10
1147,woodShapes:stairs,3
1149,woodShapes:stairsRailing,3
1186,woodShapes:railingFloatRight,5
1261,woodShapes:railing,11
1264,woodShapes:railingBroke01,9
1295,woodShapes:cubeBaseboardChairRail,38
1298,woodShapes:cubeBaseboardChairRail4Sided,7
1572,woodShapes:cubeHeatVent,4
1610,woodShapes:crown,83
1615,woodShapes:crownInsideCorner,29
1629,woodShapes:doorTrim1m,12
1633,woodShapes:doorTrim1mDouble,1
1645,woodShapes:windowTrim,39
1646,woodShapes:windowTrimBottom,15
1648,woodShapes:windowTrimTop,14
1797,woodShapes:window01,8
1798,woodShapes:window01Broken,8
1800,woodShapes:window01Broken03,6
1801,woodShapes:window01Broken04,2
1802,woodShapes:window01Broken05,2
1872,woodShapes:windowBoarded,6
1977,woodShapes:woodDebris03,3
1980,woodShapes:shantywall03,1
1981,woodShapes:shantywall04,1
1993,woodShapes:floorJoist,109
2040,woodShapes:coffeeTable,1
2042,woodShapes:tableDynamic,9
2055,woodShapes:cupboardCorner,1
2071,woodShapes:cubeTileBroken,3
2091,woodShapes:tvStand04,1
2092,woodShapes:tvStand05,1
2116,woodShapes:trellisDiamond,13
2317,brickShapes:cube,335
3338,brickShapes:cubeBaseboard4Sided,2
3941,brickShapes:brickDestroyed01,31
3954,brickShapes:brickHalfDestroyed05,4
6433,concreteShapes:cube,330
6435,concreteShapes:cubeHalfInsideCorner,6
7311,concreteShapes:stairsFilledQuarterVerticalUV,4
7347,concreteShapes:wedgeTipStairs,1
7351,concreteShapes:wedgeStairs,1
8325,concreteShapes:plateSidewalkCrooked,3
8326,concreteShapes:plateSidewalkBroke01,1
8327,concreteShapes:plateSidewalkBroke02,1
8328,concreteShapes:plateSidewalkBroke03,1
8491,steelShapes:cube,6
8909,steelShapes:cornerRound,12
8916,steelShapes:cubeCornerRoundTop,4
10269,steelShapes:securityGatePlate,3
12607,corrugatedMetalShapes:cube,30
12622,corrugatedMetalShapes:cubeHalf,21
12723,corrugatedMetalShapes:plate,3
13025,corrugatedMetalShapes:cornerRound,2
13037,corrugatedMetalShapes:cubeHalfQuarterRoundOutside,2
13077,corrugatedMetalShapes:wedge60,7
13477,corrugatedMetalShapes:pillar50PlatePillar0.025,1
13977,corrugatedMetalShapes:doorTrim1m,15
14158,corrugatedMetalShapes:window04Broken01,4
14328,corrugatedMetalShapes:shantywall03,1
14329,corrugatedMetalShapes:shantywall04,3
16904,cntWeaponsBagSmall,1
16911,cntAmmoPileSmall,1
16921,cntMedicLootPileA,1
16928,cntFoodPileSmallRandomHelper,1
16953,cntLootChestHeroInsecureT1,1
16972,cntQuestInfestedT1LootHelper,1
17038,cntCabinetBottomFiller,1
17053,cntCabinetOldBottomLootHelper,2
17059,cntCounterHollowCabinetOldRandomLootHelper,1
17061,cntCupboardCabinetOldTopLootHelper,3
17064,cntCupboardCornerCNROld,2
17070,utilitySink,1
17071,sinkKitchen,1
17072,pedestalSink,1
17080,showerHead,1
17085,cntBathTubsRandomLootHelper,1
17088,cntToilet02,1
17105,cntMedicineCabinetClosedRandomLootHelper,1
17130,cntbasketLaundryWhiteRandomLootHelper,1
17145,cntTrashPile01,2
17146,cntTrashPile02,1
17147,cntTrashPile03,1
17148,cntTrashPile04,2
17149,cntTrashPile05,3
17150,cntTrashPile06,2
17151,cntTrashPile07,2
17152,cntTrashPile08,1
17153,cntTrashPile09,2
17154,garbage_decor1,6
17155,garbage_decor2,10
17156,garbage_decor3,5
17163,scrapMetalPile,1
17174,cntBinTrashMetalWhiteRandomLootHelper,1
17241,cntUtilityCartRandomLootHelper,1
17263,cntBackpack01,2
17287,cntLuggageMediumRandomLootHelper,1
17296,cntLuggagePileBRandomLootHelper,1
17297,cntBagsRandomLootHelper,1
17310,airConditioner,1
17424,conduit01,1
17425,conduit01End,1
17491,cntRetroFridgeVer2Open,1
17492,cntRetroFridgeRandomLootHelper,1
17497,hoodRangeWhite,1
17509,cntStoveOldVer2Open,1
17513,cntStoveRandomLootHelper,1
17555,cntWasherRandomLootHelper,1
17559,cntDryerRandomLootHelper,1
17572,cntToaster,1
17573,cntCoffeeMaker,1
