id,name,count
2,terrainFiller,5088
16,terrGravel,168
17,terrAsphalt,78
259,woodShapes:cube,506
274,woodShapes:cubeHalf,87
310,woodShapes:pole,12
368,woodShapes:cubeQuarterCenteredSquareTop,1
375,woodShapes:plate,176
429,woodShapes:arrowSlitHalf,13
430,woodShapes:arrowSlitQuarter,2
694,woodShapes:ramp,41
709,woodShapes:rampOutsideCornerFull,2
728,woodShapes:wedge60,13
729,woodShapes:wedge60Tip,59
741,woodShapes:wedge60Incline,14
774,woodShapes:rampInclineInsideCnr,6
775,woodShapes:rampInclineHalfLeft,8
776,woodShapes:rampInclineHalfRight,8
827,woodShapes:wedge60InclineHalfLeft,2
828,woodShapes:wedge60InclineHalfRight,2
831,woodShapes:wedge60TipHalfLeft,6
832,woodShapes:wedge60TipHalfRight,6
851,woodShapes:wedgeRampLeft,1
852,woodShapes:wedgeRampRight,1
853,woodShapes:wedgeTipRampLeft,1
854,woodShapes:wedgeTipRampRight,1
903,woodShapes:wedgeTipHalf,21
925,woodShapes:gableHalf,2
928,woodShapes:gable3Quarter,9
932,woodShapes:gable3QuarterHalf,2
964,woodShapes:gablePyramid,1
976,woodShapes:rampIncline,108
977,woodShapes:rampInclineFiller,72
978,woodShapes:rampInclineFillerHalfLeft,6
979,woodShapes:rampInclineFillerHalfRight,6
980,woodShapes:rampInclineInsideCnrFiller,4
982,woodShapes:rampInclineOutsideCnr,6
983,woodShapes:rampInclineOutsideCnrFiller,4
1136,woodShapes:stairsFilledQuarterVerticalUV,7
1148,woodShapes:stairsRailing,3
1196,woodShapes:catwalkV1RailOnly,4
1260,woodShapes:railing,9
1262,woodShapes:railingCorner,2
1273,woodShapes:cubeBaseboard,18
1399,woodShapes:cubeTrimQuarterEdge,2
1430,woodShapes:cubeTrimQuarterCornerOutside,4
1609,woodShapes:crown,42
1614,woodShapes:crownInsideCorner,18
1628,woodShapes:doorTrim1m,12
1634,woodShapes:doorTrim2m,6
1635,woodShapes:doorTrimTop,3
1644,woodShapes:windowTrim,32
1645,woodShapes:windowTrimBottom,36
1646,woodShapes:windowTrimSides,2
1871,woodShapes:windowBoarded,2
