id,name,count
2,terrainFiller,7459
5,terrDirt,21
14,terrDestroyedStone,3
16,terrGravel,253
259,woodShapes:cube,722
262,woodShapes:cubeThreeQuarter,8
274,woodShapes:cubeHalf,104
316,woodShapes:pole,42
322,woodShapes:poleTwoWayCorner,2
323,woodShapes:poleThreeWayCorner,2
345,woodShapes:cubePoleCorner,3
367,woodShapes:polePlate,8
380,woodShapes:cubeHalfPlateCorner2,4
383,woodShapes:plate,51
413,woodShapes:plateHalf,10
427,woodShapes:platePoleCorner,2
447,woodShapes:billboard,18
469,woodShapes:pillar50Corner,4
486,woodShapes:pillar50CornerSquareTop,2
487,woodShapes:pillar50CornerSquareBottom,2
500,woodShapes:pillar0.025Middle,1
501,woodShapes:pillar0.025MiddleHalf,1
518,woodShapes:poleSupport,2
519,woodShapes:poleSupport2,2
627,woodShapes:cube7mRound05,6
634,woodShapes:cubeQuarter7mRound02,3
635,woodShapes:cubeQuarter7mRound03,3
636,woodShapes:cubeQuarter7mRound04,3
696,woodShapes:cubeHalfQuarterRoundInside,4
705,woodShapes:ramp,5
741,woodShapes:wedge60,91
742,woodShapes:wedge60Tip,78
864,woodShapes:wedgeNarrowHigh,15
865,woodShapes:wedgeNarrowMid,12
866,woodShapes:wedgeNarrowLow,12
867,woodShapes:wedgeNarrowTip,36
948,woodShapes:gableQuarterHalf,1
999,woodShapes:rampInclineFiller,1
1179,woodShapes:pillar50PlatePillar0.05,1
1186,woodShapes:stairsFilledQuarterVerticalUV,9
1187,woodShapes:stairsFilledVerticalUV,8
1196,woodShapes:stairs,2
1198,woodShapes:stairsRailing,5
1200,woodShapes:stairsFilledRailingLeft,5
1243,woodShapes:stairsFilledQuarterCrown2,1
1323,woodShapes:railing,2
1325,woodShapes:railingCorner,1
1326,woodShapes:railingBroke01,3
1336,woodShapes:cubeBaseboard,8
1351,woodShapes:halfBaseboard,6
1371,woodShapes:halfChairRail,4
1402,woodShapes:cubeTrimHalfSplit,38
1405,woodShapes:halfTrimSplit,7
1472,woodShapes:cubeTrimQuarterEdge,25
1507,woodShapes:cubeTrimQuarterCornerInside,8
1565,woodShapes:cubeTrimHalfSplitDiagonal,24
1572,woodShapes:cubeTrimSplitWedge60Left,1
1573,woodShapes:cubeTrimSplitWedge60Right,1
1582,woodShapes:cubeTrimQuarterEdgeTwoSided,32
1630,woodShapes:wedge60TrimQuarterLeftFiller,3
1631,woodShapes:wedge60TrimQuarterRightFiller,4
1632,woodShapes:wedge60TrimQuarterLeft2Sided,6
1633,woodShapes:wedge60TrimQuarterRight2Sided,6
1634,woodShapes:wedge60TipTrimQuarterLeft2Sided,6
1635,woodShapes:wedge60TipTrimQuarterRight2Sided,6
1636,woodShapes:wedgeNarrowHighLeftTrim2Sided,2
1637,woodShapes:wedgeNarrowMidLeftTrim2Sided,3
1638,woodShapes:wedgeNarrowLowLeftTrim2Sided,3
1639,woodShapes:wedgeNarrowTipLeftTrim2Sided,4
1640,woodShapes:wedgeNarrowBottomTrimLeft,4
1642,woodShapes:wedgeNarrowHighRightTrim2Sided,2
1643,woodShapes:wedgeNarrowMidRightTrim2Sided,3
1644,woodShapes:wedgeNarrowLowRightTrim2Sided,3
1645,woodShapes:wedgeNarrowTipRightTrim2Sided,4
1650,woodShapes:wedgeNarrowBottomTrimRight,4
1670,woodShapes:halfCrown,22
1676,woodShapes:halfCrownCorner1,8
1677,woodShapes:halfCrownCorner2,7
1680,woodShapes:halfCrownCorner5,1
1681,woodShapes:halfCrownCorner6,3
1690,woodShapes:crown,67
1695,woodShapes:crownInsideCorner,13
1700,woodShapes:crownThreeSidedLeftHalf,1
1707,woodShapes:doorTrim0.5m,1
1709,woodShapes:doorTrim1m,37
1715,woodShapes:doorTrim2m,9
1716,woodShapes:doorTrimTop,2
1717,woodShapes:doorTrimTwoSided,4
1725,woodShapes:windowTrim,84
1726,woodShapes:windowTrimBottom,44
1727,woodShapes:windowTrimSides,9
1728,woodShapes:windowTrimTop,8
1737,woodShapes:archDoorTrim,2
1800,woodShapes:windowStoreThreeSidedFull,30
1801,woodShapes:windowStoreFourSidedFull,12
1815,woodShapes:windowStoreThreeSidedBroken,12
1816,woodShapes:windowStoreFourSidedBroken,3
1827,woodShapes:windowStoreOneSidedEmpty,43
1828,woodShapes:windowStoreTwoSidedEmpty,3
1829,woodShapes:windowStoreThreeSidedEmpty,4
1986,woodShapes:archWindow,2
2032,woodShapes:windowBoarded,84
2038,woodShapes:windowPanel,1
2064,woodShapes:cubeTrimDestroyed04,1
2065,woodShapes:cubeTrimDestroyed05,2
2137,woodShapes:woodDebris02,1
2138,woodShapes:woodDebris03,1
2141,woodShapes:shantywall03,1
2142,woodShapes:shantywall04,2
2154,woodShapes:floorJoist,87
2159,woodShapes:wallStud,23
2203,woodShapes:table,5
2225,woodShapes:plateCounter02,6
2228,woodShapes:plateCounterHole,1
2233,woodShapes:cubeTileBroken,8
2239,woodShapes:cubeHalfBookshelfDouble,5
2240,woodShapes:cubeHalfBookshelfTriple,7
2249,woodShapes:bookcaseQuarterDoubleEmptyOffset,1
2250,woodShapes:bookcaseOpenEnded,2
2252,woodShapes:tvStand02,1
2267,woodShapes:pictureFrame,1
2269,woodShapes:mirror,2
2279,woodShapes:trellisDiamond,25
2296,woodShapes:fencePicketFull,45
2297,woodShapes:fencePicketBroken01,4
2298,woodShapes:fencePicketBroken02,10
2299,woodShapes:fencePicketBroken03,9
2300,woodShapes:fencePicketBroken04,2
2301,woodShapes:fencePicketBroken05,3
2302,woodShapes:fencePicketFallen,2
2499,brickShapes:cube,26
2514,brickShapes:cubeHalf,26
2522,brickShapes:cubeCornerBeveled,2
3427,brickShapes:stairsFilledVerticalUV,11
3428,brickShapes:stairsFilledCorner,2
3641,brickShapes:cubeTrimHalfSplit4Sided,5
3642,brickShapes:cubeTrimHalfSplit,33
3822,brickShapes:cubeTrimQuarterEdgeTwoSided,3
3828,brickShapes:cubeTrimQuarterCornerOutsideTwoSided,2
4283,brickShapes:brickDestroyed01,1
4303,brickShapes:cubeTrimDestroyed03,1
4307,brickShapes:cubeTrimDestroyed07,1
5702,cobblestoneShapes:wedgeTipStairs,4
5711,cobblestoneShapes:wedgeStairs,4
6979,concreteShapes:cube,487
6981,concreteShapes:cubeHalfInsideCorner,1
6994,concreteShapes:cubeHalf,9
7017,concreteShapes:cubeQuarter,2
7103,concreteShapes:plate,1
7133,concreteShapes:plateHalf,2
7382,concreteShapes:arch,2
7409,concreteShapes:plateRound,4
7418,concreteShapes:cubeQuarterRoundOutside,2
7425,concreteShapes:ramp,2
