id,name,count
1,terrStone,703
2,terrainFiller,54689
5,terrDirt,9900
14,terrDestroyedStone,46
16,terrGravel,1866
21,terrOreCoal,16
259,woodShapes:cube,3637
274,woodShapes:cubeHalf,93
297,woodShapes:cubeQuarter,222
299,woodShapes:quarterCenteredWall,2
302,woodShapes:quarterInsideCorner,4
303,woodShapes:quarterInsideCorner3way,18
306,woodShapes:quarterTeeCentered,1
316,woodShapes:pole,172
318,woodShapes:poleSideCentered,9
383,woodShapes:plate,70
413,woodShapes:plateHalf,20
438,woodShapes:arrowSlitQuarter,2
467,woodShapes:pillar50,8
518,woodShapes:poleSupport,1
519,woodShapes:poleSupport2,1
662,woodShapes:arch,14
705,woodShapes:ramp,488
713,woodShapes:rampInsideCornerFull,3
721,woodShapes:rampOutsideCornerFull,5
741,woodShapes:wedge60,448
742,woodShapes:wedge60Tip,463
743,woodShapes:wedge60TipHalf,25
744,woodShapes:wedge60TipHalfOutsideCorner,2
748,woodShapes:wedge60Corner,2
750,woodShapes:wedge60InsideCorner2,1
751,woodShapes:wedge60InsideCorner,2
754,woodShapes:wedge60Incline,42
766,woodShapes:wedge60InclineCorner,1
792,woodShapes:rampInclineHalfLeft,6
793,woodShapes:rampInclineHalfRight,6
848,woodShapes:wedge60InclineHalfLeft,2
849,woodShapes:wedge60InclineHalfRight,2
852,woodShapes:wedge60TipHalfLeft,3
853,woodShapes:wedge60TipHalfRight,3
858,woodShapes:wedge60TipCornerBase,33
859,woodShapes:wedge60TipCornerTop,33
860,woodShapes:wedgeInsideCornerBase,28
861,woodShapes:wedgeInsideCornerTop,26
925,woodShapes:wedgeTipHalf,52
947,woodShapes:gableHalf,2
962,woodShapes:gableInvertedHalf,50
1000,woodShapes:rampInclineFillerHalfLeft,5
1001,woodShapes:rampInclineFillerHalfRight,5
1187,woodShapes:stairsFilledVerticalUV,31
1198,woodShapes:stairsRailing,10
1200,woodShapes:stairsFilledRailingLeft,11
1248,woodShapes:railingFloatRight,9
1251,woodShapes:catwalkV1,5
1254,woodShapes:catwalkV1Corner,2
1259,woodShapes:catwalkV1RailOnly,7
1323,woodShapes:railing,36
1326,woodShapes:railingBroke01,12
1336,woodShapes:cubeBaseboard,128
1342,woodShapes:cubeBaseboard4Sided,21
1361,woodShapes:cubeBaseboardChairRail,57
1362,woodShapes:cubeBaseboardChairRail2Sided,2
1364,woodShapes:cubeBaseboardChairRail4Sided,2
1690,woodShapes:crown,347
1695,woodShapes:crownInsideCorner,111
1725,woodShapes:windowTrim,117
1726,woodShapes:windowTrimBottom,53
1727,woodShapes:windowTrimSides,6
1728,woodShapes:windowTrimTop,24
1732,woodShapes:windowTrimTopFancy,1
1961,woodShapes:window02Broken01,9
1962,woodShapes:window02Broken02,14
1963,woodShapes:window02Broken03,14
1989,woodShapes:arch3mWindowCorner,4
1990,woodShapes:arch3mCenterWindow,1
2032,woodShapes:windowBoarded,11
2037,woodShapes:windowCentered,33
2136,woodShapes:woodDebris01,11
2137,woodShapes:woodDebris02,11
2138,woodShapes:woodDebris03,11
2141,woodShapes:shantywall03,23
2142,woodShapes:shantywall04,21
2153,woodShapes:sawhorse,14
2154,woodShapes:floorJoist,257
2159,woodShapes:wallStud,24
2202,woodShapes:coffeeTable,2
2203,woodShapes:table,13
2204,woodShapes:tableDynamic,18
2205,woodShapes:tableDynamicHalf,1
2217,woodShapes:cupboardCorner,24
2218,woodShapes:buffetCounter,1
2279,woodShapes:trellisDiamond,16
2288,woodShapes:fence,11
4283,brickShapes:brickDestroyed01,11
4286,brickShapes:brickDestroyed04,1
