id,name,count
2,terrainFiller,7888
16,terrGravel,910
29,terrStoneHelper,1331
259,woodShapes:cube,163
274,woodShapes:cubeHalf,9
310,woodShapes:pole,16
375,woodShapes:plate,18
387,woodShapes:plateCorner,4
439,woodShapes:billboard,8
937,woodShapes:gablePlate,1
938,woodShapes:gablePlateHalf,1
939,woodShapes:gablePlateEnd,2
989,woodShapes:plateDiagonal,1
1018,woodShapes:plateWedge60Tip,4
1019,woodShapes:plateWedge60TipHalfLeft,1
1020,woodShapes:plateWedge60TipHalfRight,1
1025,woodShapes:plateWedge60Incline,2
1028,woodShapes:plateWedge60Filler,1
1039,woodShapes:plateWedge60TipWallLeftTrim,2
1040,woodShapes:plateWedge60TipWallRightTrim,2
1149,woodShapes:stairsRailing,3
1192,woodShapes:catwalkV1Corner,1
1590,woodShapes:halfCrown,3
1596,woodShapes:halfCrownCorner1,1
1597,woodShapes:halfCrownCorner2,1
1611,woodShapes:crownStraight,64
1613,woodShapes:crownHalfLeft,1
1615,woodShapes:crownInsideCorner,30
1629,woodShapes:doorTrim1m,7
1633,woodShapes:doorTrim1mDouble,5
1872,woodShapes:windowBoarded,7
1975,woodShapes:woodDebris01,3
1976,woodShapes:woodDebris02,2
1977,woodShapes:woodDebris03,2
1981,woodShapes:shantywall04,1
1992,woodShapes:sawhorse,1
2041,woodShapes:table,10
2042,woodShapes:tableDynamic,1
2091,woodShapes:tvStand04,1
2092,woodShapes:tvStand05,1
2105,woodShapes:pictureFrameFilled,1
2111,woodShapes:ladderSquare,5
2123,woodShapes:balusterRail02,6
2125,woodShapes:fence,13
2158,woodShapes:roadPaintDash,9
6449,concreteShapes:cubeHalfCentered,2
12607,corrugatedMetalShapes:cube,413
12610,corrugatedMetalShapes:cubeThreeQuarter,24
12622,corrugatedMetalShapes:cubeHalf,100
12633,corrugatedMetalShapes:halfBlockPoleQuarter,8
12640,corrugatedMetalShapes:cubeQuarterCenter,4
12723,corrugatedMetalShapes:plate,211
12735,corrugatedMetalShapes:plateCorner,43
12787,corrugatedMetalShapes:billboard,21
13191,corrugatedMetalShapes:wedgeNarrowHigh,46
13192,corrugatedMetalShapes:wedgeNarrowMid,97
13193,corrugatedMetalShapes:wedgeNarrowLow,50
13194,corrugatedMetalShapes:wedgeNarrowTip,47
13678,corrugatedMetalShapes:cubeTrimHalfSplit,3
13938,corrugatedMetalShapes:halfCrown,2
13941,corrugatedMetalShapes:halfCrown1Left,1
13944,corrugatedMetalShapes:halfCrownCorner1,1
13977,corrugatedMetalShapes:doorTrim1m,4
13984,corrugatedMetalShapes:doorTrimTop,4
13993,corrugatedMetalShapes:windowTrim,40
13994,corrugatedMetalShapes:windowTrimBottom,19
14028,corrugatedMetalShapes:windowStoreThreeSidedFull,8
14029,corrugatedMetalShapes:windowStoreFourSidedFull,8
14043,corrugatedMetalShapes:windowStoreThreeSidedBroken,2
14328,corrugatedMetalShapes:shantywall03,1
14329,corrugatedMetalShapes:shantywall04,1
14387,corrugatedMetalShapes:fakeDynamicGrate,2
14389,corrugatedMetalShapes:table,1
14620,corrugatedMetalShapes:signLetter_a,3
14623,corrugatedMetalShapes:signLetter_d,1
14624,corrugatedMetalShapes:signLetter_e,1
14626,corrugatedMetalShapes:signLetter_g,2
14627,corrugatedMetalShapes:signLetter_h,1
14628,corrugatedMetalShapes:signLetter_i,1
14630,corrugatedMetalShapes:signLetter_k,1
14631,corrugatedMetalShapes:signLetter_l,1
14632,corrugatedMetalShapes:signLetter_m,1
14633,corrugatedMetalShapes:signLetter_n,2
14634,corrugatedMetalShapes:signLetter_o,2
14635,corrugatedMetalShapes:signLetter_p,1
14638,corrugatedMetalShapes:signLetter_s,2
14639,corrugatedMetalShapes:signLetter_t,3
14640,corrugatedMetalShapes:signLetter_u,1
14644,corrugatedMetalShapes:signLetter_y,1
14650,corrugatedMetalShapes:signLetter_exclamation,1
16911,cntAmmoPileSmall,1
16928,cntFoodPileSmallRandomHelper,1
16942,cntCardboardBox,1
16954,cntLootChestHeroInsecureT2,1
16973,cntQuestInfestedT2LootHelper,1
17038,cntCabinetBottomFiller,4
17046,cntCabinetGraniteSinkHoleRound,2
17052,cntCabinetBottomBrokenDoor,1
17053,cntCabinetOldBottomLootHelper,2
17059,cntCounterHollowCabinetOldRandomLootHelper,1
17061,cntCupboardCabinetOldTopLootHelper,3
17064,cntCupboardCornerCNROld,2
17071,sinkKitchen,1
17075,counterMountedSinkCommercialOffset,2
17080,showerHead,2
17085,cntBathTubsRandomLootHelper,2
17087,cntToilet01,2
17105,cntMedicineCabinetClosedRandomLootHelper,2
17145,cntTrashPile01,2
17146,cntTrashPile02,1
17148,cntTrashPile04,1
17149,cntTrashPile05,1
17153,cntTrashPile09,1
17154,garbage_decor1,6
17155,garbage_decor2,6
17156,garbage_decor3,5
17297,cntBagsRandomLootHelper,1
17315,satelliteUnitSmallFloor,1
17417,residentialSingleMeterDisconnect,1
17429,conduitSingleCentered,1
17492,cntRetroFridgeRandomLootHelper,1
17497,hoodRangeWhite,1
17513,cntStoveRandomLootHelper,1
17555,cntWasherRandomLootHelper,1
17559,cntDryerRandomLootHelper,1
17571,cntMicrowaveRandomLootHelper,1
17572,cntToaster,1
17604,tvSmallStand2x1,1
17642,ceilingLight02,2
17643,ceilingLight02_2x2,3
17653,lightCeiling07,1
17690,lanternDecorLightRandomHelper,1
17699,lanternOld_01,1
17709,flashlightDecorRandomHelper,2
17724,ceilingFanLight,1
17729,endTable,1
17730,endTableLamp,1
17785,workLightPOI,2
17810,wallTorchLight,1
17818,burningBarrel,1
18052,banditWallCorrugated1x2.5,4
18053,banditWallCorrugated1x3,3
18054,banditWallCorrugated1x4,1
18055,banditWallCorrugated2x3,4
18062,banditWallRibbed2x1Brown,1
18063,banditWallRibbed2x1Red,3
18064,banditWallRibbed2x1Orange,1
18067,banditWallRibbed2x1Blue,1
18068,banditWallRibbed2x1Grey,2
18069,banditWallRibbed3x2White,2
18071,banditWallRibbed3x2Red,1
18097,banditWallSiding2x2Yellow,1
18102,banditWallSiding3x3Brown,1
18103,banditWallSiding3x3Red,1
18104,banditWallSiding3x3Orange,1
18117,banditWallStreetsign3x2,1
18176,chainlinkFencePole,5
18177,chainlinkFencePole02,5
18182,chainlinkFenceBottomRailPoleCorner,2
18186,chainlinkFenceMiddleRailPoleCorner,2
18191,chainlinkFenceTopRailCorner,2
18196,chainlinkFenceTopPlainRail,51
18197,chainlinkFenceTopPlainPoleLeft,21
18198,chainlinkFenceTopPlainPoleRight,21
18243,woodFenceSheet,1
18320,pictureSmallRandomHelper,1
18322,pictureLargeRandomHelper,1
18393,decoCarPartsRamp,1
18397,decoCarTireStack,1
18432,hayBaleSquare,1
18451,cinderBlocks02,1
18452,cinderBlocks03,1
18484,palletBrownBoxesTile,2
18488,palletBricksBase,1
18529,palletTarpBaseArmyGreen,1
18530,palletTarpBaseRandomHelper,1
18543,palletTarpTileRandomHelper,1
18547,palletEmptyStack,1
18550,woodPlanksStack,1
18552,metalPipeStack,1
18553,metalPipeStackLoose,1
18559,palletBagCowFeedBaseFull,1
18562,palletBagCowFeedCapMed,1
18563,palletBagCowFeedCapSml,1
18573,palletBagSandBaseFull,1
18576,palletBagSandCapMed,1
18602,palletBagBlankBaseFullBrown,1
18604,palletBagBlankBaseMedBrown,1
18605,palletBagBlankCapMedBrown,1
18630,palletBagBlankBaseFullGreen,1
18632,palletBagBlankBaseMedGreen,1
18633,palletBagBlankCapMedGreen,1
18690,plantAloePottedCornerWhite,1
18886,exteriorHouseDoorOldBrown,1
18908,exteriorScreenDoornNoFrame,1
18956,interiorDoorOldBrown,4
18989,closetDoorBrown,2
18999,closetDoorDoubleBrown,1
19330,woodHatch,2
19517,miniblindTopSheet,1
19518,miniblindBottomSheet,1
19531,cntMailBox01White,1
19593,cntNightstandRandomLootHelper,1
19705,cntModularClosetRandomLootHelper,1
19817,chairFoldingMetalUnfoldedBrown,1
19829,chairFoldingMetalFoldedLeaningBrown,1
19863,chairCampingRandomHelper,1
19867,barStoolGreen,3
19883,couchUglySingleBrown,2
19894,couchUglySmallBrown,1
19938,churchPewLeftBrown,1
19956,churchPewRightBrown,1
19999,decoReptileTerrarium,1
20001,decoLargePetCage,5
20023,bed02,1
20029,mattressFlatThin,1
20498,cntBookcaseGoodRandomLootHelper,1
20828,ladderWood,5
20880,barrierPlasticWhite,1
20885,barrierConcrete,4
20886,barrierMilitary,3
20954,metalTrussingCentered,8
21023,rubblePileCement,1
21214,waterHeaterWhite,1
21222,tankPropaneWhite,1
21438,signPosterMovieLoneWolf,1
21480,barbedWireSpindle,11
21481,barbedWireSpindle1m,1
21767,cntPickupTruck3Wide01RandomHelper,1
21958,plantHedgeRandomHelper,6
22006,treeSmallRandomHelper,1
22008,treeMediumRandomHelper,1
22118,cntStoreCratesRandomLootHelper,2
22121,cntWorkbenchBustedRandomLootHelper,1
22124,questRallyMarker,1
22126,cntQuestRandomLootHelper,7
22137,sleeperIdle,1
22139,sleeperWolfAnimal,1
22141,sleeperBoarAnimal,5
22143,sleeperChickenAnimal,1
22146,sleeperSnakeAnimal,1
22147,sleeperZombieDogAnimal,7
22154,infestedSleeperIdle,1
22156,infestedSleeperWolfAnimal,1
22158,infestedSleeperBoarAnimal,5
22161,infestedSleeperSnakeAnimal,1
22162,infestedSleeperZombieDogAnimal,7
22216,traderShelvesMetalEmpty,1
