id,name,count
2,terrainFiller,5967
5,terrDirt,24
16,terrGravel,353
17,terrAsphalt,190
18,terrConcrete,5
259,woodShapes:cube,1291
261,woodShapes:cubeHalfInsideCorner,1
268,woodShapes:cubeHalfCorner,8
274,woodShapes:cubeHalf,100
275,woodShapes:cubeHalfCentered,6
277,woodShapes:cubeCornerBeveled,10
291,woodShapes:cubeQuarter,7
292,woodShapes:cubeQuarterCenter,6
298,woodShapes:cubeTee,2
368,woodShapes:cubeQuarterCenteredSquareTop,2
369,woodShapes:cubeQuarterCornerSquareTop,6
375,woodShapes:plate,14
405,woodShapes:plateHalf,3
459,woodShapes:pillar50,21
686,woodShapes:cubeHalfQuarterRoundInside,10
695,woodShapes:ramp,41
710,woodShapes:rampOutsideCornerFull,5
729,woodShapes:wedge60,96
730,woodShapes:wedge60Tip,100
731,woodShapes:wedge60TipHalf,41
732,woodShapes:wedge60TipHalfOutsideCorner,7
736,woodShapes:wedge60Corner,12
737,woodShapes:wedge60TipCorner,8
739,woodShapes:wedge60InsideCorner,2
742,woodShapes:wedge60Incline,4
775,woodShapes:rampInclineInsideCnr,2
852,woodShapes:wedgeRampLeft,1
853,woodShapes:wedgeRampRight,1
880,woodShapes:rampWedgeTipHollow,1
964,woodShapes:pyramid,1
965,woodShapes:gablePyramid,1
975,woodShapes:halfRampStairs50,3
977,woodShapes:rampIncline,89
978,woodShapes:rampInclineFiller,104
981,woodShapes:rampInclineInsideCnrFiller,2
983,woodShapes:rampInclineOutsideCnr,21
984,woodShapes:rampInclineOutsideCnrFiller,18
1001,woodShapes:plateRamp,3
1002,woodShapes:plateRampCorner,1
1123,woodShapes:cubeHalfPillar0.025,1
1137,woodShapes:stairsFilledQuarterVerticalUV,5
1138,woodShapes:stairsFilledVerticalUV,8
1149,woodShapes:stairsRailing,3
1151,woodShapes:stairsFilledRailingLeft,1
1152,woodShapes:stairsFilledRailingRight,1
1157,woodShapes:stairsHollow,12
1182,woodShapes:stairsFilledQuarterCrown,1
1185,woodShapes:railingFloatLeft,7
1186,woodShapes:railingFloatRight,8
1189,woodShapes:catwalkV1,37
1330,woodShapes:cubeTrimHalfSplit,3
1335,woodShapes:halfTrimSplit2,1
1400,woodShapes:cubeTrimQuarterEdge,51
1438,woodShapes:cubeTrimQuarterCornerInside2,7
1510,woodShapes:cubeTrimQuarterEdgeTwoSided,36
1519,woodShapes:cubeTrimQuarterCornerOutsideThreeSided,4
1522,woodShapes:cubeTrimQuarterEdgeDouble,9
1590,woodShapes:halfCrown,13
1596,woodShapes:halfCrownCorner1,3
1597,woodShapes:halfCrownCorner2,4
1600,woodShapes:halfCrownCorner5,2
1601,woodShapes:halfCrownCorner6,1
1610,woodShapes:crown,3
1611,woodShapes:crownStraight,75
1615,woodShapes:crownInsideCorner,33
1625,woodShapes:doorTrimCorner,4
1629,woodShapes:doorTrim1m,74
1633,woodShapes:doorTrim1mDouble,16
1638,woodShapes:doorTrimThreeSided,1
1645,woodShapes:windowTrim,60
1646,woodShapes:windowTrimBottom,20
1648,woodShapes:windowTrimTop,16
1805,woodShapes:window02Broken01,6
1806,woodShapes:window02Broken02,12
1807,woodShapes:window02Broken03,14
1808,woodShapes:window02Empty,1
1872,woodShapes:windowBoarded,51
1877,woodShapes:windowCentered,6
1939,woodShapes:plateDestroyed,1
1940,woodShapes:plateDestroyed02,1
1941,woodShapes:plateDestroyed03,2
1978,woodShapes:shantywall01,1
1980,woodShapes:shantywall03,1
1981,woodShapes:shantywall04,1
1993,woodShapes:floorJoist,128
1997,woodShapes:wallStud,16
2040,woodShapes:coffeeTable,1
2041,woodShapes:table,4
2042,woodShapes:tableDynamic,2
2079,woodShapes:bookcaseEmpty,1
2091,woodShapes:tvStand04,1
2092,woodShapes:tvStand05,1
2111,woodShapes:ladderSquare,21
2125,woodShapes:fence,9
2130,woodShapes:fenceCentered,3
2148,woodShapes:farmPlot,12
2317,brickShapes:cube,21
2753,brickShapes:ramp,2
3941,brickShapes:brickDestroyed01,2
3942,brickShapes:brickDestroyed02,4
6433,concreteShapes:cube,629
6448,concreteShapes:cubeHalf,57
6465,concreteShapes:cubeQuarter,7
6470,concreteShapes:quarterInsideCorner,2
6549,concreteShapes:plate,8
6561,concreteShapes:plateCorner,1
6853,concreteShapes:plateRound,2
7017,concreteShapes:wedgeNarrowHigh,3
7018,concreteShapes:wedgeNarrowMid,3
7019,concreteShapes:wedgeNarrowLow,3
7020,concreteShapes:wedgeNarrowTip,3
7312,concreteShapes:stairsFilledVerticalUV,4
7326,concreteShapes:stairsFilledRailingRight,1
7347,concreteShapes:wedgeTipStairs,1
7351,concreteShapes:wedgeStairs,1
7509,concreteShapes:halfTrimSplit2,2
7609,concreteShapes:cubeTrimQuarterCornerInside,1
7684,concreteShapes:cubeTrimQuarterEdgeTwoSided,6
7734,concreteShapes:wedgeNarrowHighLeftTrim2Sided,1
7735,concreteShapes:wedgeNarrowMidLeftTrim2Sided,1
7736,concreteShapes:wedgeNarrowLowLeftTrim2Sided,1
7737,concreteShapes:wedgeNarrowTipLeftTrim2Sided,1
7740,concreteShapes:wedgeNarrowHighRightTrim2Sided,1
7741,concreteShapes:wedgeNarrowMidRightTrim2Sided,1
7742,concreteShapes:wedgeNarrowLowRightTrim2Sided,1
7743,concreteShapes:wedgeNarrowTipRightTrim2Sided,1
8245,concreteShapes:cubeTileBroken,2
10665,awningShapes:plate,3
12607,corrugatedMetalShapes:cube,1
12622,corrugatedMetalShapes:cubeHalf,16
12658,corrugatedMetalShapes:pole,8
