id,name,count
1,terrStone,37
2,terrainFiller,22755
5,terrDirt,159
16,terrGravel,221
17,terrAsphalt,269
18,terrConcrete,4
259,woodShapes:cube,1734
274,woodShapes:cubeHalf,108
298,woodShapes:cubeQuarterCenter,1
316,woodShapes:pole,129
322,woodShapes:poleTwoWayCorner,8
358,woodShapes:poleSquareDiagonal,12
376,woodShapes:cubeQuarterCenteredSquareTop,2
383,woodShapes:plate,270
384,woodShapes:plateCentered,11
411,woodShapes:plateArched,8
453,woodShapes:plateHalfDouble,2
661,woodShapes:arch,14
740,woodShapes:wedge60,115
741,woodShapes:wedge60Tip,358
748,woodShapes:wedge60TipCorner,1
749,woodShapes:wedge60InsideCorner2,4
750,woodShapes:wedge60InsideCorner,7
753,woodShapes:wedge60Incline,151
765,woodShapes:wedge60InclineCorner,3
847,woodShapes:wedge60InclineHalfLeft,18
848,woodShapes:wedge60InclineHalfRight,15
851,woodShapes:wedge60TipHalfLeft,32
852,woodShapes:wedge60TipHalfRight,28
931,woodShapes:plateWallRoof,10
932,woodShapes:plateWallRoofLeft,2
933,woodShapes:plateWallRoofRight,2
938,woodShapes:wedgeTipQuarter,27
947,woodShapes:gableQuarterHalf,3
971,woodShapes:gableInvertedQuarterHalf,3
1011,woodShapes:plateDiagonal,20
1014,woodShapes:plateDiagonalFiller,10
1019,woodShapes:plateDiagonalFillerWallLeft,4
1020,woodShapes:plateDiagonalFillerWallRight,4
1021,woodShapes:plateDiagonalWallLeft,4
1022,woodShapes:plateDiagonalWallRight,4
1185,woodShapes:stairsFilledQuarterVerticalUV,2
1197,woodShapes:stairsRailing,10
1199,woodShapes:stairsFilledRailingLeft,5
1200,woodShapes:stairsFilledRailingRight,5
1322,woodShapes:railing,26
1325,woodShapes:railingBroke01,5
1335,woodShapes:cubeBaseboard,5
1336,woodShapes:cubeBaseboardCorner,2
1341,woodShapes:cubeBaseboard4Sided,7
1360,woodShapes:cubeBaseboardChairRail,40
1361,woodShapes:cubeBaseboardChairRail2Sided,1
1363,woodShapes:cubeBaseboardChairRail4Sided,6
1471,woodShapes:cubeTrimQuarterEdge,20
1502,woodShapes:cubeTrimQuarterCornerOutside,4
1651,woodShapes:cubeHeatVent,4
1677,woodShapes:halfCrownCorner3,1
1689,woodShapes:crown,105
1692,woodShapes:crownHalfLeft,1
1694,woodShapes:crownInsideCorner,30
1704,woodShapes:doorTrimCorner,2
1706,woodShapes:doorTrim0.5m,4
1708,woodShapes:doorTrim1m,58
1714,woodShapes:doorTrim2m,2
1715,woodShapes:doorTrimTop,1
1724,woodShapes:windowTrim,33
1725,woodShapes:windowTrimBottom,46
1727,woodShapes:windowTrimTop,26
1933,woodShapes:windowCircleCenterFull,2
1960,woodShapes:window02Broken01,6
1961,woodShapes:window02Broken02,10
1962,woodShapes:window02Broken03,1
2021,woodShapes:windowCircleCorner,2
2022,woodShapes:windowCircleFull,4
2031,woodShapes:windowBoarded,14
2061,woodShapes:cubeTrimDestroyed02,1
2062,woodShapes:cubeTrimDestroyed03,2
2063,woodShapes:cubeTrimDestroyed04,6
2099,woodShapes:plateDestroyed,2
2100,woodShapes:plateDestroyed02,1
2138,woodShapes:shantywall01,1
2141,woodShapes:shantywall04,2
2153,woodShapes:floorJoist,118
2202,woodShapes:table,1
2206,woodShapes:prepTableDynamic,4
2224,woodShapes:plateCounter02,1
2232,woodShapes:cubeTileBroken,3
2234,woodShapes:cubeBookcase,2
2250,woodShapes:tvStand01,1
2251,woodShapes:tvStand02,1
2277,woodShapes:trellisSquare,8
