id,name,count
1,terrStone,131
2,terrainFiller,44502
5,terrDirt,49
16,terrGravel,279
18,terrConcrete,9
259,woodShapes:cube,278
274,woodShapes:cubeHalf,13
375,woodShapes:plate,75
405,woodShapes:plateHalf,2
459,woodShapes:pillar50,4
475,woodShapes:pillar50CenteredSquareTop,8
728,woodShapes:wedge60,175
729,woodShapes:wedge60Tip,129
737,woodShapes:wedge60InsideCorner2,2
917,woodShapes:wedgeTipQuarter,26
949,woodShapes:gableInvertedQuarter,19
1148,woodShapes:stairsRailing,12
1260,woodShapes:railing,14
1609,woodShapes:crown,59
1614,woodShapes:crownInsideCorner,10
1634,woodShapes:doorTrim2m,2
1635,woodShapes:doorTrimTop,2
1644,woodShapes:windowTrim,105
1645,woodShapes:windowTrimBottom,23
1646,woodShapes:windowTrimSides,8
1647,woodShapes:windowTrimTop,3
1651,woodShapes:windowTrimTopFancy,10
1796,woodShapes:window01,5
1798,woodShapes:window01Broken02,9
1799,woodShapes:window01Broken03,2
1800,woodShapes:window01Broken04,4
1871,woodShapes:windowBoarded,4
1930,woodShapes:concreteDestroyedFiller03,2
1980,woodShapes:shantywall04,2
1992,woodShapes:floorJoist,174
2039,woodShapes:coffeeTable,1
2040,woodShapes:table,2
2041,woodShapes:tableDynamic,14
2063,woodShapes:plateCounter02,1
2086,woodShapes:bookcaseQuarterDoubleEmptyOffset,1
2106,woodShapes:mirror,6
2115,woodShapes:trellisSquare,6
2116,woodShapes:trellisDiamond,13
3940,brickShapes:brickDestroyed01,1
3941,brickShapes:brickDestroyed02,1
4375,cobblestoneShapes:cube,381
4774,cobblestoneShapes:arch3m,2
4775,cobblestoneShapes:arch3mTip,2
4776,cobblestoneShapes:arch3mMiddle,1
4844,cobblestoneShapes:wedge60,1
6433,concreteShapes:cube,818
6448,concreteShapes:cubeHalf,48
6579,concreteShapes:plateHalf,72
6825,concreteShapes:arch,13
6850,concreteShapes:cornerRound,8
7311,concreteShapes:stairsFilledVerticalUV,2
7350,concreteShapes:wedgeStairs,6
7447,concreteShapes:cubeBaseboard,9
7453,concreteShapes:cubeBaseboard4Sided,16
7683,concreteShapes:cubeTrimQuarterEdgeTwoSided,4
7700,concreteShapes:cubeTrimCornerRound,4
8491,steelShapes:cube,54
8506,steelShapes:cubeHalf,37
8960,steelShapes:wedge60,29
8967,steelShapes:wedge60Corner,2
9195,steelShapes:pyramid,1
10268,steelShapes:securityGatePlate,12
12607,corrugatedMetalShapes:cube,4120
12622,corrugatedMetalShapes:cubeHalf,9
12723,corrugatedMetalShapes:plate,5
12807,corrugatedMetalShapes:pillar50,1
12835,corrugatedMetalShapes:pillar0.025,12
12837,corrugatedMetalShapes:pillar0.025Centered,4
12999,corrugatedMetalShapes:arch,20
13024,corrugatedMetalShapes:cornerRound,1
13042,corrugatedMetalShapes:ramp,6
13076,corrugatedMetalShapes:wedge60,14
13077,corrugatedMetalShapes:wedge60Tip,5
14055,corrugatedMetalShapes:windowStoreTwoSidedEmpty,3
14056,corrugatedMetalShapes:windowStoreThreeSidedEmpty,4
14058,corrugatedMetalShapes:windowStoreCornerEmpty,24
14325,corrugatedMetalShapes:shantywall01,9
14327,corrugatedMetalShapes:shantywall03,2
14328,corrugatedMetalShapes:shantywall04,3
16919,cntChemPileSmall,4
16920,cntChemPileMedium,3
16921,cntChemPileLarge,1
16924,cntMedicLootPileB,1
16929,cntFoodPileSmallRandomHelper,1
16956,cntLootChestHero,1
16975,cntQuestInfestedT3LootHelper,1
17040,cntCabinetBottomFiller,20
17041,cntCabinetBottomRandomLootHelper,4
17042,cntCabinetBottom,3
17047,cntCounterHollowCabinetRandomLootHelper,1
17050,cntCupboardCabinetRedTopLootHelper,5
17053,cntCupboardCornerCNRRed,1
17062,cntCounterHollowCabinetOldRandomLootHelper,5
17063,cntCabinetOldCNRRoundFiller,9
17065,cntCupboardCabinetOldTopLootHelper,13
17068,cntCupboardCornerCNROld,5
17075,sinkKitchen,6
17076,pedestalSink,1
17077,wallMountSinkCommercial,1
17085,showerHead,4
17090,cntBathTubsRandomLootHelper,1
17093,cntToilet02,1
17094,cntToilet03,1
17113,wallMirrorRandomHelper,1
17116,cntPillCaseClosed,1
17155,cntTrashPile02,3
17160,cntTrashPile07,4
17163,garbage_decor1,5
17164,garbage_decor2,22
17165,garbage_decor3,9
17185,cntBinTrashMetalWhiteRandomLootHelper,1
17209,cntBinTrashPlasticWhiteRandomLootHelper,2
17308,cntBagsRandomLootHelper,1
17321,airConditioner,1
17329,controlPanelBase01,1
17331,controlPanelBase03,1
17332,controlPanelBase04,2
17334,controlPanelBase06,142
17335,controlPanelBase07,24
17336,controlPanelBase08,22
17337,controlPanelCorner,23
17338,controlPanelTop01,3
17339,controlPanelTop02,4
17340,controlPanelTop03,5
17341,controlPanelTop04,3
17342,controlPanelTop05,5
17343,controlPanelTop06,5
17344,controlPanelTop07,12
17438,conduit01,4
17439,conduit01End,1
17442,conduit01Corner,1
17444,conduitSingleCenteredEnd,1
17449,powerSwitch01,1
17496,loudspeaker,2
17506,cntRetroFridgeRandomLootHelper,1
17510,cntFridgeStainlessSteelRandomLootHelper,1
17511,hoodRangeWhite,2
17527,cntStoveRandomLootHelper,2
17545,cntGasGrillRandomLootHelper,1
17564,cntDishwasherWhiteRandomLootHelper,1
17587,cntMicrowaveRandomLootHelper,2
17588,cntToaster,1
17589,cntCoffeeMaker,1
17593,decoCookingPot,1
17596,wallClockRandomLootHelper,1
17619,tvSmallWall1x1,3
17628,tvExtraSmallWall1x1,2
17633,lightPorchWhite,2
17666,ceilingLight02Brass,1
17679,fluorescentLight,4
17695,trackLight,1
17696,industrialLight01,21
17699,lightIndustrial,2
17700,lightIndustrialRed,6
17701,lightIndustrialMountedWall,2
17719,lanternDecorLightRandomHelper,1
17754,ceilingFanLight,1
17755,chandelierLight,1
17759,endTable,1
17760,endTableLamp,1
17782,tableLampLight01White,2
18228,chainlinkFenceBottomPlain,14
18229,chainlinkFenceBottomPlainPoleLeft,12
18230,chainlinkFenceBottomPlainPoleRight,12
18232,chainlinkFenceTopPlainRail,5
18233,chainlinkFenceTopPlainPoleLeft,6
18234,chainlinkFenceTopPlainPoleRight,6
18376,paintingPictureRandomHelper,4
18377,cntPaintingPictureSafeRandomLootHelper,1
18462,birdBathPlanter,4
18525,palletBrownBoxesBase,4
18526,palletBrownBoxesTile,8
18527,palletBrownBoxesTop,8
18529,palletBrownBoxesLoose,4
18581,palletTarpTileBlue,18
18649,palletBagBlankCapMedBrown,2
18650,palletBagBlankCapSmlBrown,2
18723,treePlant02,6
18888,vaultDoor01,13
18916,exteriorHouseDoorWhite,3
18997,frenchDoorDoubleWhite,1
19011,interiorHouseDoorOrange,2
19033,interiorDoorOldOrange,1
19093,commercialGlassDoor,1
19127,commercialDoorV2Blue,1
19434,vaultHatch01,2
19497,glassBulletproofBlock,12
19529,curtainDrapesRod1m,7
19534,curtainDrapesFullTopYellow,1
19536,curtainDrapesFullTopBlue,6
19545,curtainDrapesFullTileYellow,1
19547,curtainDrapesFullTileBlue,6
19556,curtainDrapesFullBottomYellow,1
19558,curtainDrapesFullBottomBlue,6
19569,curtainDrapesLeftHalfTopBlue,4
19580,curtainDrapesLeftHalfTileBlue,4
19591,curtainDrapesLeftHalfBottomBlue,4
19602,curtainDrapesRightHalfTopBlue,4
19613,curtainDrapesRightHalfTileBlue,3
19624,curtainDrapesRightHalfBottomBlue,3
19631,miniblindTopSheet,2
19638,plainWoodWindowPlugCTRPlate,2
19643,ironBars,3
19645,cntMailBox01White,1
19721,cntArmoireDoorsRed,1
19732,cntArmoireSideRed,2
19765,cntArmoireTopBackRed,1
19809,cntArmoireDrawerRedRandomLootHelper,1
