id,name,count
2,terrainFiller,8629
16,terrGravel,621
17,terrAsphalt,128
259,woodShapes:cube,701
268,woodShapes:cubeHalfCorner,8
274,woodShapes:cubeHalf,60
277,woodShapes:cubeCornerBeveled,8
310,woodShapes:pole,3
349,woodShapes:corniceBracketHalfCentered,1
368,woodShapes:cubeQuarterCenteredSquareTop,1
372,woodShapes:cubeHalfPlateCorner2,3
375,woodShapes:plate,17
410,woodShapes:plateHalfTriangle,4
439,woodShapes:billboard,1
651,woodShapes:arch,4
685,woodShapes:cubeHalfQuarterRoundInside,4
694,woodShapes:ramp,13
709,woodShapes:rampOutsideCornerFull,3
728,woodShapes:wedge60,77
729,woodShapes:wedge60Tip,157
730,woodShapes:wedge60TipHalf,41
731,woodShapes:wedge60TipHalfOutsideCorner,3
733,woodShapes:wedge60TipHalfCornerLeft,2
734,woodShapes:wedge60TipHalfCornerRight,2
735,woodShapes:wedge60Corner,3
741,woodShapes:wedge60Incline,47
746,woodShapes:wedge60SplitInclineRight,1
772,woodShapes:wedgeInclineCornerTop,6
801,woodShapes:wedge60SplitLeft03,2
802,woodShapes:wedge60SplitRight03,2
805,woodShapes:wedge60SplitLeft05,2
806,woodShapes:wedge60SplitRight05,3
807,woodShapes:wedge60SplitLeft06,2
808,woodShapes:wedge60SplitRight06,2
827,woodShapes:wedge60InclineHalfLeft,20
828,woodShapes:wedge60InclineHalfRight,20
831,woodShapes:wedge60TipHalfLeft,35
832,woodShapes:wedge60TipHalfRight,36
833,woodShapes:wedge60InclineHalfLeftFiller,2
834,woodShapes:wedge60InclineHalfRightFiller,2
835,woodShapes:wedge60InclineFiller,16
837,woodShapes:wedge60TipCornerTop,7
838,woodShapes:wedgeInsideCornerBase,19
839,woodShapes:wedgeInsideCornerTop,9
896,woodShapes:wedge60WedgeTipFull,1
897,woodShapes:wedge60WedgeTipFullHollow,2
898,woodShapes:wedgeTipFull,25
902,woodShapes:wedgeTipFullCross,1
924,woodShapes:gable1mHalf,4
955,woodShapes:gableInvertedSteepHalf,4
977,woodShapes:rampInclineFiller,18
1137,woodShapes:stairsFilledVerticalUV,3
1156,woodShapes:stairsHollow,12
1157,woodShapes:stairsHollowRailingLeft,5
1181,woodShapes:stairsFilledQuarterCrown,2
1185,woodShapes:railingFloatRight,4
1260,woodShapes:railing,1
1273,woodShapes:cubeBaseboard,23
1277,woodShapes:cubeBaseboard2Sided,1
1279,woodShapes:cubeBaseboard4Sided,2
1281,woodShapes:halfCornerBaseboard4Sided,2
1284,woodShapes:halfBaseboard,1
1289,woodShapes:halfBaseboard4Sided,9
1320,woodShapes:counterBottomFiller,2
1329,woodShapes:cubeTrimHalfSplit,8
1399,woodShapes:cubeTrimQuarterEdge,4
1434,woodShapes:cubeTrimQuarterCornerInside,4
1492,woodShapes:cubeTrimHalfSplitDiagonal,1
1589,woodShapes:halfCrown,11
1592,woodShapes:halfCrown1Left,1
1593,woodShapes:halfCrown1Right,1
1595,woodShapes:halfCrownCorner1,3
1596,woodShapes:halfCrownCorner2,3
1599,woodShapes:halfCrownCorner5,1
1600,woodShapes:halfCrownCorner6,1
1609,woodShapes:crown,5
1610,woodShapes:crownStraight,59
1612,woodShapes:crownHalfLeft,1
1613,woodShapes:crownHalfRight,1
1614,woodShapes:crownInsideCorner,20
1628,woodShapes:doorTrim1m,2
1638,woodShapes:doorTrimSquare,2
1644,woodShapes:windowTrim,62
1645,woodShapes:windowTrimBottom,30
1646,woodShapes:windowTrimSides,8
1647,woodShapes:windowTrimTop,6
1648,woodShapes:windowTrimTopLeft,3
1649,woodShapes:windowTrimTopMiddle,3
1650,woodShapes:windowTrimTopRight,3
1796,woodShapes:window01,20
1797,woodShapes:window01Broken,20
1871,woodShapes:windowBoarded,2
1974,woodShapes:woodDebris01,2
1976,woodShapes:woodDebris03,1
1979,woodShapes:shantywall03,1
1992,woodShapes:floorJoist,57
2040,woodShapes:table,1
2110,woodShapes:ladderSquare,4
2115,woodShapes:trellisDiamond,2
2124,woodShapes:fence,1
2309,woodShapes:cube3x3x1Destroyed,1
2316,brickShapes:cube,7
3385,brickShapes:cubeTrimHalfSplit4Sided,1
6430,concreteShapes:cube,539
6462,concreteShapes:cubeQuarter,3
6467,concreteShapes:quarterInsideCorner,2
6858,concreteShapes:cubeQuarterRoundOutside,1
13470,corrugatedMetalShapes:pillar50PlatePillar0.025,5
16904,cntAmmoPileSmall,1
16915,cntMedicLootPileACorner,1
16947,cntLootChestHeroInsecureT2,1
16966,cntQuestInfestedT2LootHelper,1
17044,cntCupboardCabinetFullRedTopClosed,2
17046,cntCabinetOldBottomLootHelper,2
17052,cntCounterHollowCabinetOldRandomLootHelper,1
17054,cntCupboardCabinetOldTopLootHelper,3
17057,cntCupboardCornerCNROld,1
17063,utilitySink,1
17064,sinkKitchen,1
17066,wallMountSinkCommercial,1
17078,cntBathTubsRandomLootHelper,1
17080,cntToilet01,1
17098,cntMedicineCabinetClosedRandomLootHelper,1
17123,cntbasketLaundryWhiteRandomLootHelper,1
17145,cntTrashPile08,1
17147,garbage_decor1,4
17148,garbage_decor2,4
17149,garbage_decor3,4
17151,glassBroken_01,1
17162,cntbinTrashRollingGreen,1
17191,cntBinTrashPlasticWhiteRandomLootHelper,1
17211,cntBruteStyleTrashCanRandomLootHelper,1
17303,airConditioner,1
17410,residentialSingleMeterDisconnect,1
17422,conduitSingleCentered,1
17433,keyRackWood01,1
17484,cntRetroFridgeVer2Open,1
17490,hoodRangeWhite,1
17505,cntStoveModernVer2Open,1
17526,cntCharcoalGrillRandomLootHelper,1
17548,cntWasherRandomLootHelper,1
17552,cntDryerRandomLootHelper,1
17564,cntMicrowaveRandomLootHelper,1
17596,tvSmallWall1x1,1
17614,lightPorchBlack,4
17631,lightCeilingBulbSocketWhite,4
17635,ceilingLight02,3
17636,ceilingLight02_2x2,1
17642,recessedLight,1
17648,fluorescentLight,1
17702,flashlightDecorRandomHelper,1
17717,ceilingFanLight,1
17722,endTable,2
17723,endTableLamp,3
17807,candleTableLight,1
18313,pictureSmallRandomHelper,5
18434,decoCowSkull,1
18468,emberPileDeco3,1
18478,palletBrownBoxesTop,2
18536,palletTarpTileRandomHelper,3
18537,palletCompressedCardboard,1
18673,plantAloePottedWhite,2
18683,plantAloePottedCornerWhite,1
18693,plantHousePottedWhite,1
18737,plantHouseTallPottedWhite,4
18793,oldWoodDoor,1
18835,exteriorHouseDoorBrown,2
18914,frenchDoorOak,1
18958,interiorDoorOldOak,5
19323,woodHatch,1
19408,curtainDrapesRod1m,1
19410,curtainDrapesFullTopBrown,7
19421,curtainDrapesFullTileBrown,1
19432,curtainDrapesFullBottomBrown,7
19443,curtainDrapesLeftHalfTopBrown,4
19454,curtainDrapesLeftHalfTileBrown,2
19465,curtainDrapesLeftHalfBottomBrown,4
19476,curtainDrapesRightHalfTopBrown,2
19487,curtainDrapesRightHalfTileBrown,2
19498,curtainDrapesRightHalfBottomBrown,1
19510,miniblindTopSheet,4
19529,cntMailBox03Brown,1
19586,cntNightstandRandomLootHelper,2
19595,cntArmoireDoorsBrown,1
19639,cntArmoireTopBackBrown,1
19683,cntArmoireDrawerBrownRandomLootHelper,1
19701,cntDeskWoodEmpty,1
19753,diningTable01,1
19754,rustyIronTable,7
19795,chairWood01,4
19797,oldChair1Brown,1
19847,chairCampingBrown,1
19859,barStoolBrown,2
19876,couchUglySingleBrown,1
19898,couchUglyLargeBrown,1
19925,couchModernSectionWhite,2
20016,bed02,2
20295,cntStoreShelfSingleTopEmpty,2
20313,cntStoreShelfSingleTopHardwareRandomLootHelper,1
20331,cntStoreShelfSingleTopTrash01,1
20332,cntStoreShelfSingleTopTrash02,1
20488,cntShoesPileRandomLootHelper,1
20489,cntBookcaseEmpty,3
20491,cntBookcaseGoodRandomLootHelper,1
20972,woodHalfDestroyed05Left,1
20973,woodHalfDestroyed05Right,1
20974,woodHalfDestroyed06,2
21021,rubblePileWoodSmall,1
21022,rubblePileWoodBurntLarge,2
21207,waterHeaterWhite,1
21224,utilityGasMeter01,1
21480,ironSpikesTrapBloodPOI,5
21481,barbedWireSheet,2
21525,fakeCabinetDoorTrap1x1Sheet,1
21539,carsRandomHelper,1
21961,plantHedgeRandomHelper,13
22009,treeSmallRandomHelper,1
22010,treeSmallThinRandomHelper,7
22011,treeMediumRandomHelper,1
22121,cntStoreCratesRandomLootHelper,1
22124,cntWorkbenchBustedRandomLootHelper,1
22126,cntChemistryStationBustedRandomLootHelper,1
22127,questRallyMarker,1
22129,cntQuestRandomLootHelper,6
22135,sleeperSit,9
22137,sleeperSideLeft,1
22138,sleeperSideRight,1
22139,sleeperStomach,1
22140,sleeperIdle,13
22152,infestedSleeperSit,5
22153,infestedSleeperBack,3
22154,infestedSleeperSideLeft,4
22155,infestedSleeperSideRight,1
22156,infestedSleeperStomach,1
22157,infestedSleeperIdle,16
