id,name,count
2,terrainFiller,15865
5,terrDirt,1
15,terrDestroyedWoodDebris,27
16,terrGravel,818
17,terrAsphalt,60
29,terrStoneHelper,226
259,woodShapes:cube,2940
262,woodShapes:cubeThreeQuarter,4
268,woodShapes:cubeHalfCorner,8
274,woodShapes:cubeHalf,241
281,woodShapes:cube0.25m,152
282,woodShapes:cubeCornerBeveled,4
288,woodShapes:cubeCornerArch,2
291,woodShapes:halfBlockPoleQuarter,3
297,woodShapes:cubeQuarter,4
298,woodShapes:cubeQuarterCenter,14
299,woodShapes:quarterCenteredWall,53
302,woodShapes:quarterInsideCorner,1
316,woodShapes:pole,18
318,woodShapes:poleSideCentered,4
376,woodShapes:cubeQuarterCenteredSquareTop,19
383,woodShapes:plate,26
413,woodShapes:plateHalf,17
446,woodShapes:billboardHalf,16
447,woodShapes:billboard,6
695,woodShapes:cubeHalfQuarterRoundInside,16
704,woodShapes:ramp,32
739,woodShapes:wedge60,160
740,woodShapes:wedge60Tip,278
741,woodShapes:wedge60TipHalf,64
742,woodShapes:wedge60TipHalfOutsideCorner,2
744,woodShapes:wedge60TipHalfCornerLeft,2
745,woodShapes:wedge60TipHalfCornerRight,1
746,woodShapes:wedge60Corner,12
747,woodShapes:wedge60TipCorner,22
749,woodShapes:wedge60InsideCorner,12
752,woodShapes:wedge60Incline,85
764,woodShapes:wedge60InclineCorner,12
790,woodShapes:rampInclineHalfLeft,16
791,woodShapes:rampInclineHalfRight,16
846,woodShapes:wedge60InclineHalfLeft,4
847,woodShapes:wedge60InclineHalfRight,2
850,woodShapes:wedge60TipHalfLeft,4
851,woodShapes:wedge60TipHalfRight,2
871,woodShapes:wedgeRampLeft,7
872,woodShapes:wedgeRampRight,8
873,woodShapes:wedgeTipRampLeft,4
874,woodShapes:wedgeTipRampRight,4
875,woodShapes:wedgeRampInclineLeft,12
876,woodShapes:wedgeRampInclineRight,11
877,woodShapes:wedgeTipRampInclineLeft,12
878,woodShapes:wedgeTipRampInclineRight,12
880,woodShapes:wedgeTipRampInclineFillerLeft,12
881,woodShapes:wedgeTipRampInclineFillerRight,12
904,woodShapes:wedge60TipGableHalf,4
923,woodShapes:wedgeTipHalf,35
945,woodShapes:gableHalf,4
948,woodShapes:gable3Quarter,3
963,woodShapes:gableInvertedHalfQuarterOffset,4
978,woodShapes:gableWedge60CubeHalf,1
995,woodShapes:halfRampStairs50Filler,16
996,woodShapes:rampIncline,89
997,woodShapes:rampInclineFiller,123
