id,name,count
1,terrStone,42
2,terrainFiller,33503
5,terrDirt,773
10,terrSand,164
14,terrDestroyedStone,37
16,terrGravel,3693
17,terrAsphalt,1236
18,terrConcrete,180
259,woodShapes:cube,2732
262,woodShapes:cubeThreeQuarter,2
268,woodShapes:cubeHalfCorner,12
274,woodShapes:cubeHalf,95
282,woodShapes:cubeCornerBeveled,8
316,woodShapes:pole,1029
318,woodShapes:poleSideCentered,45
319,woodShapes:poleHalf,6
322,woodShapes:poleTwoWayCorner,73
326,woodShapes:poleSquareSideCenteredTee,7
341,woodShapes:poleSquareDouble,454
343,woodShapes:poleSquareDoubleTop,32
345,woodShapes:cubePoleCorner,14
362,woodShapes:polePlateHalf,25
367,woodShapes:polePlate,52
379,woodShapes:cubeHalfPlateCorner,478
383,woodShapes:plate,870
395,woodShapes:plateCorner,14
398,woodShapes:plateCornerHalf,10
412,woodShapes:plateThreeQuarter,2
413,woodShapes:plateHalf,60
418,woodShapes:plateHalfTriangle,4
419,woodShapes:plateQuarterTriangle,2
423,woodShapes:platePole,2
427,woodShapes:platePoleCorner,148
428,woodShapes:platePoleCorner2,8
447,woodShapes:billboard,55
464,woodShapes:plateQuarterRoundCorner,2
510,woodShapes:pillar0.05Middle,1
548,woodShapes:3mTubeCenterStraight,2
742,woodShapes:wedge60,209
743,woodShapes:wedge60Tip,700
744,woodShapes:wedge60TipHalf,39
748,woodShapes:wedge60TipHalfCornerRight,3
755,woodShapes:wedge60Incline,270
830,woodShapes:wedge60SplitRight04,6
835,woodShapes:wedge60SplitLeft07,2
838,woodShapes:wedge60SplitRight08,2
853,woodShapes:wedge60InclineHalfLeft,31
854,woodShapes:wedge60InclineHalfRight,33
859,woodShapes:wedge60TipHalfLeft,64
860,woodShapes:wedge60TipHalfRight,64
1031,woodShapes:plateRamp,6
1040,woodShapes:plateWedge60LeftTip,258
1041,woodShapes:plateWedge60RightTip,287
1048,woodShapes:plateWedge60LeftHollow,165
1049,woodShapes:plateWedge60RightHollow,160
1054,woodShapes:plateWedge60Tip,6
1061,woodShapes:plateWedge60Incline,12
1064,woodShapes:plateWedge60Filler,6
1194,woodShapes:stairsFilledVerticalUV,4
1199,woodShapes:stairsWinder,4
1200,woodShapes:stairsWinderTip,4
1203,woodShapes:stairs,4
1207,woodShapes:stairsFilledRailingLeft,4
1208,woodShapes:stairsFilledRailingRight,4
1334,woodShapes:railingCorner,2
1345,woodShapes:cubeBaseboard,49
1410,woodShapes:cubeTrimHalfSplit4Sided,9
1411,woodShapes:cubeTrimHalfSplit,41
1421,woodShapes:cubeTrimHalfEdge2,269
1426,woodShapes:cubeTrimCornerQuarter,6
1481,woodShapes:cubeTrimQuarterEdge,106
1574,woodShapes:cubeTrimHalfSplitDiagonal,3
1582,woodShapes:cubeTrimSplitWedge60Right,4
1673,woodShapes:cubeHeatVent,1
1726,woodShapes:doorTrimCorner,62
1730,woodShapes:doorTrim1m,277
1731,woodShapes:doorTrim1mOffCenter,29
1733,woodShapes:doorTrimDiagonal,11
1734,woodShapes:doorTrim1mDouble,4
1737,woodShapes:doorTrimTop,24
1738,woodShapes:doorTrimTwoSided,3
1739,woodShapes:doorTrimThreeSided,11
1740,woodShapes:doorTrimSquare,2
2053,woodShapes:windowBoarded,6
2083,woodShapes:cubeTrimDestroyed02,4
2091,woodShapes:cubeTrimDestroyed10,4
2160,woodShapes:woodDebris01,11
2161,woodShapes:woodDebris02,17
2162,woodShapes:woodDebris03,9
2177,woodShapes:sawhorse,5
2178,woodShapes:floorJoist,32
2181,woodShapes:floorJoist2,25
2223,woodShapes:securityGatePlate,5
2227,woodShapes:table,2
2228,woodShapes:tableDynamic,8
2246,woodShapes:counterHollowFront,5
2247,woodShapes:counterHollowCombo,2
2258,woodShapes:cubeHollow,9
2259,woodShapes:cubeBookcase,7
2263,woodShapes:cubeHalfBookshelfDouble,2
2264,woodShapes:cubeHalfBookshelfTriple,1
2265,woodShapes:bookcaseEmpty,8
2268,woodShapes:bookcaseHalfEmpty,2
2269,woodShapes:bookcaseHalfEmptyOffset,4
2274,woodShapes:bookcaseOpenEnded,6
2276,woodShapes:tvStand02,4
2278,woodShapes:tvStand04,1
2279,woodShapes:tvStand05,1
2312,woodShapes:fence,2
2336,woodShapes:farmPlot,2
2419,woodShapes:cubeDrainSideCentered,1
2460,woodShapes:plateWallDeco01,10
2523,brickShapes:cube,642
2538,brickShapes:cubeHalf,14
2580,brickShapes:pole,5
2609,brickShapes:cubePoleCorner,2
2626,brickShapes:polePlateHalf,4
2631,brickShapes:polePlate,4
2677,brickShapes:plateHalf,10
2970,brickShapes:ramp,5
3006,brickShapes:wedge60,10
3675,brickShapes:cubeTrimHalfSplit,23
3690,brickShapes:cubeTrimCornerQuarter,10
3994,brickShapes:doorTrim1m,12
4001,brickShapes:doorTrimTop,4
4522,brickShapes:cubeHollow,13
7051,concreteShapes:cube,544
7066,concreteShapes:cubeHalf,11
7175,concreteShapes:plate,139
7336,concreteShapes:cubeSewerBarrel,5
7493,concreteShapes:plateQuarterRoundOutside,4
7663,concreteShapes:wedgeNarrowHigh,5
7664,concreteShapes:wedgeNarrowMid,5
7665,concreteShapes:wedgeNarrowLow,5
7666,concreteShapes:wedgeNarrowTip,5
7986,concreteShapes:stairsFilledVerticalUV,1
8001,concreteShapes:stairsFilledRailingMetalLeft,1
8002,concreteShapes:stairsFilledRailingMetalRight,1
8308,concreteShapes:cubeTrimQuarterCornerInside,6
8383,concreteShapes:cubeTrimQuarterEdgeTwoSided,26
8389,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,2
8518,concreteShapes:doorTrimCorner,3
8522,concreteShapes:doorTrim1m,122
8529,concreteShapes:doorTrimTop,1
8530,concreteShapes:doorTrimTwoSided,2
8550,concreteShapes:archDoorTrim,4
9050,concreteShapes:cubeHollow,1
9133,concreteShapes:plateSidewalkBroke02,2
