id,name,count
2,terrainFiller,6679
5,terrDirt,40
16,terrGravel,113
17,terrAsphalt,1878
259,woodShapes:cube,73
316,woodShapes:pole,12
345,woodShapes:cubePoleCorner,1
383,woodShapes:plate,7
447,woodShapes:billboard,2
1031,woodShapes:plateRamp,68
1054,woodShapes:plateWedge60Tip,3
1055,woodShapes:plateWedge60TipHalfLeft,1
1061,woodShapes:plateWedge60Incline,3
1062,woodShapes:plateWedge60InclineHalfLeft,2
1064,woodShapes:plateWedge60Filler,2
1066,woodShapes:plateWedge60FillerHalfRight,1
1116,woodShapes:slopeHalfPlateLeft01,1
1117,woodShapes:slopeHalfPlateLeft02,1
1118,woodShapes:slopeHalfPlateLeft03,1
1257,woodShapes:railingFloatRight,5
1347,woodShapes:cubeBaseboardCorner03,2
1403,woodShapes:counterRound1m,1
1411,woodShapes:cubeTrimHalfSplit,8
1426,woodShapes:cubeTrimCornerQuarter,4
1678,woodShapes:cubeArchTrim,1
1730,woodShapes:doorTrim1m,4
1737,woodShapes:doorTrimTop,1
1848,woodShapes:windowStoreOneSidedEmpty,10
2053,woodShapes:windowBoarded,4
2059,woodShapes:windowPanel,30
2249,woodShapes:plateCounter02,22
2250,woodShapes:plateCounter03,5
2259,woodShapes:cubeBookcase,1
2260,woodShapes:cubeCornerBeveledBookcaseEmpty,1
2265,woodShapes:bookcaseEmpty,4
2272,woodShapes:bookcaseQuarterDoubleEmpty,1
2338,woodShapes:farmPlotRaised,2
2462,woodShapes:slatWallDeco01,24
2523,brickShapes:cube,969
2526,brickShapes:cubeThreeQuarter,20
2532,brickShapes:cubeHalfCorner,3
2538,brickShapes:cubeHalf,526
2539,brickShapes:cubeHalfCentered,7
2545,brickShapes:cube0.25m,2
2546,brickShapes:cubeCornerBeveled,4
2557,brickShapes:halfQuarterPost,2
2560,brickShapes:cubeQuarterPlateCorner2,1
2561,brickShapes:cubeQuarter,21
2575,brickShapes:cubeEighth,2
2580,brickShapes:pole,20
2631,brickShapes:polePlate,284
2634,brickShapes:polePlateCorner,10
2644,brickShapes:cubeHalfPlateCorner2,8
2647,brickShapes:plate,10
2677,brickShapes:plateHalf,2
2681,brickShapes:plateCornerBeveled,1
2684,brickShapes:plateQuarterTriangleCorner,1
2970,brickShapes:ramp,10
3609,brickShapes:cubeBaseboard,15
3612,brickShapes:cubeBaseboardCorner2Sided,2
3674,brickShapes:cubeTrimHalfSplit4Sided,3
3675,brickShapes:cubeTrimHalfSplit,53
3680,brickShapes:halfTrimSplit2,45
3717,brickShapes:cubeTrimCenterHalf,3
3745,brickShapes:cubeTrimQuarterEdge,26
3780,brickShapes:cubeTrimQuarterCornerInside,10
3783,brickShapes:cubeTrimQuarterCornerInside2,4
3838,brickShapes:cubeTrimHalfSplitDiagonal,2
3846,brickShapes:cubeTrimSplitWedge60Right,6
3855,brickShapes:cubeTrimQuarterEdgeTwoSided,49
3870,brickShapes:cubeTrimQuarterEdgeDouble,8
3994,brickShapes:doorTrim1m,5
4214,brickShapes:windowPlateRoundedSquare4SidedEmpty,1
4333,brickShapes:brickHalfCenteredDestroyed01,3
4334,brickShapes:brickHalfCenteredDestroyed02,1
4335,brickShapes:brickHalfCenteredDestroyed03,1
4336,brickShapes:brickHalfCenteredDestroyed04,2
4346,brickShapes:cubeTrimDestroyed01,9
4348,brickShapes:cubeTrimDestroyed03,2
4516,brickShapes:plateCounterHole,2
4527,brickShapes:cubeHalfBookshelfDouble,3
4528,brickShapes:cubeHalfBookshelfTriple,1
4529,brickShapes:bookcaseEmpty,6
4721,brickShapes:cubeWallDeco01,6
7051,concreteShapes:cube,1928
7054,concreteShapes:cubeThreeQuarter,4
7060,concreteShapes:cubeHalfCorner,3
7066,concreteShapes:cubeHalf,3
7105,concreteShapes:cubeHalfPoleCorner,2
7108,concreteShapes:pole,35
7137,concreteShapes:cubePoleCorner,2
7153,concreteShapes:polePlateQuarter,1
7154,concreteShapes:polePlateHalf,124
7172,concreteShapes:cubeHalfPlateCorner2,5
7175,concreteShapes:plate,38
7498,concreteShapes:ramp,10
7798,concreteShapes:rampInclineFiller,6
7986,concreteShapes:stairsFilledVerticalUV,6
8007,concreteShapes:stairsHollow,6
8123,concreteShapes:plateRailing02,4
8137,concreteShapes:cubeBaseboard,56
8139,concreteShapes:cubeBaseboardCorner03,2
8140,concreteShapes:cubeBaseboardCorner2Sided,2
8203,concreteShapes:cubeTrimHalfSplit,6
8273,concreteShapes:cubeTrimQuarterEdge,99
8292,concreteShapes:cubeTrimCircle,1
8308,concreteShapes:cubeTrimQuarterCornerInside,21
8383,concreteShapes:cubeTrimQuarterEdgeTwoSided,116
8385,concreteShapes:cubeHalfTrimQuarterEdgeTwoSidedOffset,4
8398,concreteShapes:cubeTrimQuarterEdgeDouble,6
8403,concreteShapes:cubeTrimCornerRound,5
8876,concreteShapes:cubeTrimDestroyed03,2
8878,concreteShapes:cubeTrimDestroyed05,2
8898,concreteShapes:concreteDestroyed06,4
8900,concreteShapes:concreteDestroyed08,2
9041,concreteShapes:plateCounter02,35
9128,concreteShapes:farmPlot,4
9138,concreteShapes:roadPaintDash,255
9139,concreteShapes:roadPaintDashCNTR,55
9141,concreteShapes:roadPaintDiagonal,21
9142,concreteShapes:roadPaintDashDiagonalFiller,23
9144,concreteShapes:roadPaint4mDiagonalLeft01,2
9145,concreteShapes:roadPaint4mDiagonalLeft02,2
9146,concreteShapes:roadPaint4mDiagonalLeft03,2
9147,concreteShapes:roadPaint4mDiagonalLeft04,2
9148,concreteShapes:roadPaint4mDiagonalLeft05,2
9149,concreteShapes:roadPaint4mDiagonalLeft06,2
9158,concreteShapes:roadPaintArrowStraight,6
9159,concreteShapes:roadPaintArrowLeft,4
9202,concreteShapes:cubeDrainStraight,8
9203,concreteShapes:cubeDrainStraightEnd,20
9205,concreteShapes:cubeDrainEndCap,8
9208,concreteShapes:cubeDrainCentered,1
9228,concreteShapes:bowlingGutterSingle,6
9229,concreteShapes:bowlingGutterDouble,10
9315,steelShapes:cube,5
10566,steelShapes:cubeHalfTrimQuarterSquare,1
13381,awningShapes:commercialBlindCornerTop,1
13843,corrugatedMetalShapes:cube,455
13858,corrugatedMetalShapes:cubeHalf,99
13860,corrugatedMetalShapes:cubeHalfPoleSquare,23
13861,corrugatedMetalShapes:cubeHalfPoleSquareCorner,3
13864,corrugatedMetalShapes:cubeHalfPoleSquareCorner3Way,16
13865,corrugatedMetalShapes:cube0.25m,3
13878,corrugatedMetalShapes:halfQuarterPost2,3
13879,corrugatedMetalShapes:cubeQuarterPlateCorner,4
13898,corrugatedMetalShapes:cubeHalfPoleSideCentered,1
