id,name,count
2,terrainFiller,292
16,terrGravel,153
17,terrAsphalt,766
259,woodShapes:cube,16
274,woodShapes:cubeHalf,26
413,woodShapes:plateHalf,2
416,woodShapes:plateQuarter,4
706,woodShapes:ramp,22
932,woodShapes:wedgeTipHalf,2
2523,brickShapes:cube,367
2525,brickShapes:cubeHalfInsideCorner,6
2526,brickShapes:cubeThreeQuarter,9
2532,brickShapes:cubeHalfCorner,12
2538,brickShapes:cubeHalf,30
2539,brickShapes:cubeHalfCentered,187
2561,brickShapes:cubeQuarter,2
2623,brickShapes:poleSquareCircle,1
2626,brickShapes:polePlateHalf,29
2631,brickShapes:polePlate,99
2721,brickShapes:pillar100Open,9
2754,brickShapes:cubeHalfBottomPole1mTop,1
2810,brickShapes:3mTubeCenter,6
2811,brickShapes:3mTubeCorner,4
2814,brickShapes:3mTunnelCenter,2
2818,brickShapes:3mTunnelCorner,4
2827,brickShapes:cubeHalf3mCenter,3
2828,brickShapes:cubeHalf3mCorner,2
2834,brickShapes:cube5mRound01,1
2842,brickShapes:cubeQuarter5mRound01,2
2843,brickShapes:cubeQuarter5mRound02,6
2844,brickShapes:cubeQuarter5mRound03,8
2845,brickShapes:cubeQuarter5mRound04,4
2846,brickShapes:cubeQuarter5mRound05,6
2861,brickShapes:cube5mDomeMiddle01,3
2862,brickShapes:cube5mDomeMiddle02,4
2863,brickShapes:cube5mDomeMiddle03,2
2864,brickShapes:cube5mDomeMiddle04,3
2865,brickShapes:cube5mDomeMiddle05,3
2866,brickShapes:cube5mDomeMiddle06,4
2867,brickShapes:cube5mDomeBottom01,4
2868,brickShapes:cube5mDomeBottom02,3
2869,brickShapes:cube5mDomeBottom03,4
2870,brickShapes:cube5mDomeBottom04,3
2871,brickShapes:cube5mDomeBottom05,2
3006,brickShapes:wedge60,46
3007,brickShapes:wedge60Tip,190
3019,brickShapes:wedge60Incline,90
3115,brickShapes:cubeHalfWedge60BevelLeft,2
3116,brickShapes:cubeHalfWedge60BevelRight,2
3117,brickShapes:wedge60InclineHalfLeft,6
3118,brickShapes:wedge60InclineHalfRight,6
3123,brickShapes:wedge60TipHalfLeft,12
3124,brickShapes:wedge60TipHalfRight,12
3210,brickShapes:wedgeTipQuarter,15
3421,brickShapes:gazeboRoofV1Topper,2
3457,brickShapes:stairsFilledQuarterVerticalUV,3
3615,brickShapes:cubeBaseboard4Sided,72
3674,brickShapes:cubeTrimHalfSplit4Sided,2
3717,brickShapes:cubeTrimCenterHalf,20
4228,brickShapes:arch2mWindow01Top,18
4231,brickShapes:arch2mWindow01Center,2
4234,brickShapes:arch2mWindow01Bottom,14
4237,brickShapes:arch2mBaseboard,14
4333,brickShapes:brickHalfCenteredDestroyed01,13
4334,brickShapes:brickHalfCenteredDestroyed02,6
4335,brickShapes:brickHalfCenteredDestroyed03,6
4336,brickShapes:brickHalfCenteredDestroyed04,11
7051,concreteShapes:cube,516
7060,concreteShapes:cubeHalfCorner,6
7066,concreteShapes:cubeHalf,88
7067,concreteShapes:cubeHalfCentered,105
7159,concreteShapes:polePlate,11
7283,concreteShapes:halfBlockPillar50,3
