id,name,count
1,terrStone,1
2,terrainFiller,71241
5,terrDirt,70
14,terrDestroyedStone,10
16,terrGravel,2037
17,terrAsphalt,385
18,terrConcrete,45
29,terrStoneHelper,18381
383,woodShapes:plate,10
1047,woodShapes:plateWedge60Tip,1
1054,woodShapes:plateWedge60Incline,1
1690,woodShapes:crown,24
1695,woodShapes:crownInsideCorner,8
1725,woodShapes:windowTrim,5
1726,woodShapes:windowTrimBottom,5
1727,woodShapes:windowTrimSides,3
2218,woodShapes:buffetCounter,3
2223,woodShapes:counterHollowCombo,2
2224,woodShapes:plateCounter,2
2228,woodShapes:plateCounterHole,4
2274,woodShapes:ladderSquare,1
6979,concreteShapes:cube,19161
6981,concreteShapes:cubeHalfInsideCorner,4
6988,concreteShapes:cubeHalfCorner,12
6989,concreteShapes:cubeHalfCorner2,2
6994,concreteShapes:cubeHalf,853
7002,concreteShapes:cubeCornerBeveled,8
7005,concreteShapes:cubeBeveledCorner,1
7017,concreteShapes:cubeQuarter,41
7018,concreteShapes:cubeQuarterCenter,4
7019,concreteShapes:quarterCenteredWall,20
7031,concreteShapes:cubeEighth,2
7167,concreteShapes:billboard,1
7175,concreteShapes:pillar100,7
7187,concreteShapes:pillar50,20
7210,concreteShapes:halfBlockPillar50,2
7382,concreteShapes:arch,24
7425,concreteShapes:ramp,957
7433,concreteShapes:rampInsideCornerFull,4
7441,concreteShapes:rampOutsideCornerFull,8
7442,concreteShapes:rampCorner,25
7443,concreteShapes:rampCornerFiller,24
7461,concreteShapes:wedge60,303
7462,concreteShapes:wedge60Tip,85
7468,concreteShapes:wedge60Corner,8
7470,concreteShapes:wedge60InsideCorner2,7
7578,concreteShapes:wedge60TipCornerBase,11
7579,concreteShapes:wedge60TipCornerTop,8
7584,concreteShapes:wedgeNarrowHigh,68
7585,concreteShapes:wedgeNarrowMid,68
7586,concreteShapes:wedgeNarrowLow,84
7587,concreteShapes:wedgeNarrowTip,84
7593,concreteShapes:wedgeRampLeft,1
7594,concreteShapes:wedgeRampRight,1
7716,concreteShapes:halfRampStairs50,8
7717,concreteShapes:halfRampStairs50Filler,4
7906,concreteShapes:stairsFilledQuarterVerticalUV,6
7907,concreteShapes:stairsFilledVerticalUV,6
7921,concreteShapes:stairsFilledRailingRight,1
7992,concreteShapes:catwalkV2WedgeRampFiller,3
8056,concreteShapes:cubeBaseboard,122
8062,concreteShapes:cubeBaseboard4Sided,11
8081,concreteShapes:cubeBaseboardChairRail,93
8084,concreteShapes:cubeBaseboardChairRail4Sided,8
8092,concreteShapes:halfChairRailOffset,4
8122,concreteShapes:cubeTrimHalfSplit,33
8137,concreteShapes:cubeTrimCornerQuarter,10
8192,concreteShapes:cubeTrimQuarterEdge,93
8193,concreteShapes:cubeHalfTrimQuarterEdgeBottom,2
8194,concreteShapes:halfTrimQuarterEdge,3
8202,concreteShapes:cubeHalfTrimQuarter2Sided,6
8227,concreteShapes:cubeTrimQuarterCornerInside,24
8231,concreteShapes:cubeHalfTrimQuarterCornerInside2,4
8255,concreteShapes:cubeTrimQuarterCornerDiagonal,2
8270,concreteShapes:cubeTrimQuarterDiagonalFiller2,12
8276,concreteShapes:cubeTrimQuarterEdgeDiagonalFiller2Left,12
8279,concreteShapes:cubeTrimQuarterEdgeDiagonalFiller2Right,4
8282,concreteShapes:cubeTrimQuarterEdgeCornerDiagonalFiller2,2
8302,concreteShapes:cubeTrimQuarterEdgeTwoSided,40
8308,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,4
8342,concreteShapes:rampTrimQuarterEdge2Sided,2
8937,concreteShapes:cupboardCorner,237
9032,concreteShapes:farmPlot,4
9106,concreteShapes:cubeDrainStraight,4
9107,concreteShapes:cubeDrainStraightEnd,8
13699,corrugatedMetalShapes:cube,718
13714,corrugatedMetalShapes:cubeHalf,370
13722,corrugatedMetalShapes:cubeCornerBeveled,7
13737,corrugatedMetalShapes:cubeQuarter,14
13738,corrugatedMetalShapes:cubeQuarterCenter,6
13739,corrugatedMetalShapes:quarterCenteredWall,8
13751,corrugatedMetalShapes:cubeEighth,4
13756,corrugatedMetalShapes:pole,45
13758,corrugatedMetalShapes:poleSideCentered,7
13761,corrugatedMetalShapes:poleHalfSideCentered,1
13800,corrugatedMetalShapes:catwalkPlate,1
13807,corrugatedMetalShapes:polePlate,19
13820,corrugatedMetalShapes:cubeHalfPlateCorner2,4
13823,corrugatedMetalShapes:plate,234
13824,corrugatedMetalShapes:plateCentered,26
13835,corrugatedMetalShapes:plateCorner,8
13887,corrugatedMetalShapes:billboard,25
13901,corrugatedMetalShapes:halfPillar1mPlate,1
13907,corrugatedMetalShapes:pillar50,29
13930,corrugatedMetalShapes:halfBlockPillar50,2
13936,corrugatedMetalShapes:pillar0.025,82
13938,corrugatedMetalShapes:pillar0.025Centered,3
13940,corrugatedMetalShapes:pillar0.025Middle,12
13947,corrugatedMetalShapes:pillar0.05Centered,4
13951,corrugatedMetalShapes:pillar0.05Double,7
13954,corrugatedMetalShapes:pillar0.25Triple,14
13966,corrugatedMetalShapes:pipeStraight,6
13969,corrugatedMetalShapes:pipeFlange,2
13985,corrugatedMetalShapes:3mTubeCenter,45
13986,corrugatedMetalShapes:3mTubeCorner,62
13989,corrugatedMetalShapes:3mTunnelCenter,5
13993,corrugatedMetalShapes:3mTunnelCorner,14
13998,corrugatedMetalShapes:cube3mCenter,8
14001,corrugatedMetalShapes:cube3mCorner,8
14002,corrugatedMetalShapes:cubeHalf3mCenter,8
14003,corrugatedMetalShapes:cubeHalf3mCorner,8
14017,corrugatedMetalShapes:cubeQuarter5mRound01,72
14018,corrugatedMetalShapes:cubeQuarter5mRound02,72
14019,corrugatedMetalShapes:cubeQuarter5mRound03,72
14020,corrugatedMetalShapes:cubeQuarter5mRound04,72
14021,corrugatedMetalShapes:cubeQuarter5mRound05,72
14024,corrugatedMetalShapes:cube5mRoundRoofTop01,1
14025,corrugatedMetalShapes:cube5mRoundRoofTop02,4
14026,corrugatedMetalShapes:cube5mRoundRoofTop03,4
14027,corrugatedMetalShapes:cube5mRoundRoofBottom01,4
14028,corrugatedMetalShapes:cube5mRoundRoofBottom02,4
14029,corrugatedMetalShapes:cube5mRoundRoofBottom03,4
14030,corrugatedMetalShapes:cube5mRoundRoofBottom04,4
14031,corrugatedMetalShapes:cube5mRoundRoofBottom05,4
14032,corrugatedMetalShapes:cube5mRoundRoofBottom06,4
14102,corrugatedMetalShapes:arch,30
14127,corrugatedMetalShapes:cornerRound,17
14139,corrugatedMetalShapes:cubeHalfQuarterRoundOutside,4
