id,name,count
2,terrainFiller,10630
14,terrDestroyedStone,1024
16,terrGravel,480
17,terrAsphalt,798
259,woodShapes:cube,109
268,woodShapes:cubeHalfCorner,3
274,woodShapes:cubeHalf,40
362,woodShapes:polePlateHalf,3
367,woodShapes:polePlate,11
383,woodShapes:plate,8
420,woodShapes:plateQuarterTriangleCorner,3
796,woodShapes:rampInclinePlateRight,4
871,woodShapes:wedgeNarrowHigh,4
872,woodShapes:wedgeNarrowMid,4
1006,woodShapes:rampInclineFiller,4
1370,woodShapes:cubeBaseboardChairRail,11
1373,woodShapes:cubeBaseboardChairRail4Sided,1
1376,woodShapes:halfCornerChairRail4Sided,1
1381,woodShapes:halfChairRailOffset,9
1385,woodShapes:halfChairRail4Sided,1
1673,woodShapes:cubeHeatVent,1
1730,woodShapes:doorTrim1m,1
2053,woodShapes:windowBoarded,2
2059,woodShapes:windowPanel,15
2181,woodShapes:floorJoist2,4
2246,woodShapes:counterHollowFront,1
2249,woodShapes:plateCounter02,6
2258,woodShapes:cubeHollow,1
2260,woodShapes:cubeCornerBeveledBookcaseEmpty,3
2265,woodShapes:bookcaseEmpty,1
2268,woodShapes:bookcaseHalfEmpty,1
2523,brickShapes:cube,855
2538,brickShapes:cubeHalf,124
2583,brickShapes:poleHalf,4
2626,brickShapes:polePlateHalf,120
2647,brickShapes:plate,1
2677,brickShapes:plateHalf,10
2684,brickShapes:plateQuarterTriangleCorner,4
3006,brickShapes:wedge60,24
3007,brickShapes:wedge60Tip,24
3220,brickShapes:plateHalfGable,6
3221,brickShapes:gable3Quarter,6
3302,brickShapes:plateWedge60Left,2
3303,brickShapes:plateWedge60Right,2
3304,brickShapes:plateWedge60LeftTip,16
3305,brickShapes:plateWedge60RightTip,16
3312,brickShapes:plateWedge60LeftHollow,12
3313,brickShapes:plateWedge60RightHollow,12
3400,brickShapes:slopePlateLeft03,9
3406,brickShapes:slopePlateRight03,9
3629,brickShapes:halfBaseboard4Sided,27
3674,brickShapes:cubeTrimHalfSplit4Sided,6
4337,brickShapes:brickHalfDestroyed01,1
4338,brickShapes:brickHalfDestroyed02,1
4339,brickShapes:brickHalfDestroyed03,1
4340,brickShapes:brickHalfDestroyed04,2
4341,brickShapes:brickHalfDestroyed05,2
4342,brickShapes:brickHalfDestroyed06,1
7051,concreteShapes:cube,2066
7054,concreteShapes:cubeThreeQuarter,32
7060,concreteShapes:cubeHalfCorner,22
7066,concreteShapes:cubeHalf,328
7073,concreteShapes:cube0.25m,26
7087,concreteShapes:cubeQuarterPlateCorner,4
7089,concreteShapes:cubeQuarter,90
7108,concreteShapes:pole,22
7137,concreteShapes:cubePoleCorner,4
7171,concreteShapes:cubeHalfPlateCorner,15
7172,concreteShapes:cubeHalfPlateCorner2,9
7175,concreteShapes:plate,127
7187,concreteShapes:plateCorner,1
7498,concreteShapes:ramp,1
7534,concreteShapes:wedge60,3
7620,concreteShapes:wedge60SplitRight03,1
7663,concreteShapes:wedgeNarrowHigh,16
7664,concreteShapes:wedgeNarrowMid,16
7665,concreteShapes:wedgeNarrowLow,16
7666,concreteShapes:wedgeNarrowTip,16
7985,concreteShapes:stairsFilledQuarterVerticalUV,1
7986,concreteShapes:stairsFilledVerticalUV,4
8001,concreteShapes:stairsFilledRailingMetalLeft,1
8137,concreteShapes:cubeBaseboard,40
8143,concreteShapes:cubeBaseboard4Sided,1
8202,concreteShapes:cubeTrimHalfSplit4Sided,6
8203,concreteShapes:cubeTrimHalfSplit,5
8208,concreteShapes:halfTrimSplit2,5
8273,concreteShapes:cubeTrimQuarterEdge,62
8286,concreteShapes:cubeTrimQuarterCenter,8
8308,concreteShapes:cubeTrimQuarterCornerInside,12
8324,concreteShapes:cubeTrimQuarterDiagonal,2
8336,concreteShapes:cubeTrimQuarterCornerDiagonal,2
8339,concreteShapes:cubeTrimQuarterDiagonalFiller,3
8351,concreteShapes:cubeTrimQuarterDiagonalFiller2,2
8357,concreteShapes:cubeTrimQuarterEdgeDiagonalFiller2Left,4
8360,concreteShapes:cubeTrimQuarterEdgeDiagonalFiller2Right,2
8363,concreteShapes:cubeTrimQuarterEdgeCornerDiagonalFiller2,2
8383,concreteShapes:cubeTrimQuarterEdgeTwoSided,67
8389,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,7
8449,concreteShapes:wedgeNarrowHighLeftTrim2Sided,1
8450,concreteShapes:wedgeNarrowMidLeftTrim2Sided,1
8451,concreteShapes:wedgeNarrowLowLeftTrim2Sided,1
8452,concreteShapes:wedgeNarrowTipLeftTrim2Sided,1
8455,concreteShapes:wedgeNarrowHighRightTrim2Sided,1
8456,concreteShapes:wedgeNarrowMidRightTrim2Sided,1
8457,concreteShapes:wedgeNarrowLowRightTrim2Sided,1
8458,concreteShapes:wedgeNarrowTipRightTrim2Sided,1
8831,concreteShapes:windowTopRoundPlate,1
9202,concreteShapes:cubeDrainStraight,16
9203,concreteShapes:cubeDrainStraightEnd,9
9205,concreteShapes:cubeDrainEndCap,1
11280,steelShapes:dynamicGrate,2
11766,awningShapes:billboardHalf,6
11767,awningShapes:billboard,63
12546,awningShapes:stairsSpiralPillar,6
13843,corrugatedMetalShapes:cube,232
13847,corrugatedMetalShapes:cube1mHole,1
13858,corrugatedMetalShapes:cubeHalf,22
13866,corrugatedMetalShapes:cubeCornerBeveled,43
13879,corrugatedMetalShapes:cubeQuarterPlateCorner,69
13881,corrugatedMetalShapes:cubeQuarter,82
13888,corrugatedMetalShapes:cubeTee,1
13895,corrugatedMetalShapes:cubeEighth,4
13899,corrugatedMetalShapes:cubeHalfPoleCentered,1
13900,corrugatedMetalShapes:pole,498
13901,corrugatedMetalShapes:poleCentered,4
13902,corrugatedMetalShapes:poleSideCentered,21
13903,corrugatedMetalShapes:poleHalf,1
13906,corrugatedMetalShapes:poleTwoWayCorner,14
13910,corrugatedMetalShapes:poleSquareSideCenteredTee,2
13914,corrugatedMetalShapes:poleSquareCornerBracketLeft,2
13925,corrugatedMetalShapes:poleSquareDouble,67
13927,corrugatedMetalShapes:poleSquareDoubleTop,32
13929,corrugatedMetalShapes:cubePoleCorner,1
13939,corrugatedMetalShapes:poleSquareTipLeft,4
13940,corrugatedMetalShapes:poleSquareTipRight,4
13944,corrugatedMetalShapes:catwalkPlate,3
13946,corrugatedMetalShapes:polePlateHalf,10
13947,corrugatedMetalShapes:polePlateHalfCentered,8
13951,corrugatedMetalShapes:polePlate,5
13958,corrugatedMetalShapes:poleSquareCornerRound,10
13963,corrugatedMetalShapes:cubeHalfPlateCorner,3
13964,corrugatedMetalShapes:cubeHalfPlateCorner2,25
13967,corrugatedMetalShapes:plate,1528
13968,corrugatedMetalShapes:plateCentered,30
13970,corrugatedMetalShapes:plateCladding01,20
13979,corrugatedMetalShapes:plateCorner,62
13980,corrugatedMetalShapes:plateCornerHalfTop,7
13985,corrugatedMetalShapes:plateCornerHalfTopHalf,1
13987,corrugatedMetalShapes:plateCornerTwoWall,1
13996,corrugatedMetalShapes:plateThreeQuarter,4
13997,corrugatedMetalShapes:plateHalf,26
14000,corrugatedMetalShapes:plateQuarter,3
14002,corrugatedMetalShapes:plateHalfTriangle,12
14004,corrugatedMetalShapes:plateQuarterTriangleCorner,2
14007,corrugatedMetalShapes:platePole,12
14010,corrugatedMetalShapes:platePoleCornerFiller,5
14011,corrugatedMetalShapes:platePoleCorner,10
14012,corrugatedMetalShapes:platePoleCorner2,150
14014,corrugatedMetalShapes:poleTwoWayPlate2,12
14030,corrugatedMetalShapes:billboardHalf,2
14039,corrugatedMetalShapes:pillar100,16
14040,corrugatedMetalShapes:halfPillar100,1
14044,corrugatedMetalShapes:halfPillar1mHalf,6
14045,corrugatedMetalShapes:halfPillar1mPlate,2
14048,corrugatedMetalShapes:plateQuarterRoundCorner,2
14051,corrugatedMetalShapes:pillar100Cap,2
14052,corrugatedMetalShapes:pillar50,26
14074,corrugatedMetalShapes:cubeHalfBottomPole1mTop,4
14075,corrugatedMetalShapes:halfBlockPillar50,1
14076,corrugatedMetalShapes:pillar50Plate,3
14077,corrugatedMetalShapes:pillar100Plate,1
14081,corrugatedMetalShapes:pillar0.025,33
14083,corrugatedMetalShapes:pillar0.025Centered,7
14085,corrugatedMetalShapes:pillar0.025Middle,4
14086,corrugatedMetalShapes:pillar0.025MiddleHalf,4
14087,corrugatedMetalShapes:pillar0.025Double,3
14094,corrugatedMetalShapes:pillar0.05Middle,8
14099,corrugatedMetalShapes:pillar0.25Triple,22
14111,corrugatedMetalShapes:pipeStraight,83
