id,name,count
2,terrainFiller,1226
16,terrGravel,176
17,terrAsphalt,159
259,woodShapes:cube,267
261,woodShapes:cubeHalfInsideCorner,4
268,woodShapes:cubeHalfCorner,6
274,woodShapes:cubeHalf,66
383,woodShapes:plate,11
1169,woodShapes:cubeHalfPillar0.025,1
1185,woodShapes:stairsFilledQuarterVerticalUV,2
1258,woodShapes:catwalkV1RailOnly,5
1360,woodShapes:cubeBaseboardChairRail,21
1361,woodShapes:cubeBaseboardChairRail2Sided,1
1363,woodShapes:cubeBaseboardChairRail4Sided,3
1365,woodShapes:halfCornerChairRail2Sided,2
1371,woodShapes:halfChairRailOffset,2
1400,woodShapes:cubeTrimHalfSplit4Sided,3
1401,woodShapes:cubeTrimHalfSplit,24
1443,woodShapes:cubeTrimCenterHalf,3
1471,woodShapes:cubeTrimQuarterEdge,14
1506,woodShapes:cubeTrimQuarterCornerInside,2
1512,woodShapes:cubeTrimQuarterCornerInsideDouble,1
1689,woodShapes:crown,20
1694,woodShapes:crownInsideCorner,9
1712,woodShapes:doorTrim1mDouble,1
1724,woodShapes:windowTrim,5
1725,woodShapes:windowTrimBottom,5
1726,woodShapes:windowTrimSides,6
1962,woodShapes:window02Broken03,1
2135,woodShapes:woodDebris01,1
2136,woodShapes:woodDebris02,2
2137,woodShapes:woodDebris03,2
2155,woodShapes:cubeHalfSplitFloorJoist,20
6976,concreteShapes:cube,203
7172,concreteShapes:pillar100,1
13455,awningShapes:verticalBlindsTop2,2
13456,awningShapes:verticalBlindsBottom,2
13693,corrugatedMetalShapes:cube,2
13708,corrugatedMetalShapes:cubeHalf,4
13725,corrugatedMetalShapes:halfBlockPoleQuarter,1
13733,corrugatedMetalShapes:quarterCenteredWall,5
13750,corrugatedMetalShapes:pole,24
13881,corrugatedMetalShapes:billboard,318
13901,corrugatedMetalShapes:pillar50,8
14138,corrugatedMetalShapes:ramp,38
14358,corrugatedMetalShapes:wedgeTipHalf,8
14362,corrugatedMetalShapes:plateWedgeTip,5
