id,name,count
2,terrainFiller,1517
5,terrDirt,359
316,woodShapes:pole,4
383,woodShapes:plate,1
413,woodShapes:plateHalf,23
1728,woodShapes:doorTrim0.5m,13
1730,woodShapes:doorTrim1m,13
2160,woodShapes:woodDebris01,2
2303,woodShapes:trellisDiamond,16
13900,corrugatedMetalShapes:pole,4
13967,corrugatedMetalShapes:plate,34
15405,corrugatedMetalShapes:windowStoreThreeSidedFull,50
15406,corrugatedMetalShapes:windowStoreFourSidedFull,73
15418,corrugatedMetalShapes:windowStoreOneSidedBroken,8
15419,corrugatedMetalShapes:windowStoreTwoSidedBroken,1
15420,corrugatedMetalShapes:windowStoreThreeSidedBroken,24
15421,corrugatedMetalShapes:windowStoreFourSidedBroken,8
15422,corrugatedMetalShapes:windowStoreCornerBroken,16
15446,corrugatedMetalShapes:windowRampFourSidedFull,39
15447,corrugatedMetalShapes:windowRampFourSidedBroken,5
15457,corrugatedMetalShapes:windowStoreThreeSidedTriangleFull,8
15485,corrugatedMetalShapes:windowStoreWedge60TipFullRight,1
18613,cntMedicLootPileA,1
18718,cntFootlockerGreenRandomLootHelper,1
18756,utilitySink,1
18797,cntPillCaseRandomLootHelper,1
18847,glassBroken_01,1
18848,glassBroken_02,2
18850,glassBrokenCapLeft,1
18851,glassBrokenCapRight,6
18853,newspaperDecor02,1
18862,rubbishDecor08,5
18871,bloodDecor06,2
18883,cntBinTrashMetalWhiteRandomLootHelper,1
18946,cntUtilityCartEmptyGreen,2
18962,cntUtilityCartGreenRandomLootHelper,1
19016,cntBagsRandomLootHelper,2
20210,cntBarrelPlasticSingle00,2
20264,goreBlockHumanCorpse3,1
20392,palletTarpBaseGreen,3
20417,palletEmptyStack,2
20458,palletBagFertilizerBaseFull,1
20460,palletBagFertilizerBaseMed,1
20463,palletBagFertilizerSingleBent,1
20464,palletBagFertilizerSingleFlat,7
20547,palletBagBlankSingleBentArmyGreen,1
20549,treePlant02,1
20625,plantHouseTallPottedWhite,1
20652,cntCollapsedChemistryStation,1
21898,rustyIronTable,2
21973,chairFoldingMetalFoldedLeaningGrey,1
22426,cntRollingToolBoxRandomLootHelperGrey,1
22943,restaurantTableEnd,6
23904,signCanvasWood1x1,1
24616,treeDeadPineLeaf,4
24625,plantShrubDead,7
24630,treeDeadTree02,1
24719,plantedCottonDead,2
24725,plantedCoffeeDead,6
24748,plantedPotatoDead,2
24788,farmPlotBlockRaised,10
24816,sleeperSit,3
24817,sleeperBack,3
24818,sleeperSideLeft,2
24821,sleeperIdle,3
