id,name,count
2,terrainFiller,82
5,terrDirt,16
16,terrGravel,511
316,woodShapes:pole,12
317,woodShapes:poleCentered,3
383,woodShapes:plate,2
395,woodShapes:plateCorner,4
425,woodShapes:platePoleCentered,1
870,woodShapes:wedgeNarrowLow,2
1051,woodShapes:plateWedge60Tip,3
1058,woodShapes:plateWedge60Incline,4
1061,woodShapes:plateWedge60Filler,2
1260,woodShapes:catwalkV1WedgeRailing,2
1263,woodShapes:catwalkV1RailOnly,14
1717,woodShapes:doorTrim1mDouble,5
2036,woodShapes:windowBoarded,1
2140,woodShapes:woodDebris01,2
2141,woodShapes:woodDebris02,2
2142,woodShapes:woodDebris03,1
2278,woodShapes:ladderSquare,4
2280,woodShapes:ladderSquareBroken02,1
2292,woodShapes:fence,7
2295,woodShapes:fenceBroken1,2
2296,woodShapes:fenceBroken2,3
2503,brickShapes:cube,9
2519,brickShapes:cubeHalfCentered,38
4296,brickShapes:brickHalfCenteredDestroyed01,4
4297,brickShapes:brickHalfCenteredDestroyed02,5
4298,brickShapes:brickHalfCenteredDestroyed03,5
4299,brickShapes:brickHalfCenteredDestroyed04,3
6991,concreteShapes:cube,25
7006,concreteShapes:cubeHalf,42
7023,concreteShapes:halfBlockPoleQuarter,8
7099,concreteShapes:polePlate,3
8819,concreteShapes:concreteDestroyed04,1
14525,corrugatedMetalShapes:plateWedge60Filler,18
15631,corrugatedMetalShapes:iBeamCentered,24
15634,corrugatedMetalShapes:iBeamCenteredFoundation,8
18462,smallPileRandomHelper,1
18690,newspaperDecor01,1
18694,rubbishDecor01,2
18695,rubbishDecor02,2
18696,rubbishDecor03,1
18697,rubbishDecor04,3
18698,rubbishDecor05,2
18699,rubbishDecor06,1
18700,rubbishDecor08,2
18701,rubbishDecor09,2
18702,rubbishDecor10,2
18703,rubbishDecor11,1
18704,rubbishDecor12,1
18705,rubbishDecor13,1
18709,bloodDecor06,1
18807,cntCoolerRandomLootHelper,1
18856,cntSportsBag02RandomLootHelper,1
19674,banditWallCorrugated1x2.5,7
19675,banditWallCorrugated1x3,7
19683,banditWallRibbed2x1White,4
19684,banditWallRibbed2x1Brown,1
19686,banditWallRibbed2x1Orange,2
19688,banditWallRibbed2x1Green,1
19718,banditWallSiding2x2Orange,1
19719,banditWallSiding2x2Yellow,2
19721,banditWallSiding2x2Blue,1
19722,banditWallSiding2x2Grey,1
19724,banditWallSiding3x3Brown,1
19725,banditWallSiding3x3Red,2
19726,banditWallSiding3x3Orange,1
19728,banditWallSiding3x3Green,1
19794,chainlinkGateDoubleWide,1
19796,chainlinkFenceDoor,1
19798,chainlinkFencePole,21
19799,chainlinkFencePole02,12
19800,chainlinkFencePole03,3
19801,chainlinkFenceBottomRail,2
19804,chainlinkFenceBottomRailPoleCorner,1
19805,chainlinkFenceMiddleRail,2
19808,chainlinkFenceMiddleRailPoleCorner,1
19809,chainlinkFenceTopRail,2
19810,chainlinkFenceTopRailBridge,1
19813,chainlinkFenceTopRailCorner,1
19818,chainlinkFenceTopPlainRail,51
19819,chainlinkFenceTopPlainPoleLeft,48
19820,chainlinkFenceTopPlainPoleRight,57
19821,chainlinkFenceTopPlainCorner,6
20073,goreBlockHumanCorpse,1
20075,goreBlockHumanCorpse2,1
20152,cobweb,1
20165,palletBrownBoxesBase,4
20166,palletBrownBoxesTile,1
20167,palletBrownBoxesTop,2
20168,palletBrownBoxesTopSmall,1
20194,palletBricksBaseRandomHelper,2
20197,palletBricksTopRandomHelper,2
20225,palletTarpTileRandomHelper,2
20237,bricksStack,1
20263,palletBagConcreteBaseFull,7
20264,palletBagConcreteTile,1
20266,palletBagConcreteCapMed,2
20268,palletBagConcreteCapSml,2
20269,palletBagConcreteSingleBent,1
20270,palletBagConcreteSingleFlat,2
21750,chairFoldingMetalUnfoldedBrown,1
21983,bedrollArmyGreenPOI,1
22986,portaPottyBackBlue,2
22996,portaPottyTopSidesBlue,2
23006,portaPottyDoorBlue,2
23096,rubblePileCement,1
23097,rubblePileConcreteSmall,24
23600,barbedWireSpindle,15
23601,barbedWireSpindle1m,14
23603,barbedWireSpindle2,4
23604,barbedWireSpindle3,2
23605,barbedWireSpindle4,2
23608,looseBoardsTrapPlate1x1,1
23972,cntServiceTruckRandomLootHelper,1
24012,backhoeYellow,1
24046,semiFlatbedBack,1
24048,semiFlatbedMiddleWheels,1
24053,semiFlatbedFront,1
24088,shippingContainerDoorRightOpenGreen,1
24089,shippingContainerDoorRightRotatedGreen,1
24090,shippingContainerSideGreen,6
24092,shippingContainerSideTextGreen,1
24093,shippingContainerSideHoleGreen,2
24094,shippingContainerCapGreen,1
24312,sleeperSit,4
24313,sleeperBack,1
24314,sleeperSideLeft,2
24315,sleeperSideRight,2
24316,sleeperStomach,1
24317,sleeperIdle,5
