id,name,count
2,terrainFiller,6381
14,terrDestroyedStone,255
16,terrGravel,497
259,woodShapes:cube,10
274,woodShapes:cubeHalf,15
314,woodShapes:cubeHalfPoleSideCentered,14
316,woodShapes:pole,40
318,woodShapes:poleSideCentered,29
321,woodShapes:poleHalfSideCentered,13
334,woodShapes:poleSquareBracketCornerPlate,6
358,woodShapes:poleSquareDiagonal,17
418,woodShapes:plateHalfTriangle,5
419,woodShapes:plateQuarterTriangle,2
467,woodShapes:pillar50,1
492,woodShapes:pillar100Plate,2
518,woodShapes:poleSupport,14
705,woodShapes:ramp,12
737,woodShapes:rampSplitLeft05,3
1815,woodShapes:windowStoreThreeSidedBroken,2
1816,woodShapes:windowStoreFourSidedBroken,2
2032,woodShapes:windowBoarded,4
2107,woodShapes:plateDiagonalDestroyed05,1
2108,woodShapes:plateDiagonalDestroyed06,1
2130,woodShapes:sidingBurnt02,1
2131,woodShapes:sidingBurnt03,1
2157,woodShapes:floorJoist2,1
2205,woodShapes:tableDynamicHalf,3
2241,woodShapes:bookcaseEmpty,4
2489,woodShapes:sidewalkCurb,19
2490,woodShapes:sidewalkCurbCorner,5
2491,woodShapes:metalTruss3D,5
6979,concreteShapes:cube,101
6988,concreteShapes:cubeHalfCorner,9
6994,concreteShapes:cubeHalf,118
7017,concreteShapes:cubeQuarter,18
7177,concreteShapes:pillar100Open,1
7218,concreteShapes:pillar0.025Centered,19
7295,concreteShapes:cubeHalf5mRound03,4
7425,concreteShapes:ramp,143
7449,concreteShapes:rampSplitLeft01,5
7645,concreteShapes:wedgeTipHalf,18
7716,concreteShapes:halfRampStairs50,3
7890,concreteShapes:cubeHalfPillar0.025,1
7894,concreteShapes:rampPillar0.025,2
8344,concreteShapes:rampHalfTrimQuarterEdge2SidedOffset,18
8823,concreteShapes:plateDiagonalDestroyed,3
8824,concreteShapes:plateDiagonalDestroyed02,2
8858,concreteShapes:woodDebris03,1
8903,concreteShapes:trussingBent,1
8918,concreteShapes:securityGateCenteredDiagonal,8
11646,awningShapes:billboardHalf,6
11647,awningShapes:billboard,3
13714,corrugatedMetalShapes:cubeHalf,2
13823,corrugatedMetalShapes:plate,58
13864,corrugatedMetalShapes:platePoleSideCentered,1
13887,corrugatedMetalShapes:billboard,25
13905,corrugatedMetalShapes:sphere,1
13940,corrugatedMetalShapes:pillar0.025Middle,4
13981,corrugatedMetalShapes:pillar25x25x25Tee,3
14452,corrugatedMetalShapes:plateDiagonal,43
14636,corrugatedMetalShapes:stairs,1
15145,corrugatedMetalShapes:doorTrimCorner,8
15149,corrugatedMetalShapes:doorTrim1m,56
15152,corrugatedMetalShapes:doorTrimDiagonal,2
15355,corrugatedMetalShapes:windowPlateRoundedSquare4SidedBroken,2
