id,name,count
2,terrainFiller,3534
16,terrGravel,387
17,terrAsphalt,11
2515,brickShapes:cubeHalfCentered,45
4288,brickShapes:brickHalfCenteredDestroyed01,1
4289,brickShapes:brickHalfCenteredDestroyed02,2
4290,brickShapes:brickHalfCenteredDestroyed03,1
4291,brickShapes:brickHalfCenteredDestroyed04,2
6979,concreteShapes:cube,401
7017,concreteShapes:cubeQuarter,30
7031,concreteShapes:cubeEighth,4
7103,concreteShapes:plate,4
7132,concreteShapes:plateThreeQuarter,12
7133,concreteShapes:plateHalf,84
7407,concreteShapes:cornerRound,16
7721,concreteShapes:rampInclineFillerHalfRight,1
8062,concreteShapes:cubeBaseboard4Sided,4
8164,concreteShapes:cubeTrimCenterHalf,1
8192,concreteShapes:cubeTrimQuarterEdge,16
8227,concreteShapes:cubeTrimQuarterCornerInside,16
8302,concreteShapes:cubeTrimQuarterEdgeTwoSided,10
8806,concreteShapes:concreteDestroyed07,1
9037,concreteShapes:plateSidewalkBroke02,1
9039,concreteShapes:plateSidewalkBroke04,1
9257,steelShapes:cubeQuarter,4
9480,steelShapes:poleSupportCenter,4
13699,corrugatedMetalShapes:cube,23
13756,corrugatedMetalShapes:pole,69
13758,corrugatedMetalShapes:poleSideCentered,2
13802,corrugatedMetalShapes:polePlateHalf,8
13823,corrugatedMetalShapes:plate,8
13835,corrugatedMetalShapes:plateCorner,1
13853,corrugatedMetalShapes:plateHalf,28
13856,corrugatedMetalShapes:plateQuarter,4
13884,corrugatedMetalShapes:billboardQuarter,2
13895,corrugatedMetalShapes:pillar100,2
13911,corrugatedMetalShapes:halfLengthPillar50,16
13931,corrugatedMetalShapes:pillar50Plate,1
13936,corrugatedMetalShapes:pillar0.025,3
13938,corrugatedMetalShapes:pillar0.025Centered,2
13940,corrugatedMetalShapes:pillar0.025Middle,60
13942,corrugatedMetalShapes:pillar0.025Double,1
13947,corrugatedMetalShapes:pillar0.05Centered,6
13958,corrugatedMetalShapes:poleSupport,28
13959,corrugatedMetalShapes:poleSupport2,28
13962,corrugatedMetalShapes:poleCross3x1,14
13973,corrugatedMetalShapes:pipeThin,18
14127,corrugatedMetalShapes:cornerRound,1
14181,corrugatedMetalShapes:wedge60,8
14305,corrugatedMetalShapes:wedgeNarrowMid,8
14425,corrugatedMetalShapes:pyramid,1
14912,corrugatedMetalShapes:cubeTrimQuarterEdge,4
14943,corrugatedMetalShapes:cubeTrimQuarterCornerOutside,4
15583,corrugatedMetalShapes:scaffoldingLadder,8
15616,corrugatedMetalShapes:bracket,2
15639,corrugatedMetalShapes:securityGatePlate,1
15855,corrugatedMetalShapes:cubeFacade,4
15858,corrugatedMetalShapes:cubeFacadeCorner,4
15864,corrugatedMetalShapes:cubeHalfFacadeCap,16
15898,corrugatedMetalShapes:signLetter_e,1
15901,corrugatedMetalShapes:signLetter_h,1
18640,cntTrashPile02,1
18641,cntTrashPile03,1
18822,cntBagsRandomLootHelper,3
18825,electricalBox01,1
18833,utilityInsulator,4
18834,airConditioner,1
18835,airConditionVentFan,1
18904,controlPanelBase01White,1
18906,controlPanelBase03White,4
18909,controlPanelBase06White,2
18913,controlPanelTop01White,1
18914,controlPanelTop02White,1
18916,controlPanelTop04White,1
18917,controlPanelTop05White,2
18918,controlPanelTop06White,1
18936,breakerBoxClosed,1
18937,breakerBoxOpen,1
18938,breakerBoxBroken,2
18943,commercialSingleMeterDisconnect,1
18944,commercialSingleMeter,1
18945,commercialDualMeter,1
18948,conduit01,2
18949,conduit01End,1
18953,conduitSingleCentered,4
18954,conduitSingleCenteredEnd,2
18955,conduitSingle90Angle,1
18956,conduitSingleCorner,3
18957,conduitSingleOffset,1
18990,cntCollapsedGeneratorbank,1
19166,lightWallGooseneckBlack,1
19195,fluorescentLight,1
19212,industrialLight01,4
19216,lightIndustrialMountedWallRed,1
19764,chainlinkFenceDoor,1
19786,chainlinkFenceTopPlainRail,84
19787,chainlinkFenceTopPlainPoleLeft,6
19788,chainlinkFenceTopPlainPoleRight,24
19789,chainlinkFenceTopPlainCorner,4
20045,goreBlockHumanCorpse3,1
20074,cntBirdnest,1
20075,cntBirdnestCorner,1
20105,rock04,2
20133,palletBrownBoxesTop,1
20140,palletBricksPartial2,1
20141,palletBricksLoose,1
20172,palletTarpBaseBlue,1
20192,palletCompressedCardboard,1
20196,palletEmptyStack,2
20203,bricksStack,1
20471,ironDoorBlack,1
20497,shuttersSteel01,1
21000,ironHatchGrey,1
22146,cntToolBoxRandomLootHelperRed,1
22182,cntRollingToolBoxRandomLootHelperRed,1
22849,cntLockersTallRandomLootHelper,1
22865,ladderMetal,10
22882,metalRailing,9
22976,iBeam,36
22990,metalTrussingBlock,61
23037,concreteDestroyed05,2
23038,concreteDestroyed06,1
23039,concreteDestroyed07,2
23041,concreteDestroyed09,1
23042,concreteHalfDestroyed05Left,1
23043,concreteHalfDestroyed05Right,1
23045,concreteHalfDestroyed07Left,1
23046,concreteHalfDestroyed07Right,1
23049,concreteDestroyedFiller01,1
23051,concreteDestroyedFiller03,1
23060,rubblePileBricksSmall,4
23077,ductStraightSideCentered,2
23109,pipeSmallWall1x1,1
23110,pipeSmallWall1x3,1
23111,pipeSmallWallBroke,1
23204,pipeSmallWall1x1Grey,5
23210,pipeSmallWallValve02Grey,1
23211,pipeSmallWallCornerGrey,1
23212,pipeSmallWallOutsideCornerGrey,3
23329,signPrivateProperty,1
23330,signNotice,1
23500,signAuthorizedPersonnel,1
23614,fakeCabinetDoorTrap1x1SheetMetal,2
24146,treeBrownGrassDiagonal,1
24151,treeGreenBrownGrassDiagonal,2
24276,sleeperSit,3
24277,sleeperBack,1
24278,sleeperSideLeft,2
24279,sleeperSideRight,1
24281,sleeperIdle,3
24282,sleeperCrawlerOnly,4
