id,name,count
1,terrStone,21
2,terrainFiller,4996
5,terrDirt,2181
16,terrGravel,262
310,woodShapes:pole,77
312,woodShapes:poleSideCentered,7
316,woodShapes:poleTwoWayCorner,2
317,woodShapes:poleThreeWayCorner,8
320,woodShapes:poleSquareSideCenteredTee,2
375,woodShapes:plate,38
419,woodShapes:platePoleCorner,12
459,woodShapes:pillar50,9
1071,woodShapes:slopePlate01,1
1072,woodShapes:slopePlate02,1
1074,woodShapes:slopePlate04,1
1090,woodShapes:slopePlateFiller,1
2125,woodShapes:fence,40
2128,woodShapes:fenceBroken1,3
2129,woodShapes:fenceBroken2,3
12607,corrugatedMetalShapes:cube,21
12622,corrugatedMetalShapes:cubeHalf,11
12639,corrugatedMetalShapes:cubeQuarter,4
12644,corrugatedMetalShapes:quarterInsideCorner,4
12658,corrugatedMetalShapes:pole,2
12695,corrugatedMetalShapes:poleSquareTipLeft,1
12696,corrugatedMetalShapes:poleSquareTipRight,1
12720,corrugatedMetalShapes:cubeHalfPlateCorner2,2
12723,corrugatedMetalShapes:plate,88
12735,corrugatedMetalShapes:plateCorner,1
12762,corrugatedMetalShapes:poleCornerCubePlate2,2
12828,corrugatedMetalShapes:cubeHalfBottomPole1mTop,1
12830,corrugatedMetalShapes:pillar50Plate,1
12839,corrugatedMetalShapes:pillar0.025Middle,12
12864,corrugatedMetalShapes:pipeStraight,3
12867,corrugatedMetalShapes:pipeFlange,1
12868,corrugatedMetalShapes:pipeCorner,3
12869,corrugatedMetalShapes:pipeCap,1
13026,corrugatedMetalShapes:plateRound,4
13033,corrugatedMetalShapes:cubeHalfQuarterRoundInside,2
13077,corrugatedMetalShapes:wedge60Tip,3
13078,corrugatedMetalShapes:wedge60TipHalf,2
13110,corrugatedMetalShapes:wedge60SlopeTip,4
13147,corrugatedMetalShapes:wedge60SplitLeft02,1
13148,corrugatedMetalShapes:wedge60SplitRight02,1
13149,corrugatedMetalShapes:wedge60SplitLeft03,1
13150,corrugatedMetalShapes:wedge60SplitRight03,1
13173,corrugatedMetalShapes:cubeHalfWedge60BevelLeft,3
13174,corrugatedMetalShapes:cubeHalfWedge60BevelRight,2
13179,corrugatedMetalShapes:wedge60TipHalfLeft,4
13180,corrugatedMetalShapes:wedge60TipHalfRight,4
13339,corrugatedMetalShapes:plateDiagonalFiller,5
13419,corrugatedMetalShapes:slopePlate01,2
13420,corrugatedMetalShapes:slopePlate02,2
13680,corrugatedMetalShapes:halfTrimSplit,4
13703,corrugatedMetalShapes:cubeHalfQuarterRoundOutsideTrim,8
13708,corrugatedMetalShapes:cubeHalfTrimDiagonalHalf,1
13874,corrugatedMetalShapes:cubeTrimCornerRound,2
13977,corrugatedMetalShapes:doorTrim1mOffCenter,4
14091,corrugatedMetalShapes:windowPlateRoundedSquare3SidedFull,2
14092,corrugatedMetalShapes:windowPlateRoundedSquare4SidedFull,1
14286,corrugatedMetalShapes:plateDestroyed,4
14287,corrugatedMetalShapes:plateDestroyed02,2
14288,corrugatedMetalShapes:plateDestroyed03,4
14385,corrugatedMetalShapes:dynamicGrate,1
14396,corrugatedMetalShapes:tablePole.025Centered,6
14402,corrugatedMetalShapes:cupboardCorner,2
14456,corrugatedMetalShapes:ladderRound,1
16931,smallPileRandomHelper,1
17232,cntTiltTruckEmpty,1
17275,cntBackpack03,1
17346,controlPanelBase02Red,1
17701,lightIndustrialMountedWall,2
17703,lightIndustrialHangingWhite,2
17819,streetLight01,1
18075,tarpHangingGreen,2
18201,sandbagPile01,1
18436,decoCarTirePile,1
18438,decoCarWheelFlat,2
18456,goreBlockHumanCorpse1,1
18472,hayBaleSquare,5
18499,rockResource,2
18502,rockResource02,1
18525,palletBrownBoxesBase,1
18567,palletTarpBaseGreen,1
18590,palletEmpty,1
18591,palletEmptyStack,1
18632,palletBagFertilizerBaseFull,1
18636,palletBagFertilizerCapSml,2
18637,palletBagFertilizerSingleBent,1
19488,glassBusinessPlateCurved,3
19922,officeChair01Black,1
20317,cntRollingToolBoxRandomLootHelperRed,1
21222,pipeSmallWallCorner,1
22006,tractorGreen,1
22164,treeSmallRandomHelper,2
22166,treeMediumRandomHelper,3
22235,plantedCornHarvestRandomHelper,483
22288,sleeperSit,1
22289,sleeperBack,1
22292,sleeperStomach,3
22302,sleeperSnakeAnimal,1
