id,name,count
2,terrainFiller,702
16,terrGravel,79
17,terrAsphalt,415
375,woodShapes:plate,41
1644,woodShapes:windowTrim,10
1938,woodShapes:plateDestroyed,3
1939,woodShapes:plateDestroyed02,2
1940,woodShapes:plateDestroyed03,1
6433,concreteShapes:cube,4
6850,concreteShapes:cornerRound,4
10729,awningShapes:billboard,20
11341,awningShapes:rampGlassSheet,8
11343,awningShapes:rampGlassSheetCap,8
11344,awningShapes:rampGlassSheetCap2,8
12723,corrugatedMetalShapes:plate,9
12835,corrugatedMetalShapes:pillar0.025,6
12841,corrugatedMetalShapes:pillar0.025Double,4
12844,corrugatedMetalShapes:pillar0.05,4
13992,corrugatedMetalShapes:windowTrim,2
14287,corrugatedMetalShapes:plateDestroyed02,1
14288,corrugatedMetalShapes:plateDestroyed03,1
14348,corrugatedMetalShapes:iBeamCentered,1
14351,corrugatedMetalShapes:iBeamCenteredFoundation,2
14358,corrugatedMetalShapes:iBeamBent,1
17152,cntTrashPile02,1
17153,cntTrashPile03,1
17156,cntTrashPile06,1
17159,cntTrashPile09,1
17258,cntCoolerRandomLootHelper,1
17303,cntBagsRandomLootHelper,1
17310,woodPoleUtilitySupport,2
17311,woodPillar375,8
17312,woodPillar375UtilityTop,1
17314,utilityTransformerHanging,1
17315,utilityInsulator,2
18069,tarpHangingGreen,1
18204,chainlinkFenceDoor,2
18222,chainlinkFenceBottomPlain,3
18223,chainlinkFenceBottomPlainPoleLeft,1
18224,chainlinkFenceBottomPlainPoleRight,1
18226,chainlinkFenceTopPlainRail,73
18227,chainlinkFenceTopPlainPoleLeft,15
18228,chainlinkFenceTopPlainPoleRight,23
18450,goreBlockHumanCorpse1,1
18465,modularFireWoodStackC,1
18515,emberPileLightPOI1,1
18588,palletEmpty,2
18589,palletEmptyStack,1
20358,parkingBlockWhite,4
20359,parkingBlockCrooked1White,1
20360,parkingBlockCrooked2White,1
20361,parkingBlockBrokenWhite,2
21095,rebarDestroyed,2
21121,concreteDestroyed05,2
21122,concreteDestroyed06,1
21123,concreteDestroyed07,1
21149,rubblePileWoodLarge,1
21184,metalPipeFlange,2
22088,treeDeadPineLeaf,1
22099,treeDeadTree01,1
22100,treeDeadTree02,1
22154,treeBrownGrassDiagonal,2
22159,treeGreenBrownGrassDiagonal,2
22266,sleeperSit,2
22267,sleeperBack,2
22268,sleeperSideLeft,1
22269,sleeperSideRight,3
22270,sleeperStomach,1
22271,sleeperIdle,1
