id,name,count
1,terrStone,21
2,terrainFiller,3298
5,terrDirt,6883
10,terrSand,23
16,terrGravel,2305
22,terrOrePotassiumNitrate,27
29,terrStoneHelper,101537
274,woodShapes:cubeHalf,77
297,woodShapes:cubeQuarter,32
311,woodShapes:cubeEighth,3
383,woodShapes:plate,8
395,woodShapes:plateCorner,1
413,woodShapes:plateHalf,3
416,woodShapes:plateQuarter,2
418,woodShapes:plateHalfTriangle,6
419,woodShapes:plateQuarterTriangle,2
447,woodShapes:billboard,2
450,woodShapes:plateDouble,1
858,woodShapes:wedge60TipHalfLeft,1
859,woodShapes:wedge60TipHalfRight,1
1003,woodShapes:halfRampStairs50Filler,2
1402,woodShapes:counterRound1m,1
1409,woodShapes:cubeTrimHalfSplit4Sided,4
1577,woodShapes:cubeHalfTrimHalfSplitDiagonalOffset,3
2120,woodShapes:plateDestroyed,2
2156,woodShapes:woodDebris01,2
2173,woodShapes:sawhorse,2
2226,woodShapes:prepTable,2
2234,woodShapes:cabinetAjar,4
2236,woodShapes:cupboardAjar,5
2246,woodShapes:plateCounter03,2
2251,woodShapes:counterWallMountRound,4
2256,woodShapes:cubeCornerBeveledBookcaseEmpty,1
2261,woodShapes:bookcaseEmpty,3
2264,woodShapes:bookcaseHalfEmpty,2
2270,woodShapes:bookcaseOpenEnded,2
2277,woodShapes:storageCubeHalf,1
2308,woodShapes:fence,12
2519,brickShapes:cube,12
2528,brickShapes:cubeHalfCorner,12
2534,brickShapes:cubeHalf,123
2557,brickShapes:cubeQuarter,2
3264,brickShapes:rampIncline,9
3265,brickShapes:rampInclineFiller,6
4519,brickShapes:cubeHalfBookshelfDouble,3
4520,brickShapes:cubeHalfBookshelfTriple,3
7039,concreteShapes:cube,5114
7042,concreteShapes:cubeThreeQuarter,53
7048,concreteShapes:cubeHalfCorner,32
7054,concreteShapes:cubeHalf,312
7055,concreteShapes:cubeHalfCentered,12
7062,concreteShapes:cubeCornerBeveled,78
7070,concreteShapes:cubeHalfCornerBeveled,2
7095,concreteShapes:cubeHalfPoleCentered,5
7163,concreteShapes:plate,5
7192,concreteShapes:plateThreeQuarter,8
7193,concreteShapes:plateHalf,62
7196,concreteShapes:plateQuarter,2
7227,concreteShapes:billboard,2
7270,concreteShapes:halfBlockPillar50,6
7325,concreteShapes:3mTubeCenter,80
7326,concreteShapes:3mTubeCorner,80
7342,concreteShapes:cubeHalf3mCenter,24
7343,concreteShapes:cubeHalf3mCorner,24
7357,concreteShapes:cubeQuarter5mRound01,46
7358,concreteShapes:cubeQuarter5mRound02,100
7359,concreteShapes:cubeQuarter5mRound03,110
7360,concreteShapes:cubeQuarter5mRound04,90
7361,concreteShapes:cubeQuarter5mRound05,100
7362,concreteShapes:cubeQuarter5mRoundStraightLeft,55
7363,concreteShapes:cubeQuarter5mRoundStraightRight,55
7442,concreteShapes:arch,1
7485,concreteShapes:ramp,85
7521,concreteShapes:wedge60,39
7530,concreteShapes:wedge60InsideCorner2,12
7650,concreteShapes:wedgeNarrowHigh,51
7651,concreteShapes:wedgeNarrowMid,51
7652,concreteShapes:wedgeNarrowLow,51
7653,concreteShapes:wedgeNarrowTip,51
7810,concreteShapes:plateRamp,6
7816,concreteShapes:plateRampCornerOutside,4
7973,concreteShapes:stairsFilledVerticalUV,6
8124,concreteShapes:cubeBaseboard,18
8190,concreteShapes:cubeTrimHalfSplit,56
8260,concreteShapes:cubeTrimQuarterEdge,139
8269,concreteShapes:cubeTrimQuarter2Sided,30
8295,concreteShapes:cubeTrimQuarterCornerInside,36
8298,concreteShapes:cubeTrimQuarterCornerInside2,10
8320,concreteShapes:cubeTrimQuarterDiagonalCornerOutside,3
