id,name,count
2,terrainFiller,4560
16,terrGravel,96
17,terrAsphalt,1361
259,woodShapes:cube,2633
274,woodShapes:cubeHalf,233
291,woodShapes:cubeQuarter,6
310,woodShapes:pole,68
313,woodShapes:poleHalf,1
343,woodShapes:rampInclineFillerPoleSquareLeft,4
344,woodShapes:rampInclineFillerPoleSquareRight,4
345,woodShapes:rampInclinePoleSquareLeft,4
346,woodShapes:rampInclinePoleSquareRight,4
359,woodShapes:polePlate,10
375,woodShapes:plate,8
405,woodShapes:plateHalf,12
439,woodShapes:billboard,4
695,woodShapes:ramp,144
775,woodShapes:rampInclineInsideCnr,3
977,woodShapes:rampIncline,202
978,woodShapes:rampInclineFiller,88
981,woodShapes:rampInclineInsideCnrFiller,1
983,woodShapes:rampInclineOutsideCnr,15
984,woodShapes:rampInclineOutsideCnrFiller,5
1138,woodShapes:stairsFilledVerticalUV,1
1149,woodShapes:stairsRailing,10
1151,woodShapes:stairsFilledRailingLeft,4
1261,woodShapes:railing,42
1264,woodShapes:railingBroke01,9
1274,woodShapes:cubeBaseboard,177
1278,woodShapes:cubeBaseboard2Sided,28
1280,woodShapes:cubeBaseboard4Sided,155
1290,woodShapes:halfBaseboard4Sided,3
1322,woodShapes:counterRound1m,2
1330,woodShapes:cubeTrimHalfSplit,12
1334,woodShapes:halfTrimSplitOffset,87
1347,woodShapes:cubeHalfTrimCornerQuarterOffset,6
1590,woodShapes:halfCrown,1
1593,woodShapes:halfCrown1Left,1
1596,woodShapes:halfCrownCorner1,1
1610,woodShapes:crown,156
1611,woodShapes:crownStraight,1
1613,woodShapes:crownHalfLeft,1
1615,woodShapes:crownInsideCorner,52
1625,woodShapes:doorTrimCorner,2
1629,woodShapes:doorTrim1m,38
1678,woodShapes:windowStoreOneSidedFull,2
1682,woodShapes:windowStoreCornerFull,2
1772,woodShapes:windowPlateRoundedSquare3SidedEmpty,2
1878,woodShapes:windowPanel,12
1901,woodShapes:cubeTrimDestroyed01,2
1902,woodShapes:cubeTrimDestroyed02,3
1903,woodShapes:cubeTrimDestroyed03,14
1904,woodShapes:cubeTrimDestroyed04,8
1905,woodShapes:cubeTrimDestroyed05,2
1908,woodShapes:cubeTrimDestroyed08,2
1910,woodShapes:cubeTrimDestroyed10,1
1939,woodShapes:plateDestroyed,2
1940,woodShapes:plateDestroyed02,4
1942,woodShapes:plateDiagonalDestroyed,1
1969,woodShapes:sidingBurnt02,9
1970,woodShapes:sidingBurnt03,2
1972,woodShapes:sidingBurnt05,15
1973,woodShapes:sidingBurnt06,2
1974,woodShapes:sidingBurnt07,2
1975,woodShapes:woodDebris01,1
1976,woodShapes:woodDebris02,1
2063,woodShapes:plateCounter02,21
2064,woodShapes:plateCounter03,2
2071,woodShapes:cubeTileBroken,2
2087,woodShapes:bookcaseOpenEnded,10
2088,woodShapes:tvStand01,12
2089,woodShapes:tvStand02,1
2091,woodShapes:tvStand04,1
2128,woodShapes:fenceBroken1,11
2129,woodShapes:fenceBroken2,12
2219,woodShapes:cubeDrainSideCentered,1
6433,concreteShapes:cube,964
6448,concreteShapes:cubeHalf,357
6449,concreteShapes:cubeHalfCentered,6
6465,concreteShapes:cubeQuarter,126
6613,concreteShapes:billboard,1
6633,concreteShapes:pillar50,3
6903,concreteShapes:wedge60,2
7150,concreteShapes:halfRampStairs50Filler,6
7175,concreteShapes:plateRamp,1
7574,concreteShapes:cubeTrimQuarterEdge,192
7609,concreteShapes:cubeTrimQuarterCornerInside,1
7701,concreteShapes:cubeTrimCornerRound,13
7799,concreteShapes:doorTrimCorner,4
7800,concreteShapes:doorTrimCornerDouble,6
7803,concreteShapes:doorTrim1m,144
7807,concreteShapes:doorTrim1mDouble,30
7810,concreteShapes:doorTrimTop,75
8075,concreteShapes:cubeTrimDestroyed01,2
8076,concreteShapes:cubeTrimDestroyed02,2
8077,concreteShapes:cubeTrimDestroyed03,2
8078,concreteShapes:cubeTrimDestroyed04,2
8245,concreteShapes:cubeTileBroken,10
8322,concreteShapes:farmPlot,11
8333,concreteShapes:roadPaintDashCNTR,100
12607,corrugatedMetalShapes:cube,58
12622,corrugatedMetalShapes:cubeHalf,25
12658,corrugatedMetalShapes:pole,134
12659,corrugatedMetalShapes:poleCentered,9
12664,corrugatedMetalShapes:poleTwoWayCorner,1
12685,corrugatedMetalShapes:cubePoleCorner,5
12723,corrugatedMetalShapes:plate,90
12736,corrugatedMetalShapes:plateCornerHalfTop,1
12807,corrugatedMetalShapes:pillar50,16
12845,corrugatedMetalShapes:pillar0.05,3
13036,corrugatedMetalShapes:cubeQuarterRoundOutside,1
13037,corrugatedMetalShapes:cubeHalfQuarterRoundOutside,4
13043,corrugatedMetalShapes:ramp,2
13077,corrugatedMetalShapes:wedge60,4
13349,corrugatedMetalShapes:plateRamp,1
13376,corrugatedMetalShapes:plateWedge60Filler,6
13476,corrugatedMetalShapes:pillar50Platepillar0.0125,2
13678,corrugatedMetalShapes:cubeTrimHalfSplit,3
13748,corrugatedMetalShapes:cubeTrimQuarterEdge,6
13864,corrugatedMetalShapes:cubeTrimQuarterCornerOutsideTwoSided,8
13928,corrugatedMetalShapes:plateTrimSplit,1
13929,corrugatedMetalShapes:plateTrimSplitInside,27
13931,corrugatedMetalShapes:plateQuarterCornerTrimLeftInside,4
13977,corrugatedMetalShapes:doorTrim1m,38
13984,corrugatedMetalShapes:doorTrimTop,4
14028,corrugatedMetalShapes:windowStoreThreeSidedFull,17
14029,corrugatedMetalShapes:windowStoreFourSidedFull,31
14030,corrugatedMetalShapes:windowStoreCornerFull,1
14041,corrugatedMetalShapes:windowStoreOneSidedBroken,2
