id,name,count
1,terrStone,103
2,terrainFiller,58997
16,terrGravel,867
17,terrAsphalt,2282
259,woodShapes:cube,819
262,woodShapes:cubeThreeQuarter,14
274,woodShapes:cubeHalf,77
284,woodShapes:cubeHalfCornerBeveled,4
291,woodShapes:cubeQuarter,126
296,woodShapes:quarterInsideCorner,11
305,woodShapes:cubeEighth,6
310,woodShapes:pole,155
312,woodShapes:poleSideCentered,3
316,woodShapes:poleTwoWayCorner,9
320,woodShapes:poleSquareSideCenteredTee,18
322,woodShapes:poleSquareCornerBracketLeft,20
324,woodShapes:poleSquareCornerBracketRight,4
328,woodShapes:poleSquareBracketLeft,4
329,woodShapes:poleSquareBracketRight,4
337,woodShapes:cubePoleCorner,2
350,woodShapes:poleSquareDiagonal,8
371,woodShapes:cubeHalfPlateCorner,11
372,woodShapes:cubeHalfPlateCorner2,1
375,woodShapes:plate,40
390,woodShapes:plateCornerHalf,4
405,woodShapes:plateHalf,65
408,woodShapes:plateQuarter,2
410,woodShapes:plateHalfTriangle,2
415,woodShapes:platePole,4
416,woodShapes:platePoleSideCentered,6
439,woodShapes:billboard,4
455,woodShapes:plateQuarterRoundCorner,4
679,woodShapes:plateRound,4
690,woodShapes:plateQuarterRoundOutside,5
729,woodShapes:wedge60,218
730,woodShapes:wedge60Tip,149
731,woodShapes:wedge60TipHalf,256
732,woodShapes:wedge60TipHalfOutsideCorner,28
733,woodShapes:wedge60TipHalfInsideCorner,10
734,woodShapes:wedge60TipHalfCornerLeft,1
735,woodShapes:wedge60TipHalfCornerRight,1
736,woodShapes:wedge60Corner,28
737,woodShapes:wedge60TipCorner,17
738,woodShapes:wedge60InsideCorner2,11
739,woodShapes:wedge60InsideCorner,8
742,woodShapes:wedge60Incline,11
752,woodShapes:wedge60InclineCorner,4
826,woodShapes:cubeHalfWedge60BevelLeft,1
827,woodShapes:cubeHalfWedge60BevelRight,1
832,woodShapes:wedge60TipHalfLeft,1
833,woodShapes:wedge60TipHalfRight,1
975,woodShapes:halfRampStairs50,3
979,woodShapes:rampInclineFillerHalfLeft,4
980,woodShapes:rampInclineFillerHalfRight,2
989,woodShapes:plateDiagonal,1
1001,woodShapes:plateRamp,8
1007,woodShapes:plateRampCornerOutside,2
1025,woodShapes:plateWedge60Incline,1
1072,woodShapes:slopePlate01,13
1073,woodShapes:slopePlate02,7
1074,woodShapes:slopePlate03,6
1075,woodShapes:slopePlate04,6
1093,woodShapes:slopePlateHalfLeft01,2
1095,woodShapes:slopePlateHalfLeft02,2
1096,woodShapes:slopePlateLeft03,4
1097,woodShapes:slopePlateLeft04,4
1099,woodShapes:slopePlateHalfRight01,2
1101,woodShapes:slopePlateHalfRight02,2
1102,woodShapes:slopePlateRight03,4
1103,woodShapes:slopePlateRight04,4
1106,woodShapes:gazeboRoofV101,2
1107,woodShapes:gazeboRoofV102,8
1108,woodShapes:gazeboRoofV103,8
1109,woodShapes:gazeboRoofV104,7
1110,woodShapes:gazeboRoofV105,8
1111,woodShapes:gazeboRoofV106,8
1112,woodShapes:gazeboRoofV107,7
1113,woodShapes:gazeboRoofV108,8
1114,woodShapes:gazeboRoofV109,8
1115,woodShapes:gazeboRoofV110,14
1116,woodShapes:gazeboRoofV111,7
1117,woodShapes:gazeboRoofV1Topper,2
1123,woodShapes:cubeHalfPillar0.025,6
1167,woodShapes:stairsSpiralMetalRight,5
1168,woodShapes:stairsSpiralPillar,4
1177,woodShapes:wedgeStairs,18
1178,woodShapes:wedgeStairsInsideCorner,4
1247,woodShapes:catwalkV2RailOnlyBentLeft,1
1248,woodShapes:catwalkV2RailOnlyBentRight,1
1261,woodShapes:railing,26
1262,woodShapes:railingDiagonal,8
1264,woodShapes:railingBroke01,7
1265,woodShapes:bars,2
1321,woodShapes:counterBottomFiller,2
1322,woodShapes:counterRound1m,4
1330,woodShapes:cubeTrimHalfSplit,5
1345,woodShapes:cubeTrimCornerQuarter,2
1400,woodShapes:cubeTrimQuarterEdge,80
1435,woodShapes:cubeTrimQuarterCornerInside,20
1441,woodShapes:cubeTrimQuarterCornerInsideDouble,2
1493,woodShapes:cubeTrimHalfSplitDiagonal,1
1510,woodShapes:cubeTrimQuarterEdgeTwoSided,26
1522,woodShapes:cubeTrimQuarterEdgeDouble,5
1546,woodShapes:rampTrimQuarterEdge2Sided,12
1611,woodShapes:crownStraight,32
1615,woodShapes:crownInsideCorner,4
1625,woodShapes:doorTrimCorner,3
1627,woodShapes:doorTrim0.5m,6
1628,woodShapes:doorTrim0.6m,2
1629,woodShapes:doorTrim1m,112
1630,woodShapes:doorTrim1mOffCenter,14
1636,woodShapes:doorTrimTop,1
1637,woodShapes:doorTrimTwoSided,8
1640,woodShapes:doorTrimHalfDouble,2
