id,name,count
2,terrainFiller,1757
16,terrGravel,312
17,terrAsphalt,538
259,woodShapes:cube,641
274,woodShapes:cubeHalf,64
297,woodShapes:cubeQuarter,88
367,woodShapes:polePlate,10
383,woodShapes:plate,119
416,woodShapes:plateQuarter,2
447,woodShapes:billboard,2
698,woodShapes:cubeQuarterRoundOutside,20
818,woodShapes:wedge60SplitLeft01,18
819,woodShapes:wedge60SplitRight01,18
828,woodShapes:wedge60SplitLeft06,21
829,woodShapes:wedge60SplitRight06,21
852,woodShapes:wedge60TipHalfLeft,14
853,woodShapes:wedge60TipHalfRight,14
1024,woodShapes:plateRamp,2
1106,woodShapes:slopePlate02,1
1107,woodShapes:slopePlate03,1
1108,woodShapes:slopePlate04,1
1125,woodShapes:slopePlateLeft01,1
1131,woodShapes:slopePlateRight01,1
1171,woodShapes:wedge60InclinePillar0.025,4
1176,woodShapes:wedge60TipPillar0.025,7
1186,woodShapes:stairsFilledQuarterVerticalUV,6
1336,woodShapes:cubeBaseboard,29
1340,woodShapes:cubeBaseboard2Sided,4
1342,woodShapes:cubeBaseboard4Sided,2
1345,woodShapes:halfCornerBaseboard4Sided,2
1351,woodShapes:halfBaseboard,4
1356,woodShapes:halfBaseboard4Sided,4
1361,woodShapes:cubeBaseboardChairRail,3
1380,woodShapes:cubeQuarterBaseboardChairRail4SidedCentered,1
1394,woodShapes:counterRound1m,1
1402,woodShapes:cubeTrimHalfSplit,7
1707,woodShapes:doorTrim0.5m,2
2032,woodShapes:windowBoarded,2
2101,woodShapes:plateDestroyed02,2
2129,woodShapes:sidingBurnt01,2
2130,woodShapes:sidingBurnt02,1
2132,woodShapes:sidingBurnt04,3
2136,woodShapes:woodDebris01,2
2137,woodShapes:woodDebris02,3
2138,woodShapes:woodDebris03,3
2142,woodShapes:shantywall04,1
2202,woodShapes:coffeeTable,2
2204,woodShapes:tableDynamic,8
2214,woodShapes:cabinetAjar,4
2216,woodShapes:cupboardAjar,3
2226,woodShapes:plateCounter03,2
2241,woodShapes:bookcaseEmpty,7
2244,woodShapes:bookcaseHalfEmpty,3
2245,woodShapes:bookcaseHalfEmptyOffset,14
2250,woodShapes:bookcaseOpenEnded,11
2257,woodShapes:storageCubeHalf,1
2269,woodShapes:mirror,18
2292,woodShapes:fenceBroken2,4
2499,brickShapes:cube,371
2514,brickShapes:cubeHalf,656
2619,brickShapes:cubeHalfPlateCorner,4
2936,brickShapes:cubeHalfQuarterRoundInside,4
3062,brickShapes:wedge60SplitLeft03,1
3063,brickShapes:wedge60SplitRight03,1
3066,brickShapes:wedge60SplitLeft05,2
3067,brickShapes:wedge60SplitRight05,2
3086,brickShapes:cubeHalfWedge60BevelLeft,6
3087,brickShapes:cubeHalfWedge60BevelRight,10
3092,brickShapes:wedge60TipHalfLeft,4
3093,brickShapes:wedge60TipHalfRight,8
3576,brickShapes:cubeBaseboard,4
3580,brickShapes:cubeBaseboard2Sided,2
3641,brickShapes:cubeTrimHalfSplit4Sided,12
3642,brickShapes:cubeTrimHalfSplit,24
3645,brickShapes:halfTrimSplit,28
3712,brickShapes:cubeTrimQuarterEdge,26
3713,brickShapes:cubeHalfTrimQuarterEdgeBottom,72
3747,brickShapes:cubeTrimQuarterCornerInside,12
3748,brickShapes:cubeHalfTrimQuarterCornerInside,36
3761,brickShapes:cubeHalfTrimQuarterCornerInsideTriangle,12
4283,brickShapes:brickDestroyed01,1
4284,brickShapes:brickDestroyed02,1
4285,brickShapes:brickDestroyed03,1
4292,brickShapes:brickHalfDestroyed01,3
4293,brickShapes:brickHalfDestroyed02,2
4294,brickShapes:brickHalfDestroyed03,1
4296,brickShapes:brickHalfDestroyed05,5
4297,brickShapes:brickHalfDestroyed06,3
4299,brickShapes:brickHalfDestroyed08,10
6979,concreteShapes:cube,1257
6994,concreteShapes:cubeHalf,63
7013,concreteShapes:halfQuarterPost,2
7017,concreteShapes:cubeQuarter,6
7036,concreteShapes:pole,198
7065,concreteShapes:cubePoleCorner,2
7094,concreteShapes:poleSquareCornerRound,14
7165,concreteShapes:billboardQuarterTrim,6
7348,concreteShapes:cubeHalf7mRound01,2
7352,concreteShapes:cubeHalf7mRound05,2
7461,concreteShapes:wedge60,31
7462,concreteShapes:wedge60Tip,31
7659,concreteShapes:wedgeTipQuarter,3
7906,concreteShapes:stairsFilledQuarterVerticalUV,10
8056,concreteShapes:cubeBaseboard,150
8062,concreteShapes:cubeBaseboard4Sided,9
8121,concreteShapes:cubeTrimHalfSplit4Sided,2
8122,concreteShapes:cubeTrimHalfSplit,32
8137,concreteShapes:cubeTrimCornerQuarter,6
8762,concreteShapes:cornerstone,2
8804,concreteShapes:concreteDestroyed05,2
8805,concreteShapes:concreteDestroyed06,1
8806,concreteShapes:concreteDestroyed07,1
8950,concreteShapes:counterWallMount,1
8951,concreteShapes:counterWallMountRound,1
8953,concreteShapes:cubeTileBroken,2
9043,concreteShapes:roadPaintDashCNTR,48
11583,awningShapes:plate,8
11613,awningShapes:plateHalf,12
11647,awningShapes:billboard,12
12243,awningShapes:plateWedge60FillerWallLeft,4
12244,awningShapes:plateWedge60FillerWallRight,4
12247,awningShapes:plateWedge60Tip,32
12254,awningShapes:plateWedge60Incline,22
12257,awningShapes:plateWedge60Filler,28
12264,awningShapes:plateWedge60InclineWallLeft,5
12265,awningShapes:plateWedge60InclineWallRight,5
12266,awningShapes:plateWedge60TipWallLeft,4
12267,awningShapes:plateWedge60TipWallRight,4
13239,awningShapes:commercialBlind,20
13699,corrugatedMetalShapes:cube,12
13714,corrugatedMetalShapes:cubeHalf,115
13737,corrugatedMetalShapes:cubeQuarter,2
13757,corrugatedMetalShapes:poleCentered,36
13807,corrugatedMetalShapes:polePlate,1
13823,corrugatedMetalShapes:plate,247
13858,corrugatedMetalShapes:plateHalfTriangle,1
13859,corrugatedMetalShapes:plateQuarterTriangle,2
13887,corrugatedMetalShapes:billboard,4
13936,corrugatedMetalShapes:pillar0.025,4
13938,corrugatedMetalShapes:pillar0.025Centered,27
13940,corrugatedMetalShapes:pillar0.025Middle,8
13942,corrugatedMetalShapes:pillar0.025Double,29
13951,corrugatedMetalShapes:pillar0.05Double,12
14139,corrugatedMetalShapes:cubeHalfQuarterRoundOutside,3
14181,corrugatedMetalShapes:wedge60,15
14182,corrugatedMetalShapes:wedge60Tip,344
14194,corrugatedMetalShapes:wedge60Incline,128
14390,corrugatedMetalShapes:gable3Quarter,23
14439,corrugatedMetalShapes:rampInclineFiller,27
14474,corrugatedMetalShapes:plateWedge60RightTip,4
14482,corrugatedMetalShapes:plateWedge60RightHollow,1
14627,corrugatedMetalShapes:stairsFilledVerticalUV,1
14639,corrugatedMetalShapes:stairsRailingMetal,1
14644,corrugatedMetalShapes:stairsFilledRailingMetalLeft2,1
14646,corrugatedMetalShapes:stairsHollow,5
14649,corrugatedMetalShapes:stairsHollowRailingMetalLeft,5
14749,corrugatedMetalShapes:catwalkV2RailOnlyBentLeft,1
14750,corrugatedMetalShapes:catwalkV2RailOnlyBentRight,2
15145,corrugatedMetalShapes:doorTrimCorner,4
15149,corrugatedMetalShapes:doorTrim1m,4
15155,corrugatedMetalShapes:doorTrim2m,4
15165,corrugatedMetalShapes:windowTrim,2
15166,corrugatedMetalShapes:windowTrimBottom,6
15240,corrugatedMetalShapes:windowStoreThreeSidedFull,24
15242,corrugatedMetalShapes:windowStoreCornerFull,60
15253,corrugatedMetalShapes:windowStoreOneSidedBroken,12
15255,corrugatedMetalShapes:windowStoreThreeSidedBroken,10
15256,corrugatedMetalShapes:windowStoreFourSidedBroken,5
15257,corrugatedMetalShapes:windowStoreCornerBroken,12
15540,corrugatedMetalShapes:plateDestroyed,8
15541,corrugatedMetalShapes:plateDestroyed02,11
15542,corrugatedMetalShapes:plateDestroyed03,7
15546,corrugatedMetalShapes:plateDiagonalDestroyed04,2
15547,corrugatedMetalShapes:plateDiagonalDestroyed05,2
15549,corrugatedMetalShapes:plateWedge60InclineDestroyed,6
15550,corrugatedMetalShapes:plateWedge60InclineDestroyed02,6
15576,corrugatedMetalShapes:woodDebris01,1
15603,corrugatedMetalShapes:iBeamCentered,125
15606,corrugatedMetalShapes:iBeamCenteredFoundation,22
15610,corrugatedMetalShapes:iBeam5wayCentered,8
15611,corrugatedMetalShapes:iBeam6wayCentered,1
15613,corrugatedMetalShapes:iBeamBent,2
15617,corrugatedMetalShapes:bracketCentered,3
15636,corrugatedMetalShapes:airDuctHalfBroken,2
15731,corrugatedMetalShapes:fenceBroken1,2
15732,corrugatedMetalShapes:fenceBroken2,1
15752,corrugatedMetalShapes:farmPlot,4
15899,corrugatedMetalShapes:signLetter_f,1
15909,corrugatedMetalShapes:signLetter_p,1
15913,corrugatedMetalShapes:signLetter_t,1
18412,cntAmmoPileMedium,1
18423,cntMedicLootPileB,1
18424,cntFoodPileSmall,1
18429,cntFoodPileSmallCornerRandomHelper,1
18431,cntShippingCrateHero,1
18454,cntLootChestHeroInsecureT2,1
18474,cntQuestInfestedT2LootHelper,1
18532,cntCabinetBottomFiller,2
18533,cntCabinetBottomRandomLootHelper,5
18535,cntCabinetBottomOpen,1
18541,cntCupboardCabinetRedTopLootHelper,2
18543,cntCupboardCabinetRedTopOpen,5
18544,cntCupboardCornerCNRRed,1
18563,cntCounterHollowCabinetTaupeRandomLootHelper,2
18565,sinkKitchen,2
18567,wallMountSinkCommercial,1
18568,counterMountedSinkCommercial,1
18583,cntToilet03,2
18585,drinkingfountainSingle,1
18587,bathroomStallDoor,1
18588,bathroomStallWall,2
18590,bathroomStallSupportRight,1
18592,bathroomStallSCTRBeam,1
18593,bathroomStallCTRBeam,2
18645,cntTrashPile07,1
18647,cntTrashPile09,1
18649,garbage_decor1,3
18650,garbage_decor2,4
18651,garbage_decor3,1
18653,glassBroken_01,4
18654,glassBroken_02,3
18656,glassBrokenCapLeft,2
18657,glassBrokenCapRight,6
18658,newspaperDecor01,1
18659,newspaperDecor02,1
18660,newspaperDecor03,1
18663,rubbishDecor02,1
18666,rubbishDecor05,2
18674,bloodDecor01,1
18677,bloodDecor06,1
18689,cntBinTrashMetalWhiteRandomLootHelper,4
18724,cntFancyGarbageCan,2
18730,cntDomedTrashCanCornerRandomLootHelper,1
18733,cntBruteStyleTrashCanRandomLootHelper,3
18739,cntDumpsterFlies,1
18790,cntDuffle01,1
18822,cntBagsRandomLootHelper,3
18834,airConditioner,4
18946,commercialTripleMeter,1
18948,conduit01,42
18950,conduit01Curve,1
19020,cntFridgeStainlessSteelRandomLootHelper,2
19095,cntMicrowaveRandomLootHelper,1
19102,cntToaster,1
19103,cntCoffeeMaker,1
19104,cntCoffeeMakerCommercial,1
19110,wallClockRandomLootHelper,4
19117,decoComputerMonitorKeyboardMousePC,1
19118,decoComputerMonitorKeyboardMouse,6
19121,decoLaptop,4
19122,decoStudioCamera,1
19136,tvSmallWall2x1,2
19164,lightWallGooseneckBlack,9
19187,recessedLight,9
19191,lightCeiling07,1
19193,fluorescentLight,4
19194,fluorescentLightBayIntact,4
19209,trackLight,5
19210,industrialLight01,1
19218,lightIndustrialHangingBlack,5
19222,lanternDecorLightRed,2
19249,flashlightDecorYellow,1
19272,endTable,1
19841,woodSheetRandomHelper,9
19866,pictureCanvas_01b,1
19867,pictureCanvas_01c,1
19877,pictureFrame_01b,1
19878,pictureFrame_01c,1
19880,pictureFrame_01e,1
19895,pictureFrame_01t,1
19896,pictureFrame_01u,1
19898,pictureFrame_01w,1
19904,calendar2034,2
19936,paintingBen,1
19940,paintingDerek,1
19948,paintingPictureRandomHelper,2
20039,goreBlockHumanCorpse3,1
20040,goreBlockHumanBones,1
20068,cntBirdnest,2
20127,palletBrownBoxesTop,2
20189,palletEmpty,2
20322,treePlant02,1
20333,plantAloePottedCornerWhite,3
20354,plantHousePottedCornerWhite,3
20365,plantCherryBlossomWhite,1
20373,plantCherryBlossomGrey,1
20387,plantHouseTallPottedWhite,1
20396,plantHouseTallPottedBlack,2
20663,commercialGlassDoorDouble,7
20697,commercialDoorV2Grey,5
20755,elevatorDoor,2
20759,elevatorOutsideButtonPanel,2
20760,elevatorOutsideFloorPanel,2
20762,elevatorInsidePanelHalfBlock,1
21644,decoTableRound,1
21668,officeChair01,6
21669,officeChair01Brown,3
21685,oldChair1Brown,1
21691,oldChair1BrokenBrown,1
21747,barStoolBrown,2
21769,couchUglySingleBlue,2
21796,couchModernArm,2
21797,couchModernCorner,8
21798,couchModernSection,4
21814,couchModernArmBlack,2
21815,couchModernCornerBlack,4
21816,couchModernSectionBlack,4
21884,cntWaterCoolerFullSideCentered,2
21910,trophy,1
21936,mattressFlatThin,1
22059,cntToolBoxOffsetRandomLootHelperRed,1
22136,parkingBlockWhite,7
22137,parkingBlockCrooked1White,2
22138,parkingBlockCrooked2White,2
22139,parkingBlockBrokenWhite,1
22163,cntVendingMachine2RandomLootHelper,1
22168,cntVendingMachineSnacksRandomLootHelper,1
22344,cntStoreElectronicsBookShelfSpeaker,3
22399,cntStoreShelfSingleBottomShoesRandomLootHelper,1
22418,cntBookcaseCornerPoorRandomLootHelper,1
22462,cntBookPile02AirRandomLootHelper,1
22463,cntBookPile03AirRandomLootHelper,1
22540,fastFoodBooth,2
22608,officeDesk,11
22609,officeTable,1
22631,cntshelfSupplyOfficeBrownRandomLootHelper,1
22638,cntshelfSupplyOfficeGreyRandomLootHelper,2
22645,cntFileCabinetShortBlackRandomLootHelper,4
22664,cntFileCabinetTallBlackRandomLootHelper,3
22777,metalRailing,26
22779,metalRailingCNR,1
22785,metalStairsBoardRailing,6
22942,concreteHalfDestroyed08,1
22957,rubblePileConcreteSmall,1
22974,heatVentIndustrial,1
22996,pipeSmall1x1,5
22997,pipeSmall1x3,17
22998,pipeSmallBroke,1
23000,pipeSmallJoint,1
23001,pipeSmallValve,1
23003,pipeSmallCorner,3
23004,pipeSmallWall1x1,1
23005,pipeSmallWall1x3,3
23011,pipeSmallWallCorner,1
23147,waterHeaterWhite,1
23388,signBulletinBoard01,2
23389,signBulletinBoard02,1
23399,signPosterMovie2159,1
23400,signPosterMovieLoneWolf,1
23401,signPosterMovieMammasJustice,1
23402,signPosterMovieSexualTension,1
23407,signBathroomSignUnisexWallMount,1
23452,looseBoardsTrapPlate1x1,46
23474,looseConcreteTrapBlock3x3,1
23490,fakeCabinetDoorTrap1x2Sheet,1
23501,carsRandomHelper,2
23956,treeDeadPineLeaf,15
23969,treeDeadTree01,5
23970,treeDeadTree02,1
23971,treePlainsTree2,2
24026,treeBrownGrassDiagonal,6
24031,treeGreenBrownGrassDiagonal,13
24126,farmPlotBlock,3
24128,farmPlotBlockRaised,9
24142,cntStoreCratesRandomLootHelper,2
24148,questRallyMarker,1
24156,cntQuestRandomLootHelper,5
24162,sleeperSit,3
24163,sleeperBack,1
24164,sleeperSideLeft,3
24165,sleeperSideRight,2
24166,sleeperStomach,1
24167,sleeperIdle,16
24175,sleeperVultureAnimal,2
24179,infestedSleeperSit,1
24184,infestedSleeperIdle,1
24294,metalSignNumbersOnlyRandomHelper,3
24295,metalSignNumbersOnlyNoZeroRandomHelper,1
