id,name,count
2,terrainFiller,453
16,terrGravel,172
259,woodShapes:cube,397
274,woodShapes:cubeHalf,6
316,woodShapes:pole,36
383,woodShapes:plate,20
384,woodShapes:plateCentered,7
483,woodShapes:pillar50CornerPlate,11
739,woodShapes:wedge60,42
740,woodShapes:wedge60Tip,50
846,woodShapes:wedge60InclineHalfLeft,4
847,woodShapes:wedge60InclineHalfRight,4
850,woodShapes:wedge60TipHalfLeft,7
851,woodShapes:wedge60TipHalfRight,7
948,woodShapes:gable3Quarter,7
952,woodShapes:gable3QuarterHalf,1
1194,woodShapes:stairs,1
1196,woodShapes:stairsRailing,12
1247,woodShapes:catwalkV1RailSingle,1
1318,woodShapes:railing,1
1321,woodShapes:railingBroke01,3
1679,woodShapes:crown,14
1684,woodShapes:crownInsideCorner,4
1694,woodShapes:doorTrimCorner,5
1698,woodShapes:doorTrim1m,17
1704,woodShapes:doorTrim2m,2
1714,woodShapes:windowTrim,38
1715,woodShapes:windowTrimBottom,14
1716,woodShapes:windowTrimSides,8
1717,woodShapes:windowTrimTop,2
1943,woodShapes:window01Broken,8
2021,woodShapes:windowBoarded,13
2026,woodShapes:windowCentered,2
2125,woodShapes:woodDebris01,3
2126,woodShapes:woodDebris02,1
2127,woodShapes:woodDebris03,3
2143,woodShapes:floorJoist,19
2193,woodShapes:tableDynamic,1
2201,woodShapes:counterFlipDoorClosed,1
2230,woodShapes:bookcaseEmpty,1
2267,woodShapes:trellisDiamond,12
13591,corrugatedMetalShapes:cube,1
13779,corrugatedMetalShapes:billboard,1
13841,corrugatedMetalShapes:pillar0.05Middle,2
13864,corrugatedMetalShapes:pipeThin,5
15769,corrugatedMetalShapes:signLetter_b,1
15770,corrugatedMetalShapes:signLetter_c,1
15772,corrugatedMetalShapes:signLetter_e,1
15778,corrugatedMetalShapes:signLetter_k,1
15779,corrugatedMetalShapes:signLetter_l,1
15782,corrugatedMetalShapes:signLetter_o,3
15786,corrugatedMetalShapes:signLetter_s,2
18278,cntMedicLootPileACorner,1
18280,cntFoodPileSmall,1
18290,cntShippingCrateBookstore,1
18309,cntLootChestHeroInsecureT1,1
18329,cntQuestInfestedT1LootHelper,1
18388,cntCabinetBottomFiller,3
18411,cntCupboardCabinetOldTopLootHelper,4
18455,cntMedicineCabinetClosedRandomLootHelper,1
18504,garbage_decor1,1
18505,garbage_decor2,3
18506,garbage_decor3,3
18677,cntBagsRandomLootHelper,1
18819,keyRackWood01,1
18908,cntWoodBurningStove,1
19093,lanternOld_02,4
19212,candleTableLight,1
19685,woodFenceSheet,17
19734,pictureFrame_01d,1
19804,cntPaintingPictureSafeRandomLootHelper,1
19920,modularFireWoodStackA,2
19921,modularFireWoodStackB,3
19922,modularFireWoodStackC,2
19930,decoWildWestWagonWheelFront,1
20290,oldWoodDoor,4
21007,curtainDrapesFullTopDirtyBrown,2
21029,curtainDrapesFullBottomDirtyBrown,2
21040,curtainDrapesLeftHalfTopDirtyBrown,3
21062,curtainDrapesLeftHalfBottomDirtyBrown,3
21073,curtainDrapesRightHalfTopDirtyBrown,3
21095,curtainDrapesRightHalfBottomDirtyBrown,3
21184,plainWoodBarricade02CTRPlate,4
21185,woodBarricadeCTRPlate,1
21187,windowPlug01CTRPlate,2
21190,ironBarsCentered,6
21191,ironBars,4
21321,cntNightstandRandomLootHelper,1
21528,woodChair1,3
21782,bunkBedRandomHelper,1
22260,cntBookcaseGoodRandomLootHelper,2
22261,cntBookcasePoorRandomLootHelper,3
22310,cntBookPile03AirRandomLootHelper,1
22740,burntWoodBlock2,4
22741,burntWoodBlock3,1
22747,burntWoodWedge7,3
22754,woodDestroyed05,2
22755,woodDestroyed06,2
22841,metalPipeCap,1
23276,trapSpikesWoodDmg0,4
23288,barbedFence,1
23984,questRallyMarker,1
23992,sleeperSit,5
23994,sleeperSideLeft,1
23997,sleeperIdle,1
23998,sleeperCrawlerOnly,3
