id,name,count
2,terrainFiller,5776
5,terrDirt,38
16,terrGravel,311
259,woodShapes:cube,594
274,woodShapes:cubeHalf,16
277,woodShapes:cubeCornerBeveled,12
280,woodShapes:cubeHalfSplitBeveledCorner,2
291,woodShapes:cubeQuarter,72
293,woodShapes:quarterCenteredWall,20
296,woodShapes:quarterInsideCorner,4
297,woodShapes:quarterInsideCorner3way,4
300,woodShapes:quarterTeeCentered,4
310,woodShapes:pole,4
312,woodShapes:poleSideCentered,4
316,woodShapes:poleTwoWayCorner,8
375,woodShapes:plate,1
419,woodShapes:platePoleCorner,2
421,woodShapes:poleTwoWayPlate,4
475,woodShapes:pillar50CenteredSquareTop,2
694,woodShapes:ramp,129
697,woodShapes:rampTipOffset,16
700,woodShapes:rampTipOffsetHalfCorner,4
722,woodShapes:rampSplitLeft04,2
723,woodShapes:rampSplitRight04,2
726,woodShapes:rampSplitInclineLeft,1
727,woodShapes:rampSplitInclineRight,1
728,woodShapes:wedge60,8
729,woodShapes:wedge60Tip,8
772,woodShapes:wedgeInclineCornerTop,4
775,woodShapes:rampInclineHalfLeft,21
776,woodShapes:rampInclineHalfRight,21
836,woodShapes:wedge60TipCornerBase,4
837,woodShapes:wedge60TipCornerTop,4
976,woodShapes:rampIncline,160
977,woodShapes:rampInclineFiller,126
978,woodShapes:rampInclineFillerHalfLeft,18
979,woodShapes:rampInclineFillerHalfRight,18
983,woodShapes:rampInclineOutsideCnrFiller,4
1131,woodShapes:rampInclineFillerPillar0.025,4
1136,woodShapes:stairsFilledQuarterVerticalUV,12
1147,woodShapes:stairs02,6
1150,woodShapes:stairsFilledRailingLeft,1
1184,woodShapes:railingFloatLeft,2
1185,woodShapes:railingFloatRight,2
1260,woodShapes:railing,1
1279,woodShapes:cubeBaseboard4Sided,10
1644,woodShapes:windowTrim,48
1645,woodShapes:windowTrimBottom,20
1657,woodShapes:windowArchTopTrim,8
1780,woodShapes:archWindowFull,16
1784,woodShapes:arch2mWindow01Top,1
1785,woodShapes:arch2mWindow01TopBroken,3
1791,woodShapes:arch2mWindow01BottomBroken,4
1793,woodShapes:arch2mBaseboard,4
1794,woodShapes:window01,2
1795,woodShapes:window01Broken,8
1848,woodShapes:windowArchTopFilledCenteredStained,8
1869,woodShapes:windowBoarded,3
1990,woodShapes:floorJoist,15
2077,woodShapes:bookcaseEmpty,1
2117,woodShapes:churchCross01,2
2118,woodShapes:crossSmall,3
2123,woodShapes:fence,4
2126,woodShapes:fenceBroken1,3
2127,woodShapes:fenceBroken2,3
3331,brickShapes:cubeBaseboard,37
3337,brickShapes:cubeBaseboard4Sided,28
4375,cobblestoneShapes:cube,367
4390,cobblestoneShapes:cubeHalf,131
4407,cobblestoneShapes:cubeQuarter,8
4767,cobblestoneShapes:arch,24
4769,cobblestoneShapes:archCorner,2
4810,cobblestoneShapes:ramp,2
4949,cobblestoneShapes:wedge60InclineHalfLeftFiller,6
4950,cobblestoneShapes:wedge60InclineHalfRightFiller,6
5288,cobblestoneShapes:wedgeTipStairs,4
