id,name,count
1,terrStone,4694
2,terrainFiller,11483
16,terrGravel,1021
21,terrOreCoal,352
259,woodShapes:cube,388
274,woodShapes:cubeHalf,62
297,woodShapes:cubeQuarter,16
298,woodShapes:cubeQuarterCenter,32
299,woodShapes:quarterCenteredWall,48
316,woodShapes:pole,118
322,woodShapes:poleTwoWayCorner,2
358,woodShapes:poleSquareDiagonal,6
383,woodShapes:plate,143
413,woodShapes:plateHalf,71
518,woodShapes:poleSupport,24
519,woodShapes:poleSupport2,24
522,woodShapes:poleCross3x1,8
704,woodShapes:ramp,7
712,woodShapes:rampInsideCornerFull,2
739,woodShapes:wedge60,43
740,woodShapes:wedge60Tip,146
752,woodShapes:wedge60Incline,43
846,woodShapes:wedge60InclineHalfLeft,6
847,woodShapes:wedge60InclineHalfRight,4
850,woodShapes:wedge60TipHalfLeft,13
851,woodShapes:wedge60TipHalfRight,11
923,woodShapes:wedgeTipHalf,2
1045,woodShapes:plateWedge60Tip,4
1046,woodShapes:plateWedge60TipHalfLeft,2
1047,woodShapes:plateWedge60TipHalfRight,2
1053,woodShapes:plateWedge60InclineHalfLeft,2
1054,woodShapes:plateWedge60InclineHalfRight,2
1056,woodShapes:plateWedge60FillerHalfLeft,1
1184,woodShapes:stairsFilledQuarterVerticalUV,12
1196,woodShapes:stairsRailing,9
1247,woodShapes:catwalkV1RailSingle,2
1248,woodShapes:catwalkV1Railing,1
1249,woodShapes:catwalkV1Corner,4
1254,woodShapes:catwalkV1RailOnly,8
1331,woodShapes:cubeBaseboard,3
1497,woodShapes:cubeTrimQuarterCornerInside2,2
1689,woodShapes:doorTrimCorner,2
1693,woodShapes:doorTrim1m,63
1709,woodShapes:windowTrim,5
1711,woodShapes:windowTrimSides,3
2107,woodShapes:floorJoist,64
2240,woodShapes:fence,46
6814,concreteShapes:cube,184
6829,concreteShapes:cubeHalf,24
7739,concreteShapes:stairsFilledQuarterVerticalUV,5
8124,concreteShapes:cubeTrimQuarterEdgeTwoSided,2
10892,steelShapes:securityGatePlate,5
13369,corrugatedMetalShapes:cube,431
13384,corrugatedMetalShapes:cubeHalf,10
13412,corrugatedMetalShapes:quarterInsideCorner,4
13426,corrugatedMetalShapes:pole,32
13428,corrugatedMetalShapes:poleSideCentered,28
13436,corrugatedMetalShapes:poleSquareSideCenteredTee,1
13441,corrugatedMetalShapes:poleSquareSideCenteredCornerBracket,2
13493,corrugatedMetalShapes:plate,33
13533,corrugatedMetalShapes:platePole,2
13536,corrugatedMetalShapes:platePoleCornerFiller,4
13537,corrugatedMetalShapes:platePoleCorner,26
13557,corrugatedMetalShapes:billboard,5
13565,corrugatedMetalShapes:pillar100,6
13577,corrugatedMetalShapes:pillar50,3
13608,corrugatedMetalShapes:pillar0.025Centered,3
13814,corrugatedMetalShapes:ramp,14
13849,corrugatedMetalShapes:wedge60,42
