id,name,count
2,terrainFiller,577
16,terrGravel,48
291,woodShapes:cubeQuarter,8
310,woodShapes:pole,26
312,woodShapes:poleSideCentered,18
375,woodShapes:plate,23
405,woodShapes:plateHalf,8
1148,woodShapes:stairsRailing,4
1260,woodShapes:railing,9
1263,woodShapes:railingBroke01,5
1991,woodShapes:sawhorse,1
18465,cntBirdnest,1
18473,hayBaleSquare,1
18486,modularRopeTiled,1
18487,modularRopeTopTied,1
18488,modularRopeNoose,1
18591,palletEmpty,1
18592,palletEmptyStack,1
19420,woodHatch,1
20119,wineBarrelPlain,1
