id,name,count
2,terrainFiller,399
16,terrGravel,77
259,woodShapes:cube,256
316,woodShapes:pole,7
322,woodShapes:poleTwoWayCorner,8
383,woodShapes:plate,7
741,woodShapes:wedge60,33
742,woodShapes:wedge60Tip,94
754,woodShapes:wedge60Incline,22
852,woodShapes:wedge60InclineHalfLeft,4
853,woodShapes:wedge60InclineHalfRight,4
858,woodShapes:wedge60TipHalfLeft,8
859,woodShapes:wedge60TipHalfRight,8
956,woodShapes:gable3Quarter,10
957,woodShapes:gable3QuarterTrimQuarter,1
960,woodShapes:gable3QuarterHalf,1
1053,woodShapes:plateWedge60Tip,7
1054,woodShapes:plateWedge60TipHalfLeft,1
1055,woodShapes:plateWedge60TipHalfRight,1
1060,woodShapes:plateWedge60Incline,10
1061,woodShapes:plateWedge60InclineHalfLeft,2
1062,woodShapes:plateWedge60InclineHalfRight,2
1064,woodShapes:plateWedge60FillerHalfLeft,1
1065,woodShapes:plateWedge60FillerHalfRight,1
1573,woodShapes:cubeTrimHalfSplitDiagonal,2
1650,woodShapes:wedge60TrimQuarterLeftFiller,1
1651,woodShapes:wedge60TrimQuarterRightFiller,1
1652,woodShapes:wedge60TrimQuarterLeft2Sided,1
1653,woodShapes:wedge60TrimQuarterRight2Sided,1
1654,woodShapes:wedge60TipTrimQuarterLeft2Sided,1
1655,woodShapes:wedge60TipTrimQuarterRight2Sided,1
1729,woodShapes:doorTrim1m,2
1745,woodShapes:windowTrim,8
1746,woodShapes:windowTrimBottom,9
1748,woodShapes:windowTrimTop,3
1973,woodShapes:window01,2
1975,woodShapes:window01Broken02,3
1976,woodShapes:window01Broken03,2
1977,woodShapes:window01Broken04,2
1978,woodShapes:window01Broken05,1
2052,woodShapes:windowBoarded,1
2127,woodShapes:plateDiagonalDestroyed05,1
2129,woodShapes:plateWedge60InclineDestroyed,2
2130,woodShapes:plateWedge60InclineDestroyed02,1
2174,woodShapes:floorJoist,9
2311,woodShapes:fenceBroken1,1
2312,woodShapes:fenceBroken2,1
4779,cobblestoneShapes:cube,58
13943,corrugatedMetalShapes:plate,4
18489,cntGunSafe,1
18564,cntWeaponsBagSmall,1
18571,cntAmmoPileSmall,1
18743,cntToilet03,2
18811,garbage_decor1,1
18812,garbage_decor2,1
18813,garbage_decor3,1
19128,keyRackWood01,2
19349,lightWallGooseneckBlack,2
19437,flashlightDecorRandomHelper,1
20281,horseshoe_02,1
20282,horseshoe_03,1
20383,palletEmpty,1
20384,palletEmptyStack,1
20626,jailDoorGrey,1
20638,jailDoorFallenGrey,1
20650,jailBarsGrey,12
20651,oldWoodDoor,2
21557,shutters1Plate,12
21566,ironBarsCentered,16
21813,cntDeskWoodRandomLootHelper,2
21904,woodChair1,1
21906,chairWood01,2
22115,wineBarrelPlain,7
22205,bunkBedRandomHelper,1
22209,bunkBedFrame,1
22249,mattressCurled,1
22744,cntBookcasePoorRandomLootHelper,1
23228,burntWoodRamp7,2
23839,signDecalWood7x1,1
24683,sleeperSit,4
24684,sleeperBack,1
24685,sleeperSideLeft,2
24686,sleeperSideRight,2
24687,sleeperStomach,1
24688,sleeperIdle,1
