id,name,count
2,terrainFiller,385
5,terrDirt,76
16,terrGravel,164
259,woodShapes:cube,162
310,woodShapes:pole,130
316,woodShapes:poleTwoWayCorner,12
317,woodShapes:poleThreeWayCorner,4
333,woodShapes:poleSquareDouble,6
343,woodShapes:rampInclineFillerPoleSquareLeft,4
344,woodShapes:rampInclineFillerPoleSquareRight,4
345,woodShapes:rampInclinePoleSquareLeft,4
346,woodShapes:rampInclinePoleSquareRight,4
375,woodShapes:plate,24
405,woodShapes:plateHalf,6
430,woodShapes:arrowSlitQuarter,2
459,woodShapes:pillar50,4
475,woodShapes:pillar50CenteredSquareTop,8
694,woodShapes:ramp,30
728,woodShapes:wedge60,15
729,woodShapes:wedge60Tip,45
741,woodShapes:wedge60Incline,14
775,woodShapes:rampInclineHalfLeft,10
776,woodShapes:rampInclineHalfRight,10
827,woodShapes:wedge60InclineHalfLeft,2
828,woodShapes:wedge60InclineHalfRight,2
831,woodShapes:wedge60TipHalfLeft,3
832,woodShapes:wedge60TipHalfRight,3
903,woodShapes:wedgeTipHalf,15
925,woodShapes:gableHalf,2
942,woodShapes:gableInvertedHalfHalfOffset,13
976,woodShapes:rampIncline,97
977,woodShapes:rampInclineFiller,87
978,woodShapes:rampInclineFillerHalfLeft,9
979,woodShapes:rampInclineFillerHalfRight,9
1279,woodShapes:cubeBaseboard4Sided,12
1628,woodShapes:doorTrim1m,18
1644,woodShapes:windowTrim,16
1645,woodShapes:windowTrimBottom,4
1647,woodShapes:windowTrimTop,9
1798,woodShapes:window01Broken02,1
1799,woodShapes:window01Broken03,2
1800,woodShapes:window01Broken04,1
1871,woodShapes:windowBoarded,5
2125,woodShapes:fence,72
2128,woodShapes:fenceBroken1,3
2129,woodShapes:fenceBroken2,3
12658,corrugatedMetalShapes:pole,6
14620,corrugatedMetalShapes:signLetter_a,1
14627,corrugatedMetalShapes:signLetter_h,1
14631,corrugatedMetalShapes:signLetter_l,1
14644,corrugatedMetalShapes:signLetter_y,1
14645,corrugatedMetalShapes:signLetter_z,1
16938,cntShippingCrateWorkingStiffs,1
17153,cntTrashPile03,2
17157,cntTrashPile07,3
17160,garbage_decor1,5
17161,garbage_decor2,3
17162,garbage_decor3,4
17303,cntBagsRandomLootHelper,1
17448,keyRackWood01,1
17645,lightWallGooseneckBlack,2
17713,lanternDecorLightRandomHelper,1
18382,cntBarrelGasOld,1
18466,hayBaleSquare,9
18467,hayBaleRound,4
18476,horseshoe_01,1
18477,horseshoe_02,2
18478,horseshoe_03,3
18530,palletBricksPartial1,1
18532,palletBricksPartial2,1
18588,palletEmpty,3
18589,palletEmptyStack,3
18848,oldWoodDoor,1
19204,woodenFenceDoorBrown,5
19252,woodenGarageDoor3x3Brown,2
20948,ladderWood,4
21083,burntWoodBlock2,22
21084,burntWoodBlock3,18
21087,burntWoodBlock6,11
21088,burntWoodRamp7,4
21090,burntWoodWedge7,1
22253,cntStoreCratesRandomLootHelper,1
22267,sleeperSit,3
22268,sleeperBack,5
22269,sleeperSideLeft,2
22270,sleeperSideRight,2
22272,sleeperIdle,2
