id,name,count
2,terrainFiller,517
16,terrGravel,484
259,woodShapes:cube,1310
274,woodShapes:cubeHalf,34
310,woodShapes:pole,195
312,woodShapes:poleSideCentered,11
316,woodShapes:poleTwoWayCorner,8
317,woodShapes:poleThreeWayCorner,1
354,woodShapes:polePlateHalf,7
375,woodShapes:plate,177
376,woodShapes:plateCentered,4
390,woodShapes:plateCornerHalf,2
405,woodShapes:plateHalf,49
415,woodShapes:platePole,12
430,woodShapes:arrowSlitQuarter,4
694,woodShapes:ramp,95
701,woodShapes:rampInsideCornerFull,3
728,woodShapes:wedge60,11
729,woodShapes:wedge60Tip,31
741,woodShapes:wedge60Incline,17
774,woodShapes:rampInclineInsideCnr,4
775,woodShapes:rampInclineHalfLeft,23
776,woodShapes:rampInclineHalfRight,25
791,woodShapes:rampSplitWedge60Left,1
792,woodShapes:rampSplitWedge60Right,1
827,woodShapes:wedge60InclineHalfLeft,3
828,woodShapes:wedge60InclineHalfRight,3
831,woodShapes:wedge60TipHalfLeft,5
832,woodShapes:wedge60TipHalfRight,5
903,woodShapes:wedgeTipHalf,30
925,woodShapes:gableHalf,4
942,woodShapes:gableInvertedHalfHalfOffset,11
974,woodShapes:halfRampStairs50,10
976,woodShapes:rampIncline,202
977,woodShapes:rampInclineFiller,140
978,woodShapes:rampInclineFillerHalfLeft,18
979,woodShapes:rampInclineFillerHalfRight,20
980,woodShapes:rampInclineInsideCnrFiller,4
988,woodShapes:plateDiagonal,24
1017,woodShapes:plateWedge60Tip,5
1024,woodShapes:plateWedge60Incline,10
1146,woodShapes:stairs,2
1148,woodShapes:stairsRailing,18
1196,woodShapes:catwalkV1RailOnly,42
1273,woodShapes:cubeBaseboard,23
1279,woodShapes:cubeBaseboard4Sided,6
1297,woodShapes:cubeBaseboardChairRail4Sided,3
1624,woodShapes:doorTrimCorner,6
1628,woodShapes:doorTrim1m,112
1632,woodShapes:doorTrim1mDouble,1
1644,woodShapes:windowTrim,48
1645,woodShapes:windowTrimBottom,54
1646,woodShapes:windowTrimSides,17
1647,woodShapes:windowTrimTop,10
1648,woodShapes:windowTrimTopLeft,3
1649,woodShapes:windowTrimTopMiddle,7
1650,woodShapes:windowTrimTopRight,3
1796,woodShapes:window01,4
1798,woodShapes:window01Broken02,4
1800,woodShapes:window01Broken04,1
1801,woodShapes:window01Broken05,1
1992,woodShapes:floorJoist,46
2113,woodShapes:ladderSquareBroken02,1
2125,woodShapes:fence,39
2128,woodShapes:fenceBroken1,2
2129,woodShapes:fenceBroken2,6
2317,brickShapes:cube,218
12607,corrugatedMetalShapes:cube,7
12658,corrugatedMetalShapes:pole,4
12723,corrugatedMetalShapes:plate,38
12724,corrugatedMetalShapes:plateCentered,8
12758,corrugatedMetalShapes:plateHalfTriangle,12
12806,corrugatedMetalShapes:pillar100Cap,1
12807,corrugatedMetalShapes:pillar50,1
12837,corrugatedMetalShapes:pillar0.025Centered,2
12865,corrugatedMetalShapes:pipeStraightOpenEnded,9
12866,corrugatedMetalShapes:pipeJoint,4
12867,corrugatedMetalShapes:pipeFlange,4
12868,corrugatedMetalShapes:pipeCorner,3
13042,corrugatedMetalShapes:ramp,54
13058,corrugatedMetalShapes:rampCorner,4
13255,corrugatedMetalShapes:plateWedgeTip,5
13336,corrugatedMetalShapes:plateDiagonal,52
13339,corrugatedMetalShapes:plateDiagonalFiller,10
13342,corrugatedMetalShapes:plateDiagonalFillerDouble,5
13353,corrugatedMetalShapes:plateRampCorner03,8
13857,corrugatedMetalShapes:cubeTrimQuarterEdgeTwoSided,6
13985,corrugatedMetalShapes:doorTrimThreeSided,31
14286,corrugatedMetalShapes:plateDestroyed,1
14287,corrugatedMetalShapes:plateDestroyed02,1
14621,corrugatedMetalShapes:signLetter_b,2
14624,corrugatedMetalShapes:signLetter_e,3
14625,corrugatedMetalShapes:signLetter_f,2
14626,corrugatedMetalShapes:signLetter_g,2
14633,corrugatedMetalShapes:signLetter_n,6
14637,corrugatedMetalShapes:signLetter_r,3
14638,corrugatedMetalShapes:signLetter_s,1
14639,corrugatedMetalShapes:signLetter_t,1
14640,corrugatedMetalShapes:signLetter_u,4
14642,corrugatedMetalShapes:signLetter_w,1
14644,corrugatedMetalShapes:signLetter_y,1
16820,cntWallSafeRandomLootHelper,1
16922,cntMedicLootPileA,1
16932,cntShippingCrateHero,1
16937,cntShippingCrateShotgunMessiah,1
16954,cntLootChestHeroInsecureT1,1
16973,cntQuestInfestedT1LootHelper,1
16989,cntOldWestChestRandomLootHelper,1
17040,cntCabinetBottomFiller,6
17056,cntCabinetOldBottomLootHelper,1
17152,cntTrashPile02,2
17153,cntTrashPile03,1
17157,cntTrashPile07,2
17160,garbage_decor1,1
17161,garbage_decor2,5
17162,garbage_decor3,2
17225,cntDumpster,1
17273,cntSportsBag01Red,1
17448,keyRackWood01,1
17645,lightWallGooseneckBlack,7
17695,lightIndustrialMountedWall,1
17713,lanternDecorLightRandomHelper,1
17749,chandelierLight,1
17812,workLightPOI,1
18292,pictureCanvas_01a,1
18293,pictureCanvas_01b,1
18476,horseshoe_01,1
18477,horseshoe_02,1
18478,horseshoe_03,1
18523,palletBrownBoxesBase,3
18524,palletBrownBoxesTile,5
18525,palletBrownBoxesTop,6
18526,palletBrownBoxesTopSmall,3
18527,palletBrownBoxesLoose,2
18588,palletEmpty,3
18589,palletEmptyStack,12
18848,oldWoodDoor,11
19252,woodenGarageDoor3x3Brown,3
19482,opaqueBusinessGlass,22
19627,plainWoodBarricade02CTRPlate,4
19634,ironBars,12
19911,chairWood01,1
20097,wineBarrelSet,2
20098,wineBarrelPlain,16
20431,cntStoreShelfSingleBottomEmpty,2
20432,cntStoreShelfSingleTopEmpty,1
20467,cntStoreShelfSingleBottomTrash02,1
20468,cntStoreShelfSingleTopTrash01,1
20469,cntStoreShelfSingleTopTrash02,1
20515,cntDisplayCaseEmptyLeftBroken,1
20519,cntDisplayCaseEmptyRightBroken,1
20521,cntDisplayCaseAmmoMiddleBroken01,1
20525,cntDisplayCaseAmmoMiddleRandomLootHelper,1
20528,cntGunRackSmallEmpty02,2
20529,cntGunRackSmallEmpty03,2
20537,cntGunRackLargeRandomLootHelper,1
20667,cntCashRegisterRandomLootHelper,1
20794,cntLiquorPileSmall,2
20796,cntLiquorPileLarge,1
20948,ladderWood,1
20951,metalCatwalk,28
20957,metalCatwalkRailing2,1
20966,metalRailing,10
20970,metalCatwalkRailingCNR,1
20974,metalStairsBoardRailing,7
21097,woodDestroyed05,3
21098,woodDestroyed06,1
21099,woodDestroyed07,3
21100,woodDestroyed08,1
21180,metalPipeStraight,2
21181,metalPipeValve,1
21183,metalPipeJoint,1
21185,metalPipeFlange,2
21623,looseBoardsTrapPlate1x1,7
21659,fakeCabinetDoorTrap1x2Sheet,3
22016,forklift2Orange,1
22253,cntStoreCratesRandomLootHelper,1
22259,questRallyMarker,1
22261,cntQuestRandomLootHelper,6
22267,sleeperSit,3
22268,sleeperBack,1
22269,sleeperSideLeft,1
22270,sleeperSideRight,1
22272,sleeperIdle,16
22302,flagWallHungUSA,1
