id,name,count
2,terrainFiller,549
16,terrGravel,76
259,woodShapes:cube,1
310,woodShapes:pole,28
375,woodShapes:plate,10
387,woodShapes:plateCorner,12
509,woodShapes:poleSupport,8
510,woodShapes:poleSupport2,8
512,woodShapes:poleCross,4
534,woodShapes:3mTubeCenter,12
535,woodShapes:3mTubeCorner,12
930,woodShapes:plateGable,2
1009,woodShapes:plateWedge60LeftTip,2
1010,woodShapes:plateWedge60RightTip,2
1188,woodShapes:catwalkV1,1
1189,woodShapes:catwalkV1RailSingle,11
1193,woodShapes:catwalkV1WedgeRailing,4
1509,woodShapes:cubeTrimQuarterEdgeTwoSided,4
1518,woodShapes:cubeTrimQuarterCornerOutsideThreeSided,4
1628,woodShapes:doorTrim1m,32
1636,woodShapes:doorTrimTwoSided,8
1646,woodShapes:windowTrimSides,1
1991,woodShapes:sawhorse,1
1992,woodShapes:floorJoist,8
2125,woodShapes:fence,24
2332,brickShapes:cubeHalf,5
2349,brickShapes:cubeQuarter,4
2368,brickShapes:pole,4
3950,brickShapes:brickHalfDestroyed02,2
3954,brickShapes:brickHalfDestroyed06,1
12607,corrugatedMetalShapes:cube,1
12865,corrugatedMetalShapes:pipeStraightOpenEnded,5
12866,corrugatedMetalShapes:pipeJoint,1
12867,corrugatedMetalShapes:pipeFlange,4
12868,corrugatedMetalShapes:pipeCorner,1
12921,corrugatedMetalShapes:cube5mRoundRoofTop01,1
12922,corrugatedMetalShapes:cube5mRoundRoofTop02,4
12923,corrugatedMetalShapes:cube5mRoundRoofTop03,4
12924,corrugatedMetalShapes:cube5mRoundRoofBottom01,4
12925,corrugatedMetalShapes:cube5mRoundRoofBottom02,4
12926,corrugatedMetalShapes:cube5mRoundRoofBottom03,4
12927,corrugatedMetalShapes:cube5mRoundRoofBottom04,4
12928,corrugatedMetalShapes:cube5mRoundRoofBottom05,4
12929,corrugatedMetalShapes:cube5mRoundRoofBottom06,4
13284,corrugatedMetalShapes:gablePlate,3
13365,corrugatedMetalShapes:plateWedge60Tip,6
16926,cntFoodPileSmall,1
18435,decoCarTireSmallFlat,2
18472,modularFireWoodStackC,1
18591,palletEmpty,1
18592,palletEmptyStack,1
18626,palletBagConcreteTile,1
18629,palletBagConcreteBaseSml,1
18858,oldWoodDoor,1
20119,wineBarrelPlain,1
20972,ladderWood,6
21205,metalPipeValve,1
22125,treeDeadTree02,1
22166,treeStumpPOI,1
22167,treeSmallRandomHelper,1
