id,name,count
2,terrainFiller,862
16,terrGravel,678
310,woodShapes:pole,4
337,woodShapes:cubePoleCorner,2
375,woodShapes:plate,4
405,woodShapes:plateHalf,4
1009,woodShapes:plateWedge60LeftTip,1
1010,woodShapes:plateWedge60RightTip,1
6796,concreteShapes:cubeQuarter7mRound01,34
6797,concreteShapes:cubeQuarter7mRound02,32
6798,concreteShapes:cubeQuarter7mRound03,52
6799,concreteShapes:cubeQuarter7mRound04,41
6800,concreteShapes:cubeQuarter7mRound05,32
6801,concreteShapes:cubeQuarter7mRoundFiller,33
14620,corrugatedMetalShapes:signLetter_a,1
14630,corrugatedMetalShapes:signLetter_k,1
14635,corrugatedMetalShapes:signLetter_p,1
14637,corrugatedMetalShapes:signLetter_r,1
17153,cntTrashPile03,1
17158,cntTrashPile08,1
17160,garbage_decor1,4
17161,garbage_decor2,4
17162,garbage_decor3,5
17215,cntFancyGarbageCan,3
17303,cntBagsRandomLootHelper,2
18451,goreBlockHumanCorpse2,1
18455,goreHumanSkull,1
18487,rock01,2
18488,rock02,2
18489,rock04,4
18490,rock05,3
18491,rock06,2
18497,rockResource02Broke1,3
20090,parkBenchA,5
22089,treeDeadPineLeaf,17
22100,treeDeadTree01,2
22101,treeDeadTree02,2
22102,treePlainsTree2,2
22143,treeSmallRandomHelper,2
22144,treeSmallThinRandomHelper,1
22145,treeMediumRandomHelper,1
22155,treeBrownGrassDiagonal,4
22160,treeGreenBrownGrassDiagonal,5
22280,sleeperVultureAnimal,2
22281,sleeperSnakeAnimal,3
