id,name,count
2,terrainFiller,3777
9,terrSand,34
17,terrGravel,541
7616,woodShapes:cube,16
7619,woodShapes:poleSideCentered,1
7652,concreteShapes:cubeQuarter,4
7657,woodShapes:stairsFilledRailingLeft,1
7658,woodShapes:stairsFilledRailingRight,1
7661,woodShapes:pole,62
7670,woodShapes:wedge60Incline,1
7671,woodShapes:wedge60Tip,3
7672,woodShapes:rampCornerFiller,4
7681,woodShapes:rampIncline,14
7682,woodShapes:rampInclineFiller,4
7685,woodShapes:rampInclineOutsideCnr,4
7693,woodShapes:rampInclineHalfRight,2
7695,woodShapes:rampInclineHalfLeft,2
7703,woodShapes:rampCorner,12
7714,woodShapes:wedgeTipHalf,4
7718,woodShapes:pillar50Corner,8
7719,woodShapes:pillar50CornerPlate,4
7724,woodShapes:gableHalf,1
7732,woodShapes:arrowSlitQuarter,1
7759,brickShapes:cube,300
7765,concreteShapes:cube,1027
7789,concreteShapes:cornerRound,4
7810,brickShapes:cubeHalf,112
7882,concreteShapes:cubeHalf,5
7888,concreteShapes:cubeHalfCentered,56
7899,concreteShapes:plate,13
7948,concreteShapes:plateSidewalkBroke01,1
7949,concreteShapes:plateSidewalkBroke02,2
8150,concreteShapes:stairsFilledVerticalUV,32
8475,brickShapes:wedge60,8
8485,corrugatedMetalShapes:pillar0.05Centered,6
8595,woodShapes:plate,5
8646,brickShapes:ramp,60
8655,woodShapes:ramp,24
8774,woodShapes:cubeTrimQuarterRamp,8
8775,brickShapes:cubeTrimQuarterRamp,12
8776,concreteShapes:cubeTrimQuarterRamp,24
8784,concreteShapes:cubeTrimHalfSplitDiagonal,24
8791,woodShapes:cubeTrimQuarterEdge,8
8792,brickShapes:cubeTrimQuarterEdge,8
8805,concreteShapes:cubeTrimQuarterEdgeTwoSided,96
8813,concreteShapes:cubeTrimQuarterCornerInsideTriangle,24
8817,concreteShapes:cubeTrimQuarterCornerOutside,24
8938,ladderWood,3
8944,woodShapes:catwalkV1RailOnly,8
8977,whitePicketFenceSheet,98
8980,woodShapes:railing,6
9049,treeDeadTree01,2
9061,treePlainsTree2,3
9085,treeSmallRandomHelper,1
9087,treeLargeRandomHelper,1
9117,plantedMushroom3Harvest,3
9121,plantedYucca3Harvest,1
9136,plantedGoldenrod3Harvest,7
9146,plantedBlueberry3Harvest,15
9151,plantedPotato3Harvest,10
9156,plantedChrysanthemum3Harvest,39
9173,plantedHop3Harvest,6
9178,plantedSnowberry3Harvest,9
9186,farmPlotBlock,20
9688,cntFancyGarbageCan,4
9788,decoPicnicTable,4
9816,parkBenchA,2
9817,parkBenchB,4
9838,decoMetalSlide,1
9839,decoSwingSet,1
10481,streetLightClassic,3
10697,woodShapes:windowTrimSides,2
10813,decoCarTireFlat,1
32513,terrWaterPOI,1
