id,name,count
2,terrainFiller,3850
17,terrAsphalt,282
383,woodShapes:plate,14
413,woodShapes:plateHalf,1
428,woodShapes:platePoleCorner2,2
2463,woodShapes:barrierGateBase,2
2464,woodShapes:barrierGateBase2,2
2465,woodShapes:barrierGateMiddle,6
7051,concreteShapes:cube,3508
7065,concreteShapes:cubeHalfCornerTopPlate02,1
7066,concreteShapes:cubeHalf,3051
7083,concreteShapes:halfBlockPoleQuarter,3
7085,concreteShapes:halfQuarterPost,20
7089,concreteShapes:cubeQuarter,485
7094,concreteShapes:quarterInsideCorner,8
7103,concreteShapes:cubeEighth,16
7108,concreteShapes:pole,10
7172,concreteShapes:cubeHalfPlateCorner2,17
7175,concreteShapes:plate,9
7205,concreteShapes:plateHalf,2
7220,concreteShapes:platePoleCorner2,88
7222,concreteShapes:poleTwoWayPlate2,3
7239,concreteShapes:billboard,2
7247,concreteShapes:pillar100,4
7283,concreteShapes:halfBlockPillar50,3
7534,concreteShapes:wedge60,17
7535,concreteShapes:wedge60Tip,228
7547,concreteShapes:wedge60Incline,98
7623,concreteShapes:wedge60SplitLeft05,32
7624,concreteShapes:wedge60SplitRight05,30
7625,concreteShapes:wedge60SplitLeft06,33
7626,concreteShapes:wedge60SplitRight06,33
7643,concreteShapes:cubeHalfWedge60BevelLeft,31
7644,concreteShapes:cubeHalfWedge60BevelRight,31
7651,concreteShapes:wedge60TipHalfLeft,33
7652,concreteShapes:wedge60TipHalfRight,30
7799,concreteShapes:rampInclineFillerHalfLeft,2
7823,concreteShapes:plateRamp,20
7830,concreteShapes:plateWedge60Left,1
7831,concreteShapes:plateWedge60Right,1
7912,concreteShapes:slopeHalfPlateLeftFiller,1
7917,concreteShapes:slopeHalfPlateRightFiller,1
7969,concreteShapes:cubeHalfPillar0.025,2
7975,concreteShapes:wedge60TipPillar0.025,1
7985,concreteShapes:stairsFilledQuarterVerticalUV,42
8032,concreteShapes:wedgeStairs,6
8137,concreteShapes:cubeBaseboard,5
8157,concreteShapes:halfBaseboard4Sided,20
8202,concreteShapes:cubeTrimHalfSplit4Sided,4
8203,concreteShapes:cubeTrimHalfSplit,14
8206,concreteShapes:halfTrimSplit,12
8208,concreteShapes:halfTrimSplit2,4
8267,concreteShapes:cubeHalfTrimCenterArrowHalf,3
8273,concreteShapes:cubeTrimQuarterEdge,59
8275,concreteShapes:halfTrimQuarterEdge,25
8286,concreteShapes:cubeTrimQuarterCenter,462
8288,concreteShapes:cubeHalfTrimQuarterCenterOffset,425
8304,concreteShapes:cubeTrimQuarterCornerOutside,1
8336,concreteShapes:cubeTrimQuarterCornerDiagonal,7
8338,concreteShapes:cubeHalfTrimQuarterCornerDiagonalOffset,13
8351,concreteShapes:cubeTrimQuarterDiagonalFiller2,9
8353,concreteShapes:cubeHalfTrimQuarterDiagonalFiller2Offset,36
8357,concreteShapes:cubeTrimQuarterEdgeDiagonalFiller2Left,31
8359,concreteShapes:cubeHalfTrimQuarterEdgeDiagonalFiller2LeftOffset,44
8360,concreteShapes:cubeTrimQuarterEdgeDiagonalFiller2Right,6
8362,concreteShapes:cubeHalfTrimQuarterEdgeDiagonalFiller2RightOffset,24
8363,concreteShapes:cubeTrimQuarterEdgeCornerDiagonalFiller2,7
8365,concreteShapes:cubeHalfTrimQuarterEdgeCornerDiagonalFiller2Offset,8
8383,concreteShapes:cubeTrimQuarterEdgeTwoSided,36
8389,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,3
8398,concreteShapes:cubeTrimQuarterEdgeDouble,3
8399,concreteShapes:cubeHalfTrimQuarterEdgeDouble,3
8403,concreteShapes:cubeTrimCornerRound,2
8480,concreteShapes:cubeTrimHandicap,4
8482,concreteShapes:cubeHalfTrimHandicapOffset,4
8520,concreteShapes:doorTrim0.5m,2
8893,concreteShapes:concreteDestroyed01,6
8894,concreteShapes:concreteDestroyed02,1
8896,concreteShapes:concreteDestroyed04,3
8897,concreteShapes:concreteDestroyed05,6
8898,concreteShapes:concreteDestroyed06,1
8899,concreteShapes:concreteDestroyed07,1
9049,concreteShapes:cubeTileBroken,2
9128,concreteShapes:farmPlot,11
9138,concreteShapes:roadPaintDash,42
9158,concreteShapes:roadPaintArrowStraight,4
9159,concreteShapes:roadPaintArrowLeft,22
9160,concreteShapes:roadPaintArrowRight,3
9161,concreteShapes:roadPaintArrowLeftStraight,8
9367,steelShapes:cubeEighth,1
11279,steelShapes:securityGatePlate,3
13843,corrugatedMetalShapes:cube,17
13900,corrugatedMetalShapes:pole,248
13901,corrugatedMetalShapes:poleCentered,24
13902,corrugatedMetalShapes:poleSideCentered,31
13903,corrugatedMetalShapes:poleHalf,6
13906,corrugatedMetalShapes:poleTwoWayCorner,11
13908,corrugatedMetalShapes:poleSquareSideCenteredCorner,3
13910,corrugatedMetalShapes:poleSquareSideCenteredTee,2
13929,corrugatedMetalShapes:cubePoleCorner,4
13951,corrugatedMetalShapes:polePlate,3
13967,corrugatedMetalShapes:plate,74
13968,corrugatedMetalShapes:plateCentered,6
13981,corrugatedMetalShapes:plateCornerHalfTopOffset,12
13997,corrugatedMetalShapes:plateHalf,174
14000,corrugatedMetalShapes:plateQuarter,4
14012,corrugatedMetalShapes:platePoleCorner2,1
14039,corrugatedMetalShapes:pillar100,2
14052,corrugatedMetalShapes:pillar50,43
14066,corrugatedMetalShapes:pillar50CenterPlate,1
14075,corrugatedMetalShapes:halfBlockPillar50,1
14081,corrugatedMetalShapes:pillar0.025,4
14083,corrugatedMetalShapes:pillar0.025Centered,3
14087,corrugatedMetalShapes:pillar0.025Double,7
14111,corrugatedMetalShapes:pipeStraight,72
14112,corrugatedMetalShapes:pipeStraightOpenEnded,2
14113,corrugatedMetalShapes:pipeJoint,4
14114,corrugatedMetalShapes:pipeFlange,34
14115,corrugatedMetalShapes:pipeFlangeBottom,4
14116,corrugatedMetalShapes:pipeCorner,11
14272,corrugatedMetalShapes:cornerRound,2
14290,corrugatedMetalShapes:ramp,2
14328,corrugatedMetalShapes:wedge60TipHalf,2
14457,corrugatedMetalShapes:wedgeNarrowLow,2
14606,corrugatedMetalShapes:plateDiagonalFiller,3
14622,corrugatedMetalShapes:plateWedge60Left,4
14623,corrugatedMetalShapes:plateWedge60Right,2
14624,corrugatedMetalShapes:plateWedge60LeftTip,5
14625,corrugatedMetalShapes:plateWedge60RightTip,2
14638,corrugatedMetalShapes:plateWedge60Tip,4
14645,corrugatedMetalShapes:plateWedge60Incline,6
14648,corrugatedMetalShapes:plateWedge60Filler,4
14787,corrugatedMetalShapes:stairs,2
14895,corrugatedMetalShapes:catwalkV2RailOnly,26
14909,corrugatedMetalShapes:catwalkV2RailOnlyEndLeft,3
14910,corrugatedMetalShapes:catwalkV2RailOnlyEndRight,5
14913,corrugatedMetalShapes:ladderRails,1
14972,corrugatedMetalShapes:cubeQuarterBaseboardChairRail4Sided,3
14994,corrugatedMetalShapes:cubeTrimHalfSplit4Sided,7
14995,corrugatedMetalShapes:cubeTrimHalfSplit,6
14998,corrugatedMetalShapes:halfTrimSplit,2
15312,corrugatedMetalShapes:doorTrim0.5m,12
15314,corrugatedMetalShapes:doorTrim1m,11
15330,corrugatedMetalShapes:windowTrim,3
15344,corrugatedMetalShapes:windowStoreOneSidedBulletproofFull,1
15346,corrugatedMetalShapes:windowStoreTwoSidedBulletproofFull,1
15405,corrugatedMetalShapes:windowStoreThreeSidedFull,2
15407,corrugatedMetalShapes:windowStoreCornerFull,3
15422,corrugatedMetalShapes:windowStoreCornerBroken,3
15433,corrugatedMetalShapes:windowStoreTwoSidedEmpty,1
15434,corrugatedMetalShapes:windowStoreThreeSidedEmpty,2
15749,corrugatedMetalShapes:shantywall03,4
15765,corrugatedMetalShapes:floorJoist2,1
15805,corrugatedMetalShapes:securityGateCentered,1
15819,corrugatedMetalShapes:tablePole.025Centered,1
15833,corrugatedMetalShapes:plateCounter02,6
15879,corrugatedMetalShapes:ladderRound,6
15920,corrugatedMetalShapes:farmPlot,4
16053,corrugatedMetalShapes:signNumber_1,1
16054,corrugatedMetalShapes:signNumber_2,1
16055,corrugatedMetalShapes:signNumber_3,1
16056,corrugatedMetalShapes:signNumber_4,1
16063,corrugatedMetalShapes:signLetter_b,1
18373,bulletproofShapes:windowStoreTwoSidedBulletproofFull,7
18375,bulletproofShapes:windowStoreThreeSidedBulletproofFull,14
18377,bulletproofShapes:windowStoreFourSidedBulletproofFull,2
18379,bulletproofShapes:windowStoreCornerBulletproofFull,6
18508,cntWallSafe,1
18603,cntAmmoPileSmall,1
18604,cntAmmoPileMedium,1
18615,cntMedicLootPileB,1
18646,cntLootChestHeroInsecureT2,1
18666,cntQuestInfestedT2LootHelper,1
18759,wallMountSinkCommercial,1
18775,cntToilet03,1
18791,cntMedicineCabinetClosedRandomLootHelper,1
18794,wallMirrorRandomHelper,1
18831,cntTrashPile01,1
18837,cntTrashPile07,1
18840,cntTrashPile10,3
