id,name,count
2,terrainFiller,1654
17,terrAsphalt,1070
383,woodShapes:plate,56
450,woodShapes:plateDouble,4
1019,woodShapes:plateDiagonal,2
1022,woodShapes:plateDiagonalFiller,1
1113,woodShapes:slopePlate02,6
1114,woodShapes:slopePlate03,6
1115,woodShapes:slopePlate04,6
1730,woodShapes:doorTrim1m,14
1738,woodShapes:doorTrimTwoSided,4
2053,woodShapes:windowBoarded,4
2259,woodShapes:cubeBookcase,2
2265,woodShapes:bookcaseEmpty,2
2281,woodShapes:storageCubeHalf,2
2340,woodShapes:plateSidewalkBroke01,1
2463,woodShapes:barrierGateBase,2
2465,woodShapes:barrierGateMiddle,8
7051,concreteShapes:cube,564
7108,concreteShapes:pole,46
7166,concreteShapes:poleSquareCornerRound,4
7239,concreteShapes:billboard,12
8273,concreteShapes:cubeTrimQuarterEdge,144
8308,concreteShapes:cubeTrimQuarterCornerInside,2
8403,concreteShapes:cubeTrimCornerRound,2
9138,concreteShapes:roadPaintDash,42
9139,concreteShapes:roadPaintDashCNTR,40
9158,concreteShapes:roadPaintArrowStraight,2
13858,corrugatedMetalShapes:cubeHalf,4
13944,corrugatedMetalShapes:catwalkPlate,18
13967,corrugatedMetalShapes:plate,164
14008,corrugatedMetalShapes:platePoleSideCentered,1
14031,corrugatedMetalShapes:billboard,17
14034,corrugatedMetalShapes:plateDouble,12
14052,corrugatedMetalShapes:pillar50,16
14066,corrugatedMetalShapes:pillar50CenterPlate,2
14085,corrugatedMetalShapes:pillar0.025Middle,4
14090,corrugatedMetalShapes:pillar0.05,34
14096,corrugatedMetalShapes:pillar0.05Double,10
14790,corrugatedMetalShapes:stairsRailingMetal,3
14855,corrugatedMetalShapes:catwalkV2,1
14856,corrugatedMetalShapes:catwalkV2RailSingle,2
14895,corrugatedMetalShapes:catwalkV2RailOnly,20
14899,corrugatedMetalShapes:catwalkV2RailOnlyDouble,20
14900,corrugatedMetalShapes:catwalkV2RailOnlyCorner,4
14905,corrugatedMetalShapes:catwalkV2RailOnlyDoubleEnd,4
14910,corrugatedMetalShapes:catwalkV2RailOnlyEndRight,4
14972,corrugatedMetalShapes:cubeQuarterBaseboardChairRail4Sided,2
15265,corrugatedMetalShapes:plateTrimSplit,28
15310,corrugatedMetalShapes:doorTrimCorner,8
15314,corrugatedMetalShapes:doorTrim1m,72
15318,corrugatedMetalShapes:doorTrim1mDouble,14
15319,corrugatedMetalShapes:doorTrim1mDoubleCentered,16
15323,corrugatedMetalShapes:doorTrimThreeSided,2
15324,corrugatedMetalShapes:doorTrimSquare,2
15520,corrugatedMetalShapes:windowPlateRoundedSquare4SidedBroken,4
15533,corrugatedMetalShapes:windowPlateRoundedSquare3SidedEmpty,2
15751,corrugatedMetalShapes:scaffoldingLadder,12
15753,corrugatedMetalShapes:scaffoldingPlank,20
15754,corrugatedMetalShapes:scaffoldingPlankSupported,8
15756,corrugatedMetalShapes:scaffoldingPlankSupportedCenter,8
15807,corrugatedMetalShapes:securityGatePlate,6
15814,corrugatedMetalShapes:prepTable,4
15815,corrugatedMetalShapes:prepTableDynamic,2
15817,corrugatedMetalShapes:prepTableCornerLeft,1
15818,corrugatedMetalShapes:prepTableCornerRight,1
15912,corrugatedMetalShapes:industrialFenceBottom,276
15913,corrugatedMetalShapes:industrialFenceBottomBrokenLeft,6
15914,corrugatedMetalShapes:industrialFenceBottomBrokenRight,6
15915,corrugatedMetalShapes:industrialFenceTop,144
18604,cntAmmoPileMedium,1
18610,cntChemPileSmall,1
18612,cntChemPileLarge,1
18614,cntMedicLootPileACorner,1
18615,cntMedicLootPileB,1
18625,cntShippingCrateLabEquipment,1
18632,cntShippingCrateConstructionSupplies,1
18646,cntLootChestHeroInsecureT2,1
18666,cntQuestInfestedT2LootHelper,1
18756,utilitySink,3
18797,cntPillCaseRandomLootHelper,1
18828,laundryPileTall,1
18829,laundryPileLong,1
18830,laundryLoose,6
18831,cntTrashPile01,1
18832,cntTrashPile02,1
18837,cntTrashPile07,1
18839,cntTrashPile09,1
18843,garbage_decor1,10
18844,garbage_decor2,4
18845,garbage_decor3,3
18985,cntDuffle01,1
19017,cntBagsRandomLootHelper,1
19021,electricalBox02,2
19029,airConditioner,4
19030,airConditionVentFan,1
19032,satelliteUnitLarge,1
19127,controlPanelTop02Grey,1
19132,controlPanelTop07Grey,1
19145,conduit01,2
19147,conduit01Curve,1
19149,conduit01Corner,1
19160,keyRackBoxMetal01,1
19322,decoComputerMonitorKeyboardMouse,1
19328,decoLaptop,1
19333,decoServerRackWhite,1
19432,lightIndustrialRed,1
19435,lightIndustrialHangingWhite,8
19442,lanternDecorLightRed,1
19472,flashlightDecorRandomHelper,1
19509,deskLampLight02Green,3
19510,deskLampLight02Blue,2
19513,deskLampLight02Black,1
19548,workLightPOI,2
19551,streetLight02,2
19582,burningBarrel,1
19583,lightDisplayXRayFull,2
19584,lightDisplayXRayEmpty,1
19591,tentBiohazardCapLeftYellow,8
19600,tentBiohazardCapCenterYellow,8
19609,tentBiohazardCapRightYellow,8
19627,tentBiohazardWallWindowYellow,8
19636,tentBiohazardWallRollupYellow,1
19654,tentBiohazardWallMedicLogoYellow,3
19663,tentBiohazardWallTubeYellow,4
19672,tentBiohazardWallThinYellow,24
19699,tentBiohazardRoofYellow,16
19708,tentBiohazardRoofThinYellow,24
19744,tentBiohazardRoofCenterSupportYellow,8
19753,tentBiohazardRoofCenterThinYellow,12
19771,tentBiohazardDoorYellow,3
19776,tentBiohazardWire01,23
19970,sandbagEnd00,2
19971,sandbagEnd01,6
19974,sandbagPile02,2
19975,sandbagSingle01,1
19982,chainlinkFenceDoor,3
19984,chainlinkFencePole,5
19985,chainlinkFencePole02,3
19996,chainlinkFenceTopRailBridge,3
20000,chainlinkFenceBottomPlain,23
20001,chainlinkFenceBottomPlainPoleLeft,7
20002,chainlinkFenceBottomPlainPoleRight,7
20004,chainlinkFenceTopPlainRail,46
20005,chainlinkFenceTopPlainPoleLeft,14
20006,chainlinkFenceTopPlainPoleRight,14
20192,cntBarrelGasSingle00,1
20193,cntBarrelGasSingle45,3
20194,cntBarrelGasQuadA,2
20213,cntBarrelPlasticSingle00,2
20214,cntBarrelPlasticSingle45,1
20265,goreBlockHumanCorpse2,1
20346,emberPileDeco3,3
20347,emberPileDeco4,1
20352,emberPileLightPOI1,1
20353,emberPileLightPOI2,1
20355,palletBrownBoxesBase,1
20357,palletBrownBoxesTop,1
20358,palletBrownBoxesTopSmall,1
20359,palletBrownBoxesLoose,1
20362,palletBricksPartial1,1
20365,palletBricksLoose,1
20396,palletTarpBaseBlue,1
20401,palletTarpBaseArmyGreen,1
20419,palletEmpty,1
20421,OSBWoodStack,1
20422,plywoodStack,1
20425,metalPipeStack,1
20426,metalPipeStackLoose,1
20427,bricksStack,1
20431,palletCartonMilitaryTileCovered,1
21020,trailerDoorGreen,1
21207,rollUpDoor3x3Grey,1
21886,cntDeskMetalArmyGreenRandomLootHelper,2
21936,officeChair01Black,1
21967,chairFoldingMetalUnfoldedArmy,2
21991,chairFoldingMetalFoldedFallenArmy,3
22143,cntWaterCoolerFullSideCentered,1
22162,decoWineBottlePile02,1
22286,gurneyBed,1
22287,hospitalBed,12
22300,standIV,6
22301,bodyBagBlack,7
22302,bodyBagYellow,4
22304,bodyBagPileMix,1
22309,bodyBagYellowFlies,1
22407,cntToolBoxOffsetRandomLootHelperRed,1
22494,parkingBlockYellow,2
22496,parkingBlockCrooked2Yellow,3
22497,parkingBlockBrokenYellow,2
22743,cntClothesPileFloor01,1
22776,cntShoesPileRandomLootHelper,1
22829,cntBookPile03AirRandomLootHelper,1
22946,restaurantTableEnd,2
22947,restaurantTableMiddle,1
23026,cntFileCabinetTallBrownRandomLootHelper,1
23171,cntLockersTallMixRandomLootHelper,2
23243,metalRailing,3
23278,decoHandTruck,1
23280,barrierPlasticRed,8
23281,barrierPlasticOrange,2
23292,portaPottyBlue,1
23302,portaPottyDamagedBlue,1
23862,signStaffOnly,3
23913,signCanvasWood2x1,1
24099,barbedWireSheet,58
24155,fakeCabinetDoorTrap1x2SheetMetal,3
24461,cntAmbulanceTruck01,1
24549,semiFlatbedBack,2
24553,semiFlatbedMiddle,2
24556,semiFlatbedFront,2
24801,cntStoreCratesRandomLootHelper,1
24807,questRallyMarker,1
24811,questGeneratorSmall,2
24815,sleeperSit,5
24816,sleeperBack,1
24817,sleeperSideLeft,10
24818,sleeperSideRight,1
24819,sleeperStomach,3
24820,sleeperIdle,3
24829,sleeperVultureAnimal,2
24831,sleeperZombieDogAnimal,2
