id,name,count
2,terrainFiller,665
3,terrainFillerAdaptive,1358
17,terrAsphalt,107
6709,concreteShapes:cube,60
6724,concreteShapes:cubeHalf,17
6731,concreteShapes:cube0.25m,60
6732,concreteShapes:cubeCornerBeveled,8
6749,concreteShapes:quarterCenteredWall,38
6757,concreteShapes:cubeQuarter4WayCentered,4
6766,concreteShapes:pole,16
6812,concreteShapes:polePlateHalf,34
6863,concreteShapes:plateHalf,12
6870,concreteShapes:plateQuarterTriangleCorner,8
7135,concreteShapes:cornerRound,4
7187,concreteShapes:wedge60,8
7188,concreteShapes:wedge60Tip,8
7240,concreteShapes:rampInclinePlateLeft,8
7241,concreteShapes:rampInclinePlateRight,8
7310,concreteShapes:wedgeNarrowLow,8
7311,concreteShapes:wedgeNarrowTip,8
7443,concreteShapes:rampInclineFiller,4
7475,concreteShapes:plateWedge60LeftTip,16
7476,concreteShapes:plateWedge60RightTip,16
7483,concreteShapes:plateWedge60LeftHollow,8
7484,concreteShapes:plateWedge60RightHollow,8
7571,concreteShapes:slopePlateLeft03,12
7572,concreteShapes:slopePlateLeft04,12
7577,concreteShapes:slopePlateRight03,12
7578,concreteShapes:slopePlateRight04,12
7748,concreteShapes:railing,29
7751,concreteShapes:railingBroke01,5
8605,concreteShapes:plateCounter02,34
8702,concreteShapes:roadPaintQuarterCentered,21
17893,cntTrashPile02,1
17901,garbage_decor1,1
17902,garbage_decor2,1
18553,streetLightClassic,4
19024,guardRailStraight,8
19025,guardRailPole,2
19026,guardRailBarrierFlipped,2
19027,guardRailBarrier,2
19203,decoCarTireFlat02,1
21970,bridgeConcreteBlock,259
