id,name,count
2,terrainFiller,7280
5,terrDirt,4
15,terrDestroyedWoodDebris,27
16,terrGravel,1220
17,terrAsphalt,3650
1975,woodShapes:woodDebris01,2
1976,woodShapes:woodDebris02,3
1977,woodShapes:woodDebris03,1
2332,brickShapes:cubeHalf,104
2368,brickShapes:pole,12
2417,brickShapes:polePlate,30
2433,brickShapes:plate,3
2445,brickShapes:plateCorner,3
3393,brickShapes:halfTrimSplit2,19
3951,brickShapes:brickHalfDestroyed02,2
3952,brickShapes:brickHalfDestroyed03,1
3953,brickShapes:brickHalfDestroyed04,3
3954,brickShapes:brickHalfDestroyed05,1
3955,brickShapes:brickHalfDestroyed06,2
3956,brickShapes:brickHalfDestroyed07,2
6433,concreteShapes:cube,569
6465,concreteShapes:cubeQuarter,6
6549,concreteShapes:plate,135
6613,concreteShapes:billboard,32
6853,concreteShapes:plateRound,6
7175,concreteShapes:plateRamp,2
7504,concreteShapes:cubeTrimHalfSplit,34
7574,concreteShapes:cubeTrimQuarterEdge,4
7583,concreteShapes:cubeTrimQuarter2Sided,3
7622,concreteShapes:cubeTrimQuarterCornerInsideTriangle,24
7684,concreteShapes:cubeTrimQuarterEdgeTwoSided,180
7701,concreteShapes:cubeTrimCornerRound,4
7723,concreteShapes:cubeTrimQuarterRamp,24
8111,concreteShapes:cubeQuarterBroken,6
8325,concreteShapes:plateSidewalkCrooked,221
8326,concreteShapes:plateSidewalkBroke01,50
8327,concreteShapes:plateSidewalkBroke02,40
8328,concreteShapes:plateSidewalkBroke03,21
8329,concreteShapes:plateSidewalkBroke04,6
8332,concreteShapes:roadPaintDash,872
8333,concreteShapes:roadPaintDashCNTR,36
8335,concreteShapes:roadPaintDiagonal,2
8336,concreteShapes:roadPaintDashDiagonalFiller,12
10728,awningShapes:billboardHalf,4
10729,awningShapes:billboard,6
12723,corrugatedMetalShapes:plate,27
12735,corrugatedMetalShapes:plateCorner,1
12753,corrugatedMetalShapes:plateHalf,19
12760,corrugatedMetalShapes:plateQuarterTriangleCorner,1
12807,corrugatedMetalShapes:pillar50,8
12821,corrugatedMetalShapes:pillar50CenterPlate,1
12836,corrugatedMetalShapes:pillar0.025,2
12845,corrugatedMetalShapes:pillar0.05,18
13975,corrugatedMetalShapes:doorTrim0.5m,2
13977,corrugatedMetalShapes:doorTrim1m,8
14287,corrugatedMetalShapes:plateDestroyed,2
14289,corrugatedMetalShapes:plateDestroyed03,2
14326,corrugatedMetalShapes:shantywall01,4
14488,corrugatedMetalShapes:industrialFenceBottom,92
14491,corrugatedMetalShapes:industrialFenceTop,46
17146,cntTrashPile01,1
17148,cntTrashPile03,1
17153,cntTrashPile08,1
17155,garbage_decor1,3
17156,garbage_decor2,1
17210,cntFancyGarbageCan,3
17220,cntDumpster,1
17298,cntBagsRandomLootHelper,2
17787,streetLight01,1
17793,streetLightClassic,6
18175,chainlinkFenceDoor,1
18177,chainlinkFencePole,3
18178,chainlinkFencePole02,3
18193,chainlinkFenceBottomPlain,4
18194,chainlinkFenceBottomPlainPoleLeft,4
18195,chainlinkFenceBottomPlainPoleRight,4
18197,chainlinkFenceTopPlainRail,4
18198,chainlinkFenceTopPlainPoleLeft,4
18199,chainlinkFenceTopPlainPoleRight,4
18217,chainlinkFenceDoorPOI,1
18226,guardRailStraight,11
18227,guardRailPole,4
18228,guardRailBarrierFlipped,2
18229,guardRailBarrier,2
18451,cinderBlocks01,3
18453,cinderBlocks03,6
18486,palletBrownBoxesTop,1
18487,palletBrownBoxesTopSmall,1
18489,palletBricksBase,1
18491,palletBricksPartial1,1
18494,palletBricksLoose,1
18524,palletTarpBaseGreen,1
18531,palletTarpBaseRandomHelper,1
18547,palletEmpty,2
18550,plywoodStack,1
18552,dryWallStack,1
18553,metalPipeStack,1
18554,metalPipeStackLoose,1
19765,decoPicnicTable,2
19977,parkBenchA,4
20974,rebarDestroyed,1
21021,rubblePileBricks,1
21023,rubblePileBricksSmall,9
21275,signRoadSpeed25,1
21281,signRoadStop,3
21508,barbedWireSpindle,1
21509,barbedWireSpindle1m,7
21510,barbedWireSpindleDiagonal1m,2
21565,carWrecksRandomHelper,1
21816,cntSemiTruck01ModularFrontRandomHelper,1
21827,cntSemiTruck01ModularRearEndFlatbedStraight,1
21928,semiFlatbedBack,2
21932,semiFlatbedMiddle,3
21935,semiFlatbedFront,1
21970,shippingContainerDoorRightOpenOrange,1
21971,shippingContainerDoorRightRotatedOrange,1
21972,shippingContainerSideOrange,6
21974,shippingContainerSideTextOrange,2
21975,shippingContainerSideHoleOrange,1
21976,shippingContainerCapOrange,1
21978,shippingContainerSide2mOrange,3
21981,treeSnowyDeadBush,2
22017,treeWinterEverGreen,5
22045,treeSnowyGrassDiagonal,2
22131,farmPlotBlock,13
22160,sleeperSit,1
22163,sleeperSideRight,1
