id,name,count
6621,concreteShapes:pillar100,4
12607,corrugatedMetalShapes:cube,33
12807,corrugatedMetalShapes:pillar50,38
14621,corrugatedMetalShapes:signLetter_b,1
14623,corrugatedMetalShapes:signLetter_d,1
14624,corrugatedMetalShapes:signLetter_e,2
14626,corrugatedMetalShapes:signLetter_g,1
14627,corrugatedMetalShapes:signLetter_h,1
14628,corrugatedMetalShapes:signLetter_i,1
14633,corrugatedMetalShapes:signLetter_n,1
14634,corrugatedMetalShapes:signLetter_o,3
14635,corrugatedMetalShapes:signLetter_p,1
14637,corrugatedMetalShapes:signLetter_r,1
14638,corrugatedMetalShapes:signLetter_s,1
14639,corrugatedMetalShapes:signLetter_t,1
14644,corrugatedMetalShapes:signLetter_y,1
21060,metalPipeCorner,2
21061,metalPipeJoint,4
21063,metalPipeFlange,2
