id,name,count
2,terrainFiller,233
16,terrGravel,183
17,terrAsphalt,1883
6433,concreteShapes:cube,20
6549,concreteShapes:plate,181
6584,concreteShapes:plateHalfTriangle,6
6613,concreteShapes:billboard,20
6853,concreteShapes:plateRound,2
7574,concreteShapes:cubeTrimQuarterEdge,43
7605,concreteShapes:cubeTrimQuarterCornerOutside,6
8332,concreteShapes:roadPaintDash,203
8333,concreteShapes:roadPaintDashCNTR,52
8335,concreteShapes:roadPaintDiagonal,4
8336,concreteShapes:roadPaintDashDiagonalFiller,8
8341,concreteShapes:roadPaintArrowLeft,2
17793,streetLightClassic,2
21981,treeSnowyDeadBush,2
21992,treeDeadTree02,1
21993,treePlainsTree2,2
22017,treeWinterEverGreen,1
22018,treeWinterPine13m,1
