id,name,count
2,terrainFiller,333581
16,terrGravel,484
17,terrAsphalt,8473
259,woodShapes:cube,1
274,woodShapes:cubeHalf,8
275,woodShapes:cubeHalfCentered,1
310,woodShapes:pole,20
322,woodShapes:poleSquareCornerBracketLeft,4
324,woodShapes:poleSquareCornerBracketRight,4
368,woodShapes:cubeQuarterCenteredSquareTop,4
375,woodShapes:plate,7
729,woodShapes:wedge60,9
730,woodShapes:wedge60Tip,17
742,woodShapes:wedge60Incline,3
773,woodShapes:wedgeInclineCornerTop,4
837,woodShapes:wedge60TipCornerBase,4
838,woodShapes:wedge60TipCornerTop,8
839,woodShapes:wedgeInsideCornerBase,2
989,woodShapes:plateDiagonal,2
1106,woodShapes:gazeboRoofV101,1
1107,woodShapes:gazeboRoofV102,4
1108,woodShapes:gazeboRoofV103,4
1109,woodShapes:gazeboRoofV104,4
1110,woodShapes:gazeboRoofV105,4
1111,woodShapes:gazeboRoofV106,4
1112,woodShapes:gazeboRoofV107,4
1113,woodShapes:gazeboRoofV108,4
1114,woodShapes:gazeboRoofV109,4
1115,woodShapes:gazeboRoofV110,8
1116,woodShapes:gazeboRoofV111,4
1117,woodShapes:gazeboRoofV1Topper,1
1872,woodShapes:windowBoarded,2
1942,woodShapes:plateDiagonalDestroyed,1
1943,woodShapes:plateDiagonalDestroyed02,1
1972,woodShapes:sidingBurnt05,1
1974,woodShapes:sidingBurnt07,3
1975,woodShapes:woodDebris01,1
2036,woodShapes:securityGateCenteredDiagonal,4
2111,woodShapes:ladderSquare,9
2152,woodShapes:plateSidewalkBroke01,1
2317,brickShapes:cube,668
2332,brickShapes:cubeHalf,34
2333,brickShapes:cubeHalfCentered,576
2368,brickShapes:pole,36
2417,brickShapes:polePlate,80
2433,brickShapes:plate,123
2787,brickShapes:wedge60,12
3035,brickShapes:rampIncline,24
3036,brickShapes:rampInclineFiller,31
3338,brickShapes:cubeBaseboard4Sided,10
3387,brickShapes:cubeTrimHalfSplit4Sided,77
3391,brickShapes:halfTrimSplit,2
3394,brickShapes:quarterTrimSplit,4
3568,brickShapes:cubeTrimQuarterEdgeTwoSided,22
3703,brickShapes:windowTrim,30
3704,brickShapes:windowTrimBottom,10
3887,brickShapes:arch3mWindowCorner,2
3888,brickShapes:arch3mCenterWindow,1
3889,brickShapes:arch3mWindowTip,2
3890,brickShapes:arch3mWindowCornerSide,28
3891,brickShapes:arch3mWindowCenterSide,14
3892,brickShapes:arch3mWindowTipSideLeft,14
3898,brickShapes:arch3mWindowCornerTwoSided,6
3899,brickShapes:arch3mWindowCenterTwoSided,3
3901,brickShapes:arch3mWindowTipTwoSidedRight,14
3909,brickShapes:windowArchTopFilledCenteredStained,4
3940,brickShapes:cornerstone,45
3941,brickShapes:brickDestroyed01,8
3942,brickShapes:brickDestroyed02,8
3943,brickShapes:brickDestroyed03,3
3944,brickShapes:brickDestroyed04,1
3945,brickShapes:brickDestroyed05,1
3946,brickShapes:brickHalfCenteredDestroyed01,40
3947,brickShapes:brickHalfCenteredDestroyed02,39
3948,brickShapes:brickHalfCenteredDestroyed03,32
3949,brickShapes:brickHalfCenteredDestroyed04,27
3950,brickShapes:brickHalfDestroyed01,4
3951,brickShapes:brickHalfDestroyed02,2
3952,brickShapes:brickHalfDestroyed03,2
3953,brickShapes:brickHalfDestroyed04,2
3956,brickShapes:brickHalfDestroyed07,2
3957,brickShapes:brickHalfDestroyed08,1
4259,brickShapes:arch3mWindowCornerSideHalfClock1,4
4260,brickShapes:arch3mWindowCenterSideHalfClock1,4
4261,brickShapes:arch3mWindowCornerSideHalfClock2,4
4262,brickShapes:arch3mWindowCenterSideHalfClock2,4
4263,brickShapes:arch3mWindowCenterMiddleHalfClock,4
