id,name,count
2,terrainFiller,105
3,terrainFillerAdaptive,11467
16,terrGravel,144
17,terrAsphalt,210
29,terrStoneHelper,6732
6433,concreteShapes:cube,4037
6448,concreteShapes:cubeHalf,1138
6451,concreteShapes:cubeCornerBeveled,6
6465,concreteShapes:cubeQuarter,26
6483,concreteShapes:cubeHalfPoleCentered,6
6484,concreteShapes:pole,8
6533,concreteShapes:polePlate,8
6545,concreteShapes:cubeHalfPlateCorner,10
6611,concreteShapes:billboardQuarterTrim,42
6728,concreteShapes:cube5mArch02,136
6729,concreteShapes:cube5mArch03,133
6730,concreteShapes:cube5mArch04,139
6731,concreteShapes:cube5mArch05,259
6902,concreteShapes:wedge60,52
6903,concreteShapes:wedge60Tip,52
7327,concreteShapes:stairsFilledRailingMetalRight,1
7573,concreteShapes:cubeTrimQuarterEdge,154
7586,concreteShapes:cubeTrimQuarterCenter,148
7589,concreteShapes:cubeTrimQuarterCenteredFloorTransition,14
8076,concreteShapes:cubeTrimDestroyed03,2
8097,concreteShapes:concreteDestroyed05,1
8329,concreteShapes:plateSidewalkBroke04,27
8384,concreteShapes:cubeDrainStriaght,17
12815,corrugatedMetalShapes:logsHalf,9
12833,corrugatedMetalShapes:pillar0.0125Centered,2
12853,corrugatedMetalShapes:pillar0.25Triple,14
12864,corrugatedMetalShapes:pipeStraight,8
12867,corrugatedMetalShapes:pipeFlange,10
13076,corrugatedMetalShapes:wedge60,2
13587,corrugatedMetalShapes:catwalkV2RailOnly,1
13594,corrugatedMetalShapes:catwalkV2RailOnlyBentLeft,1
13595,corrugatedMetalShapes:catwalkV2RailOnlyBentRight,1
13603,corrugatedMetalShapes:catwalkV2RailOnlySingleDoubleEnd,4
14367,corrugatedMetalShapes:trussing,107
14368,corrugatedMetalShapes:trussingBent,13
14448,corrugatedMetalShapes:verticalBlindsTopRailOnly,3
14496,corrugatedMetalShapes:farmPlot,8
16919,cntChemPileSmall,1
16926,cntFoodPileSmallCorner,1
16941,cntShippingCrateConstructionSupplies,1
17074,utilitySink,1
17117,cntPillCaseRandomLootHelper,1
17151,laundryPileTall,1
17153,laundryLoose,5
17157,cntTrashPile04,1
17163,garbage_decor1,2
17164,garbage_decor2,4
17165,garbage_decor3,4
17167,glassBroken_01,2
17170,glassBrokenCapLeft,4
17171,glassBrokenCapRight,4
17307,cntLuggagePileBRandomLootHelper,1
17308,cntBagsRandomLootHelper,2
17321,airConditioner,1
17322,airConditionVentFan,4
17389,controlPanelTop04Blue,2
17392,controlPanelTop07Blue,1
17426,breakerBoxClosed,1
17430,breakerBoxWallOpen,1
17432,commercialDistributionBox,2
17433,commercialSingleMeterDisconnect,1
17434,commercialSingleMeter,1
17435,commercialDualMeter,1
17438,conduit01,17
17440,conduit01Curve,3
17443,conduitSingleCentered,1
17447,conduitSingleOffset,1
17480,cntCollapsedGeneratorbank,2
17606,decoComputerMonitor,1
17607,decoLaptop,1
17614,decoServerRackBlue,1
17658,lightCeilingBulbMount_2x2White,1
17661,lightCeilingBulbSocketBlack,2
17677,lightCeiling07,13
17678,lightCeiling07_2x2,1
17679,fluorescentLight,1
17696,industrialLight01,5
17706,lightIndustrialHangingBlack,2
17719,lanternDecorLightRandomHelper,1
17777,deskLampLight02Blue,1
17818,workLightPOI,2
17856,lightDisplayXRayEmpty,1
17863,tentBiohazardCapLeftYellow,3
17872,tentBiohazardCapCenterYellow,2
17881,tentBiohazardCapRightYellow,3
17890,tentBiohazardWallYellow,1
17899,tentBiohazardWallWindowYellow,1
17908,tentBiohazardWallRollupYellow,1
17926,tentBiohazardWallMedicLogoYellow,1
17935,tentBiohazardWallTubeYellow,1
17944,tentBiohazardWallThinYellow,6
17971,tentBiohazardRoofYellow,5
17980,tentBiohazardRoofThinYellow,6
18016,tentBiohazardRoofCenterSupportYellow,2
18025,tentBiohazardRoofCenterThinYellow,3
18048,tentBiohazardWire01,6
18211,chainlinkFenceDoorDouble,1
18215,chainlinkFenceBottomRail,5
18224,chainlinkFenceTopRailBridge,2
18261,guardRailStraight,8
18262,guardRailPole,2
18263,guardRailBarrierFlipped,2
18264,guardRailBarrier,2
18338,posterCalendarWorkingStiff,1
18384,cntBarrelGasSingle00,2
18385,cntBarrelGasSingle45,2
18405,cntBarrelPlasticSingle00,1
18416,decoCarFrontBumperFlipped,1
18434,decoCarTireSmallFlat,1
18455,goreBlockHumanCorpse,1
18457,goreBlockHumanCorpse2,1
18460,goreBlockHumanBones,1
18461,goreHumanSkull,2
18490,cinderBlocks01,3
18491,cinderBlocks02,1
18492,cinderBlocks03,8
18511,cobweb,3
18512,hangingMoss,1
18527,palletBrownBoxesTop,2
18528,palletBrownBoxesTopSmall,1
18529,palletBrownBoxesLoose,1
18530,palletBricksBase,1
18534,palletBricksPartial2,1
18535,palletBricksLoose,1
18568,palletTarpBaseBlue,1
18587,palletTarpTileRandomHelper,1
18860,ironDoorBrown,3
19550,curtainDrapesFullTileBlack,4
19561,curtainDrapesFullBottomBlack,2
19948,chairFoldingMetalUnfoldedBlue,4
20165,gurneyBed,3
20178,screenCurtainDividerBlue,2
20179,standIV,1
20183,bodyBagPileMix,1
20187,bodyBagBlackFlies,1
20299,cntToolBoxOffsetRandomLootHelperRed,1
20317,cntRollingToolBoxRandomLootHelperRed,1
20612,cntClothesPileFloor01,3
20799,restaurantTableEnd,6
20800,restaurantTableMiddle,2
21014,coneConstruction,8
21023,barrierPlasticOrange,2
21148,concreteHalfDestroyed05Left,10
21149,concreteHalfDestroyed05Right,10
21150,concreteHalfDestroyed06,6
21151,concreteHalfDestroyed07Left,5
21152,concreteHalfDestroyed07Right,5
21153,concreteHalfDestroyed08,2
21154,concreteHalfDestroyed09,13
21160,concreteHalfDestroyedFiller01,6
21167,rubblePileCement,7
21168,rubblePileConcreteSmall,48
21169,rubbleRampBottom,3
21170,rubbleRampTop,3
21215,pipeSmallWall1x1,2
21216,pipeSmallWall1x3,4
21753,burntSedan01,2
21766,abandonedSUV01DoorsWhite,1
21776,abandonedPickupTruck01RandomHelper,1
21855,cntFrontCrumpledSedan01RandomHelper,2
21867,cntMinivan01RandomHelper,1
21914,cntPickupTruck01White,1
21945,cntSemiTruck01ModularFrontRandomHelper,1
21956,cntSemiTruck01ModularRearEndFlatbedStraight,1
21995,cntAmbulanceTruck01,1
21997,cntServiceTruckWorkingStiffTools,1
22024,backhoeOrange,2
22058,semiFlatbedBack,1
22098,shippingContainerDoorLeftOpenOrange,1
22099,shippingContainerDoorLeftRotatedOrange,1
22104,shippingContainerSideTextOrange,2
22105,shippingContainerSideHoleOrange,1
22106,shippingContainerCapOrange,1
22108,shippingContainerSide2mOrange,3
22274,cntStoreCratesRandomLootHelper,1
22277,cntWorkbenchBustedRandomLootHelper,1
22288,sleeperSit,5
22289,sleeperBack,1
22290,sleeperSideLeft,2
22291,sleeperSideRight,8
22292,sleeperStomach,2
22293,sleeperIdle,5
