id,name,count
2,terrainFiller,20995
16,terrGravel,274
17,terrAsphalt,3315
18,terrConcrete,180
259,woodShapes:cube,92
274,woodShapes:cubeHalf,127
297,woodShapes:cubeQuarter,22
368,woodShapes:polePlateCentered,6
378,woodShapes:cubeQuarterCornerInsideTrim,4
382,woodShapes:cubeHalfPlateCorner2Trim2,6
383,woodShapes:plate,89
395,woodShapes:plateCorner,6
403,woodShapes:plateCornerTwoWall,1
413,woodShapes:plateHalf,31
416,woodShapes:plateQuarter,1
418,woodShapes:plateHalfTriangle,1
419,woodShapes:plateQuarterTriangle,4
420,woodShapes:plateQuarterTriangleCorner,5
444,woodShapes:billboardQuarter,4
468,woodShapes:pillar50,27
690,woodShapes:plateRound,8
706,woodShapes:ramp,4
795,woodShapes:rampInclinePlateLeft,6
1005,woodShapes:rampIncline,10
1006,woodShapes:rampInclineFiller,8
1033,woodShapes:plateRampHalfLeft,3
1034,woodShapes:plateRampHalfRight,2
1101,woodShapes:slopeHalfPlate3mLeft02,1
1102,woodShapes:slopeHalfPlate3mLeft03,1
1103,woodShapes:slopeHalfPlate3mLeft04,1
1114,woodShapes:slopePlate03,10
1115,woodShapes:slopePlate04,8
1265,woodShapes:catwalkV1WedgeRailing,7
1402,woodShapes:counterBottomFiller,2
1403,woodShapes:counterRound1m,3
1410,woodShapes:cubeTrimHalfSplit4Sided,7
1411,woodShapes:cubeTrimHalfSplit,28
1681,woodShapes:plateTrimSplit,21
1682,woodShapes:plateTrimSplitInside,6
1726,woodShapes:doorTrimCorner,4
1728,woodShapes:doorTrim0.5m,6
1730,woodShapes:doorTrim1m,80
1734,woodShapes:doorTrim1mDouble,9
1739,woodShapes:doorTrimThreeSided,1
1744,woodShapes:doorTrimHalfSquare,2
1746,woodShapes:windowTrim,8
2053,woodShapes:windowBoarded,15
2059,woodShapes:windowPanel,8
2121,woodShapes:plateDestroyed,2
2122,woodShapes:plateDestroyed02,3
2123,woodShapes:plateDestroyed03,3
2147,woodShapes:slopePlateDestroyedLeft06,1
2148,woodShapes:slopePlateDestroyedRight06,2
2149,woodShapes:slopePlateDestroyedLeft07,4
2150,woodShapes:slopePlateDestroyedRight07,4
2160,woodShapes:woodDebris01,2
2164,woodShapes:shantywall02,1
2166,woodShapes:shantywall04,1
2238,woodShapes:cabinetAjar,16
2240,woodShapes:cupboardAjar,21
2248,woodShapes:plateCounter,6
2249,woodShapes:plateCounter02,5
2250,woodShapes:plateCounter03,5
2252,woodShapes:plateCounterHole,9
2260,woodShapes:cubeCornerBeveledBookcaseEmpty,1
2265,woodShapes:bookcaseEmpty,10
2268,woodShapes:bookcaseHalfEmpty,4
2270,woodShapes:bookcaseQuarterEmpty,1
2272,woodShapes:bookcaseQuarterDoubleEmpty,5
2274,woodShapes:bookcaseOpenEnded,5
2281,woodShapes:storageCubeHalf,7
2293,woodShapes:mirror,3
2312,woodShapes:fence,90
2315,woodShapes:fenceBroken1,3
2316,woodShapes:fenceBroken2,2
2340,woodShapes:plateSidewalkBroke01,2
2538,brickShapes:cubeHalf,18
2561,brickShapes:cubeQuarter,4
7051,concreteShapes:cube,12614
7054,concreteShapes:cubeThreeQuarter,1
7060,concreteShapes:cubeHalfCorner,5
7061,concreteShapes:cubeHalfCorner2,16
7066,concreteShapes:cubeHalf,1386
7067,concreteShapes:cubeHalfCentered,14
7073,concreteShapes:cube0.25m,1
7074,concreteShapes:cubeCornerBeveled,8
7089,concreteShapes:cubeQuarter,6
7108,concreteShapes:pole,93
7114,concreteShapes:poleTwoWayCorner,2
7137,concreteShapes:cubePoleCorner,16
7159,concreteShapes:polePlate,41
7172,concreteShapes:cubeHalfPlateCorner2,28
7175,concreteShapes:plate,4
7205,concreteShapes:plateHalf,9
7208,concreteShapes:plateQuarter,2
7238,concreteShapes:billboardHalf,1
7239,concreteShapes:billboard,2
7247,concreteShapes:pillar100,12
7498,concreteShapes:ramp,423
7663,concreteShapes:wedgeNarrowHigh,1
7664,concreteShapes:wedgeNarrowMid,1
7665,concreteShapes:wedgeNarrowLow,1
7666,concreteShapes:wedgeNarrowTip,1
7761,concreteShapes:gableInvertedHalf,52
7795,concreteShapes:halfRampStairs50,4
7796,concreteShapes:halfRampStairs50Filler,2
7798,concreteShapes:rampInclineFiller,8
7811,concreteShapes:plateDiagonal,9
7814,concreteShapes:plateDiagonalFiller,6
7823,concreteShapes:plateRamp,14
7825,concreteShapes:plateRampHalfLeft,1
7829,concreteShapes:plateRampCornerOutside,12
7985,concreteShapes:stairsFilledQuarterVerticalUV,10
7986,concreteShapes:stairsFilledVerticalUV,21
7991,concreteShapes:stairsWinder,2
7992,concreteShapes:stairsWinderTip,2
8007,concreteShapes:stairsHollow,4
8013,concreteShapes:stairsHollowRailingMetalRight2,4
8088,concreteShapes:wedgeNarrowHighLeftTrim2SidedRailEnd,2
8089,concreteShapes:wedgeNarrowMidLeftTrim2SidedRail,2
