id,name,count
2,terrainFiller,37367
5,terrDirt,9
11,terrSandStone,375
16,terrGravel,8403
17,terrAsphalt,816
19,terrOreIron,155
22,terrOrePotassiumNitrate,21
29,terrStoneHelper,158998
316,woodShapes:pole,22
386,woodShapes:plateCladding01,1
395,woodShapes:plateCorner,4
413,woodShapes:plateHalf,4
420,woodShapes:plateQuarterTriangleCorner,4
467,woodShapes:pillar50,1
492,woodShapes:pillar100Plate,2
794,woodShapes:rampInclinePlateLeft,4
1393,woodShapes:counterBottomFiller,1
1798,woodShapes:windowStoreOneSidedFull,13
1799,woodShapes:windowStoreTwoSidedFull,4
1803,woodShapes:windowStorePaneFull,4
1827,woodShapes:windowStoreOneSidedEmpty,6
2038,woodShapes:windowPanel,23
2226,woodShapes:plateCounter03,2
2241,woodShapes:bookcaseEmpty,1
2438,woodShapes:slatWallDeco01,8
2441,woodShapes:barrierGateMiddle,3
6979,concreteShapes:cube,5015
6989,concreteShapes:cubeHalfCorner2,2
6994,concreteShapes:cubeHalf,647
6995,concreteShapes:cubeHalfCentered,120
6996,concreteShapes:cubeHalfPoleSquare,128
7002,concreteShapes:cubeCornerBeveled,39
7010,concreteShapes:cubeHalfCornerBeveled,7
7017,concreteShapes:cubeQuarter,62
7031,concreteShapes:cubeEighth,3
7033,concreteShapes:cubeHalfPoleCorner,2
7034,concreteShapes:cubeHalfPoleSideCentered,2
7035,concreteShapes:cubeHalfPoleCentered,2
7036,concreteShapes:pole,58
7061,concreteShapes:poleSquareDouble,3
7063,concreteShapes:poleSquareDoubleTop,2
7065,concreteShapes:cubePoleCorner,6
7087,concreteShapes:polePlate,357
7090,concreteShapes:polePlateCorner,12
7100,concreteShapes:cubeHalfPlateCorner2,74
7103,concreteShapes:plate,5
7177,concreteShapes:pillar100Open,6
7187,concreteShapes:pillar50,14
7201,concreteShapes:pillar50CenterPlate,8
7253,concreteShapes:pipeThin,2
7418,concreteShapes:cubeQuarterRoundOutside,2
7425,concreteShapes:ramp,109
7461,concreteShapes:wedge60,4
7462,concreteShapes:wedge60Tip,8
7474,concreteShapes:wedge60Incline,4
7584,concreteShapes:wedgeNarrowHigh,4
7585,concreteShapes:wedgeNarrowMid,4
7586,concreteShapes:wedgeNarrowLow,4
7645,concreteShapes:wedgeTipHalf,14
7716,concreteShapes:halfRampStairs50,1
7719,concreteShapes:rampInclineFiller,10
7720,concreteShapes:rampInclineFillerHalfLeft,8
7744,concreteShapes:plateRamp,8
7871,concreteShapes:ramp6m01,22
7872,concreteShapes:ramp6m02,17
7873,concreteShapes:ramp6m03,17
7874,concreteShapes:ramp6m04,14
7875,concreteShapes:ramp6m05,4
7876,concreteShapes:ramp6m06,6
7877,concreteShapes:ramp8m01,4
7878,concreteShapes:ramp8m02,4
7951,concreteShapes:wedgeStairs,24
7992,concreteShapes:catwalkV2WedgeRampFiller,7
8056,concreteShapes:cubeBaseboard,92
8060,concreteShapes:cubeBaseboard2Sided,11
8072,concreteShapes:halfBaseboardOffset,2
8073,concreteShapes:cubeHalfBaseboard2SidedLeft,1
8074,concreteShapes:cubeHalfBaseboard2SidedRight,1
8076,concreteShapes:halfBaseboard4Sided,9
8122,concreteShapes:cubeTrimHalfSplit,4
8127,concreteShapes:halfTrimSplit2,95
8133,concreteShapes:cubeHalfCornerTrimHalfCorner,1
8136,concreteShapes:cubeHalfCornerTrimHalfEdge,3
8140,concreteShapes:cubeHalfTrimCornerQuarter2,11
8192,concreteShapes:cubeTrimQuarterEdge,33
8194,concreteShapes:halfTrimQuarterEdge,1
8205,concreteShapes:cubeTrimQuarterCenter,4
8220,concreteShapes:cubeTrimQuarterSquare,1
8227,concreteShapes:cubeTrimQuarterCornerInside,6
8240,concreteShapes:cubeTrimQuarterCornerInsideTriangle,8
8294,concreteShapes:cubeTrimHalfSplitDiagonalBottomTrim,7
8302,concreteShapes:cubeTrimQuarterEdgeTwoSided,16
8317,concreteShapes:cubeTrimQuarterEdgeDouble,5
8342,concreteShapes:rampTrimQuarterEdge2Sided,7
8356,concreteShapes:wedgeNarrowHighLeftTrim2Sided,1
8357,concreteShapes:wedgeNarrowMidLeftTrim2Sided,1
8358,concreteShapes:wedgeNarrowLowLeftTrim2Sided,1
8359,concreteShapes:wedgeNarrowTipLeftTrim2Sided,1
8362,concreteShapes:wedgeNarrowHighRightTrim2Sided,1
8363,concreteShapes:wedgeNarrowMidRightTrim2Sided,1
8364,concreteShapes:wedgeNarrowLowRightTrim2Sided,1
8365,concreteShapes:wedgeNarrowTipRightTrim2Sided,1
8381,concreteShapes:plateTrimSplitInside,8
8384,concreteShapes:plateQuarterCornerTrimRightInside,4
8733,concreteShapes:windowTopRound,4
8804,concreteShapes:concreteDestroyed05,4
8805,concreteShapes:concreteDestroyed06,4
8806,concreteShapes:concreteDestroyed07,4
8959,concreteShapes:cubeHalfBookshelfDouble,2
8960,concreteShapes:cubeHalfBookshelfTriple,4
9106,concreteShapes:cubeDrainStraight,19
9107,concreteShapes:cubeDrainStraightEnd,27
9108,concreteShapes:cubeDrainStraightHalf,8
9109,concreteShapes:cubeDrainEndCap,11
9165,concreteShapes:signNumber_1,1
9166,concreteShapes:signNumber_2,1
9180,concreteShapes:signLetter_g,2
13699,corrugatedMetalShapes:cube,1020
13702,corrugatedMetalShapes:cubeThreeQuarter,1
13714,corrugatedMetalShapes:cubeHalf,248
13715,corrugatedMetalShapes:cubeHalfCentered,6
13716,corrugatedMetalShapes:cubeHalfPoleSquare,6
13717,corrugatedMetalShapes:cubeHalfPoleSquareCorner,2
13720,corrugatedMetalShapes:cubeHalfPoleSquareCorner3Way,14
13721,corrugatedMetalShapes:cube0.25m,60
13722,corrugatedMetalShapes:cubeCornerBeveled,5
13723,corrugatedMetalShapes:cubeCornerBeveledOutsideCorner,4
13730,corrugatedMetalShapes:cubeHalfCornerBeveled,4
13735,corrugatedMetalShapes:cubeQuarterPlateCorner,26
13736,corrugatedMetalShapes:cubeQuarterPlateCorner2,4
13737,corrugatedMetalShapes:cubeQuarter,79
13738,corrugatedMetalShapes:cubeQuarterCenter,12
13739,corrugatedMetalShapes:quarterCenteredWall,87
13742,corrugatedMetalShapes:quarterInsideCorner,5
13744,corrugatedMetalShapes:cubeTee,3
13751,corrugatedMetalShapes:cubeEighth,8
13754,corrugatedMetalShapes:cubeHalfPoleSideCentered,2
13756,corrugatedMetalShapes:pole,606
13757,corrugatedMetalShapes:poleCentered,30
13758,corrugatedMetalShapes:poleSideCentered,332
13761,corrugatedMetalShapes:poleHalfSideCentered,4
13762,corrugatedMetalShapes:poleTwoWayCorner,21
13763,corrugatedMetalShapes:poleThreeWayCorner,2
13766,corrugatedMetalShapes:poleSquareSideCenteredTee,37
13767,corrugatedMetalShapes:poleSquareSideCenteredTeeFourWay,6
13770,corrugatedMetalShapes:poleSquareCornerBracketLeft,10
13772,corrugatedMetalShapes:poleSquareCornerBracketRight,10
13773,corrugatedMetalShapes:poleSquareBracketCorner,4
13776,corrugatedMetalShapes:poleSquareBracketLeft,8
13777,corrugatedMetalShapes:poleSquareBracketRight,8
13780,corrugatedMetalShapes:poleSquareSideCenteredBracketDouble,1
13781,corrugatedMetalShapes:poleSquareDouble,57
13783,corrugatedMetalShapes:poleSquareDoubleTop,18
13785,corrugatedMetalShapes:cubePoleCorner,41
13798,corrugatedMetalShapes:poleSquareDiagonal,3
13800,corrugatedMetalShapes:catwalkPlate,2
13802,corrugatedMetalShapes:polePlateHalf,35
13804,corrugatedMetalShapes:polePlateHalfOffCentered,4
13806,corrugatedMetalShapes:polePlateCornerBeveled,4
13807,corrugatedMetalShapes:polePlate,33
13809,corrugatedMetalShapes:polePlateOffCentered,5
13810,corrugatedMetalShapes:polePlateCorner,4
13811,corrugatedMetalShapes:polePlateHalfCorner,8
13819,corrugatedMetalShapes:cubeHalfPlateCorner,2
13820,corrugatedMetalShapes:cubeHalfPlateCorner2,15
13823,corrugatedMetalShapes:plate,1339
13825,corrugatedMetalShapes:plateOffCentered,4
13826,corrugatedMetalShapes:plateCladding01,14
13828,corrugatedMetalShapes:plateCladding03,3
13830,corrugatedMetalShapes:plateCladding05,45
13834,corrugatedMetalShapes:plateHole,1
13835,corrugatedMetalShapes:plateCorner,55
13836,corrugatedMetalShapes:plateCornerHalfTop,7
13837,corrugatedMetalShapes:plateCornerHalfTopOffset,12
13841,corrugatedMetalShapes:plateCornerHalfTopHalf,8
13844,corrugatedMetalShapes:plateCornerTwoWallHalf,1
13851,corrugatedMetalShapes:plateArched,6
13853,corrugatedMetalShapes:plateHalf,141
13855,corrugatedMetalShapes:plateHalfOffCentered,4
13856,corrugatedMetalShapes:plateQuarter,12
13857,corrugatedMetalShapes:plateCornerBeveled,81
13858,corrugatedMetalShapes:plateHalfTriangle,89
13860,corrugatedMetalShapes:plateQuarterTriangleCorner,80
13863,corrugatedMetalShapes:platePole,8
13864,corrugatedMetalShapes:platePoleSideCentered,4
13865,corrugatedMetalShapes:platePoleCentered,5
13866,corrugatedMetalShapes:platePoleCornerFiller,10
13867,corrugatedMetalShapes:platePoleCorner,97
13868,corrugatedMetalShapes:platePoleCorner2,127
13869,corrugatedMetalShapes:poleTwoWayPlate,4
13870,corrugatedMetalShapes:poleTwoWayPlate2,8
13875,corrugatedMetalShapes:platePoleCornerCorner,9
13886,corrugatedMetalShapes:billboardHalf,2
13895,corrugatedMetalShapes:pillar100,21
13896,corrugatedMetalShapes:halfPillar100,1
13899,corrugatedMetalShapes:halfPillar1m,2
13903,corrugatedMetalShapes:plateQuarterRoundCorner,10
13906,corrugatedMetalShapes:pillar100Cap,7
13907,corrugatedMetalShapes:pillar50,81
13908,corrugatedMetalShapes:halfPillar50,1
13909,corrugatedMetalShapes:pillar50Corner,112
13911,corrugatedMetalShapes:halfLengthPillar50,1
13913,corrugatedMetalShapes:logsWall01,82
13915,corrugatedMetalShapes:logsHalf,8
13920,corrugatedMetalShapes:logsQuarter,4
13921,corrugatedMetalShapes:pillar50CenterPlate,4
13922,corrugatedMetalShapes:pillar50CenterPlate2,4
13923,corrugatedMetalShapes:pillar50CornerPlate,2
13924,corrugatedMetalShapes:pillar50CenteredSquareTop,2
13929,corrugatedMetalShapes:cubeHalfBottomPole1mTop,7
13930,corrugatedMetalShapes:halfBlockPillar50,3
13931,corrugatedMetalShapes:pillar50Plate,6
13932,corrugatedMetalShapes:pillar100Plate,2
13933,corrugatedMetalShapes:pillar0.0125,20
13934,corrugatedMetalShapes:pillar0.0125Centered,11
13935,corrugatedMetalShapes:pillar0.0125SideCentered,26
13936,corrugatedMetalShapes:pillar0.025,49
13938,corrugatedMetalShapes:pillar0.025Centered,18
13940,corrugatedMetalShapes:pillar0.025Middle,50
13941,corrugatedMetalShapes:pillar0.025MiddleHalf,4
13942,corrugatedMetalShapes:pillar0.025Double,10
13945,corrugatedMetalShapes:pillar0.05,28
13948,corrugatedMetalShapes:pillar0.05CenteredHalf,2
13949,corrugatedMetalShapes:pillar0.05Middle,47
13950,corrugatedMetalShapes:pillar0.05MiddleHalf,8
13952,corrugatedMetalShapes:pillar0.05InsideCorner,1
13953,corrugatedMetalShapes:pillar0.05OutsideCorner,2
13954,corrugatedMetalShapes:pillar0.25Triple,113
13960,corrugatedMetalShapes:poleSupportCenter,10
13966,corrugatedMetalShapes:pipeStraight,55
13967,corrugatedMetalShapes:pipeStraightOpenEnded,1
13968,corrugatedMetalShapes:pipeJoint,3
13969,corrugatedMetalShapes:pipeFlange,20
13970,corrugatedMetalShapes:pipeFlangeBottom,9
13971,corrugatedMetalShapes:pipeCorner,17
13973,corrugatedMetalShapes:pipeThin,91
13974,corrugatedMetalShapes:pipeThinCornerDown,17
13975,corrugatedMetalShapes:pipeThinCornerUp,3
13980,corrugatedMetalShapes:pillar25,4
13981,corrugatedMetalShapes:pillar25x25x25Tee,2
13982,corrugatedMetalShapes:pillar50x25x50Tee,11
13985,corrugatedMetalShapes:3mTubeCenter,24
13986,corrugatedMetalShapes:3mTubeCorner,24
13998,corrugatedMetalShapes:cube3mCenter,24
