id,name,count
2,terrainFiller,2822
16,terrGravel,376
17,terrAsphalt,6
18,terrConcrete,2
259,woodShapes:cube,575
262,woodShapes:cubeThreeQuarter,2
274,woodShapes:cubeHalf,66
297,woodShapes:cubeQuarter,3
316,woodShapes:pole,34
323,woodShapes:poleThreeWayCorner,4
362,woodShapes:polePlateHalf,3
383,woodShapes:plate,25
386,woodShapes:plateCladding01,1
395,woodShapes:plateCorner,3
413,woodShapes:plateHalf,7
416,woodShapes:plateQuarter,2
1006,woodShapes:rampInclineFiller,4
1031,woodShapes:plateRamp,6
1134,woodShapes:slopePlateLeft02,1
1136,woodShapes:slopePlateLeft03,1
1137,woodShapes:slopePlateLeft04,1
1140,woodShapes:slopePlateRight02,1
1142,woodShapes:slopePlateRight03,1
1143,woodShapes:slopePlateRight04,1
1194,woodShapes:stairsFilledVerticalUV,4
1215,woodShapes:stairsHollow,6
1332,woodShapes:railing,5
1373,woodShapes:cubeBaseboardChairRail4Sided,2
1385,woodShapes:halfChairRail4Sided,2
1411,woodShapes:cubeTrimHalfSplit,1
1481,woodShapes:cubeTrimQuarterEdge,25
1483,woodShapes:halfTrimQuarterEdge,4
1574,woodShapes:cubeTrimHalfSplitDiagonal,6
1591,woodShapes:cubeTrimQuarterEdgeTwoSided,43
1603,woodShapes:cubeTrimQuarterCornerOutsideThreeSided,4
1673,woodShapes:cubeHeatVent,3
1726,woodShapes:doorTrimCorner,6
1730,woodShapes:doorTrim1m,44
1734,woodShapes:doorTrim1mDouble,1
1737,woodShapes:doorTrimTop,4
1738,woodShapes:doorTrimTwoSided,8
1746,woodShapes:windowTrim,29
1747,woodShapes:windowTrimBottom,9
1748,woodShapes:windowTrimSides,2
1819,woodShapes:windowStoreOneSidedFull,7
1820,woodShapes:windowStoreTwoSidedFull,6
1821,woodShapes:windowStoreThreeSidedFull,11
1822,woodShapes:windowStoreFourSidedFull,1
1823,woodShapes:windowStoreCornerFull,6
1834,woodShapes:windowStoreOneSidedBroken,1
1835,woodShapes:windowStoreTwoSidedBroken,3
1836,woodShapes:windowStoreThreeSidedBroken,1
1848,woodShapes:windowStoreOneSidedEmpty,20
1852,woodShapes:windowStoreCornerEmpty,2
2053,woodShapes:windowBoarded,3
2059,woodShapes:windowPanel,10
2082,woodShapes:cubeTrimDestroyed01,4
2084,woodShapes:cubeTrimDestroyed03,2
2165,woodShapes:shantywall03,1
2181,woodShapes:floorJoist2,5
2203,woodShapes:plateBracketCentered,6
2259,woodShapes:cubeBookcase,6
2265,woodShapes:bookcaseEmpty,5
2268,woodShapes:bookcaseHalfEmpty,1
2272,woodShapes:bookcaseQuarterDoubleEmpty,1
2273,woodShapes:bookcaseQuarterDoubleEmptyOffset,8
2338,woodShapes:farmPlotRaised,1
7051,concreteShapes:cube,243
7066,concreteShapes:cubeHalf,12
7089,concreteShapes:cubeQuarter,2
7175,concreteShapes:plate,9
7205,concreteShapes:plateHalf,18
8203,concreteShapes:cubeTrimHalfSplit,9
8218,concreteShapes:cubeTrimCornerQuarter,2
8273,concreteShapes:cubeTrimQuarterEdge,2
13843,corrugatedMetalShapes:cube,1
13844,corrugatedMetalShapes:cubeFrame,6
13899,corrugatedMetalShapes:cubeHalfPoleCentered,1
13900,corrugatedMetalShapes:pole,10
13901,corrugatedMetalShapes:poleCentered,12
13929,corrugatedMetalShapes:cubePoleCorner,2
13967,corrugatedMetalShapes:plate,13
14079,corrugatedMetalShapes:pillar0.0125Centered,1
14083,corrugatedMetalShapes:pillar0.025Centered,2
14092,corrugatedMetalShapes:pillar0.05Centered,4
14118,corrugatedMetalShapes:pipeThin,1
14455,corrugatedMetalShapes:wedgeNarrowHigh,16
14456,corrugatedMetalShapes:wedgeNarrowMid,16
14457,corrugatedMetalShapes:wedgeNarrowLow,44
14458,corrugatedMetalShapes:wedgeNarrowTip,58
14696,corrugatedMetalShapes:slopePlate01,118
14697,corrugatedMetalShapes:slopePlate02,30
14698,corrugatedMetalShapes:slopePlate03,43
14699,corrugatedMetalShapes:slopePlate04,30
14700,corrugatedMetalShapes:slopeHalfPlateLeft01,14
14701,corrugatedMetalShapes:slopeHalfPlateLeft02,3
14702,corrugatedMetalShapes:slopeHalfPlateLeft03,6
14703,corrugatedMetalShapes:slopeHalfPlateLeft04,6
14704,corrugatedMetalShapes:slopeHalfPlateLeftFiller,6
14705,corrugatedMetalShapes:slopeHalfPlateRight01,14
14706,corrugatedMetalShapes:slopeHalfPlateRight02,3
14707,corrugatedMetalShapes:slopeHalfPlateRight03,6
14708,corrugatedMetalShapes:slopeHalfPlateRight04,6
14709,corrugatedMetalShapes:slopeHalfPlateRightFiller,6
14715,corrugatedMetalShapes:slopePlateFiller,26
14770,corrugatedMetalShapes:pillar50PlatePillar0.05,1
