id,name,count
2,terrainFiller,7532
5,terrDirt,20
16,terrGravel,527
259,woodShapes:cube,565
268,woodShapes:cubeHalfCorner,3
269,woodShapes:cubeHalfCorner2,44
274,woodShapes:cubeHalf,530
281,woodShapes:cube0.25m,2
292,woodShapes:cubeHalfPoleQuarterSideCentered,4
293,woodShapes:halfQuarterPost,14
297,woodShapes:cubeQuarter,5
302,woodShapes:quarterInsideCorner,3
313,woodShapes:cubeHalfPoleCorner,7
314,woodShapes:cubeHalfPoleSideCentered,2
315,woodShapes:cubeHalfPoleCentered,16
316,woodShapes:pole,162
317,woodShapes:poleCentered,48
318,woodShapes:poleSideCentered,30
330,woodShapes:poleSquareCornerBracketLeft,1
336,woodShapes:poleSquareBracketLeft,3
337,woodShapes:poleSquareBracketRight,3
360,woodShapes:catwalkPlate,2
379,woodShapes:cubeHalfPlateCorner,69
380,woodShapes:cubeHalfPlateCorner2,2
383,woodShapes:plate,25
386,woodShapes:plateCladding01,3
413,woodShapes:plateHalf,136
428,woodShapes:platePoleCorner2,18
434,woodShapes:poleThreeWayPlate2,14
538,woodShapes:pillar375,18
741,woodShapes:wedge60,62
742,woodShapes:wedge60Tip,185
748,woodShapes:wedge60Corner,5
749,woodShapes:wedge60TipCorner,9
750,woodShapes:wedge60InsideCorner2,1
751,woodShapes:wedge60InsideCorner,6
754,woodShapes:wedge60Incline,99
766,woodShapes:wedge60InclineCorner,10
826,woodShapes:wedge60SplitLeft03,1
827,woodShapes:wedge60SplitRight03,1
830,woodShapes:wedge60SplitLeft05,1
831,woodShapes:wedge60SplitRight05,1
943,woodShapes:wedgeTipQuarter,28
944,woodShapes:wedgeTipQuarterCorner,1
952,woodShapes:gableQuarterHalf,2
977,woodShapes:cubeHalfgableInvertedQuarter,17
982,woodShapes:pyramidWedge60,1
1003,woodShapes:rampInclineFiller,8
1016,woodShapes:plateDiagonal,2
1019,woodShapes:plateDiagonalFiller,1
1050,woodShapes:plateWedge60TipCubeHalf02,8
1051,woodShapes:plateWedge60Tip,40
1052,woodShapes:plateWedge60TipHalfLeft,4
1053,woodShapes:plateWedge60TipHalfRight,4
1058,woodShapes:plateWedge60Incline,86
1059,woodShapes:plateWedge60InclineHalfLeft,6
