id,name,count
2,terrainFiller,187
14,terrDestroyedStone,581
16,terrGravel,171
17,terrAsphalt,785
259,woodShapes:cube,13
383,woodShapes:plate,24
413,woodShapes:plateHalf,5
1261,woodShapes:catwalkV1RailSingle,3
1265,woodShapes:catwalkV1WedgeRailing,4
2523,brickShapes:cube,642
2538,brickShapes:cubeHalf,107
2539,brickShapes:cubeHalfCentered,74
3495,brickShapes:wedgeTipStairs,32
3609,brickShapes:cubeBaseboard,1
3634,brickShapes:cubeBaseboardChairRail,9
3674,brickShapes:cubeTrimHalfSplit4Sided,15
4328,brickShapes:brickDestroyed01,18
4329,brickShapes:brickDestroyed02,30
4330,brickShapes:brickDestroyed03,9
4333,brickShapes:brickHalfCenteredDestroyed01,1
4334,brickShapes:brickHalfCenteredDestroyed02,2
4335,brickShapes:brickHalfCenteredDestroyed03,2
4336,brickShapes:brickHalfCenteredDestroyed04,3
7051,concreteShapes:cube,586
7066,concreteShapes:cubeHalf,5
7089,concreteShapes:cubeQuarter,49
7091,concreteShapes:quarterCenteredWall,37
7108,concreteShapes:pole,43
7166,concreteShapes:poleSquareCornerRound,1
7175,concreteShapes:plate,10
7663,concreteShapes:wedgeNarrowHigh,7
7664,concreteShapes:wedgeNarrowMid,7
7665,concreteShapes:wedgeNarrowLow,7
7666,concreteShapes:wedgeNarrowTip,7
7985,concreteShapes:stairsFilledQuarterVerticalUV,9
8002,concreteShapes:stairsFilledRailingMetalRight,1
8088,concreteShapes:wedgeNarrowHighLeftTrim2SidedRailEnd,1
8089,concreteShapes:wedgeNarrowMidLeftTrim2SidedRail,1
8090,concreteShapes:wedgeNarrowLowLeftTrim2SidedRail,1
8092,concreteShapes:wedgeNarrowTipLeftTrim2SidedRailEnd,1
8094,concreteShapes:wedgeNarrowHighRightTrim2SidedRailEnd,1
8095,concreteShapes:wedgeNarrowMidRightTrim2SidedRail,1
8096,concreteShapes:wedgeNarrowLowRightTrim2SidedRail,1
8098,concreteShapes:wedgeNarrowTipRightTrim2SidedRailEnd,1
8273,concreteShapes:cubeTrimQuarterEdge,4
8383,concreteShapes:cubeTrimQuarterEdgeTwoSided,32
8389,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,3
8403,concreteShapes:cubeTrimCornerRound,2
11279,steelShapes:securityGatePlate,8
13900,corrugatedMetalShapes:pole,9
13901,corrugatedMetalShapes:poleCentered,24
13967,corrugatedMetalShapes:plate,67
14052,corrugatedMetalShapes:pillar50,18
14081,corrugatedMetalShapes:pillar0.025,2
14272,corrugatedMetalShapes:cornerRound,6
14279,corrugatedMetalShapes:cubeCornerRoundTop,4
14895,corrugatedMetalShapes:catwalkV2RailOnly,1
14909,corrugatedMetalShapes:catwalkV2RailOnlyEndLeft,1
15314,corrugatedMetalShapes:doorTrim1m,57
15323,corrugatedMetalShapes:doorTrimThreeSided,16
15575,corrugatedMetalShapes:windowIndustrial01Full,3
15576,corrugatedMetalShapes:windowIndustrial01Broken01,28
15577,corrugatedMetalShapes:windowIndustrial01Broken02,6
15912,corrugatedMetalShapes:industrialFenceBottom,40
15913,corrugatedMetalShapes:industrialFenceBottomBrokenLeft,5
15914,corrugatedMetalShapes:industrialFenceBottomBrokenRight,5
15915,corrugatedMetalShapes:industrialFenceTop,20
18596,cntWeaponsBagSmall,1
18623,cntShippingCrateHero,1
18832,cntTrashPile02,1
18843,garbage_decor1,4
18844,garbage_decor2,3
18845,garbage_decor3,2
18927,cntBruteStyleTrashCanRandomLootHelper,2
18928,cntDumpster,3
18969,cntCoolerRandomLootHelper,1
18986,cntSportsBag01Red,1
19016,cntBagsRandomLootHelper,4
19028,airConditioner,1
19038,controlPanelBase03,2
19041,controlPanelBase06,1
19043,controlPanelBase08,1
19045,controlPanelTop01,1
