id,name,count
2,terrainFiller,708
16,terrGravel,34
17,terrAsphalt,264
259,woodShapes:cube,19
268,woodShapes:cubeHalfCorner,2
274,woodShapes:cubeHalf,13
316,woodShapes:pole,33
322,woodShapes:poleTwoWayCorner,4
383,woodShapes:plate,2
467,woodShapes:pillar50,8
482,woodShapes:pillar50CenterPlate2,4
705,woodShapes:ramp,26
741,woodShapes:wedge60,28
742,woodShapes:wedge60Tip,28
864,woodShapes:wedge60TipCornerBase,4
865,woodShapes:wedge60TipCornerTop,4
866,woodShapes:wedgeInsideCornerBase,4
867,woodShapes:wedgeInsideCornerTop,4
931,woodShapes:wedgeTipHalf,13
936,woodShapes:platewedgeTipHalf,2
1019,woodShapes:plateDiagonalHalfLeft,2
1020,woodShapes:plateDiagonalHalfRight,2
1025,woodShapes:plateDiagonalFillerDoubleHalf,2
1054,woodShapes:plateWedge60TipHalfLeft,4
1055,woodShapes:plateWedge60TipHalfRight,4
1061,woodShapes:plateWedge60InclineHalfLeft,4
1062,woodShapes:plateWedge60InclineHalfRight,4
1064,woodShapes:plateWedge60FillerHalfLeft,2
1065,woodShapes:plateWedge60FillerHalfRight,2
1354,woodShapes:halfCornerBaseboardOutside,2
1360,woodShapes:halfBaseboardOffset,6
1727,woodShapes:doorTrim0.5m,8
1729,woodShapes:doorTrim1m,24
1737,woodShapes:doorTrimTwoSided,8
2012,woodShapes:arch3mWindowCornerSide,4
2013,woodShapes:arch3mWindowCenterSide,2
2014,woodShapes:arch3mWindowTipSideLeft,2
2015,woodShapes:arch3mWindowTipSideRight,2
2245,woodShapes:plateCounter02,1
2246,woodShapes:plateCounter03,2
2519,brickShapes:cube,215
3604,brickShapes:cubeBaseboard,42
3608,brickShapes:cubeBaseboard2Sided,7
3610,brickShapes:cubeBaseboard4Sided,27
3620,brickShapes:halfBaseboardOffset,5
3740,brickShapes:cubeTrimQuarterEdge,4
3775,brickShapes:cubeTrimQuarterCornerInside,4
4347,brickShapes:cubeTrimDestroyed07,1
7039,concreteShapes:cube,102
7042,concreteShapes:cubeThreeQuarter,15
7079,concreteShapes:quarterCenteredWall,1
7733,concreteShapes:gableHalf,1
7949,concreteShapes:ramp8m07,6
7950,concreteShapes:ramp8m08,6
8260,concreteShapes:cubeTrimQuarterEdge,18
8295,concreteShapes:cubeTrimQuarterCornerInside,1
8370,concreteShapes:cubeTrimQuarterEdgeTwoSided,73
8390,concreteShapes:cubeTrimCornerRound,5
8454,concreteShapes:archQuarterTrimTwoSided,2
8456,concreteShapes:cubeArchQuarterTrim,4
9112,concreteShapes:farmPlot,2
9122,concreteShapes:roadPaintDash,18
9123,concreteShapes:roadPaintDashCNTR,15
9142,concreteShapes:roadPaintArrowStraight,2
9143,concreteShapes:roadPaintArrowLeft,2
9186,concreteShapes:cubeDrainStraight,2
9187,concreteShapes:cubeDrainStraightEnd,6
9189,concreteShapes:cubeDrainEndCap,1
9195,concreteShapes:cubeDrainSideCentered,1
13876,corrugatedMetalShapes:pole,24
13886,corrugatedMetalShapes:poleSquareSideCenteredTee,2
13905,corrugatedMetalShapes:cubePoleCorner,4
14843,corrugatedMetalShapes:catwalkV2Railing2End,1
14851,corrugatedMetalShapes:catwalkV2TipDoubleEndRailing,1
15407,corrugatedMetalShapes:windowStoreOneSidedEmpty,2
15618,corrugatedMetalShapes:windowPanel,1
15739,corrugatedMetalShapes:wallStud,2
15851,corrugatedMetalShapes:ladderRound,5
15995,corrugatedMetalShapes:cubeFacade,2
18571,cntAmmoPileSmall,1
18693,cntCabinetBottomRandomLootHelper,1
18727,wallMountSinkCommercial,1
18743,cntToilet03,1
18761,wallMirrorBroken,1
18804,cntTrashPile06,1
18808,cntTrashPile10,1
18809,cntTrashPile11,1
18820,newspaperDecor01,1
18821,newspaperDecor02,1
18822,newspaperDecor03,4
18823,newspaperDecor04,2
18824,rubbishDecor01,2
18825,rubbishDecor02,5
18826,rubbishDecor03,2
18827,rubbishDecor04,3
18828,rubbishDecor05,8
18831,rubbishDecor09,1
18833,rubbishDecor11,2
18834,rubbishDecor12,2
18835,rubbishDecor13,1
18837,bloodDecor02,2
18892,cntDomedTrashCanCornerRandomLootHelper,1
18896,cntDumpster,1
18985,cntSportsBag01RandomLootHelper,1
18997,airConditionVentFan,5
18998,airConditionVentFanDouble,2
19003,satelliteUnitSmallFloor,1
19103,breakerBoxWallClosed,2
19108,commercialSingleMeter,1
19112,conduit01,1
19117,conduitSingleCentered,1
19125,pushButtonSwitch01,1
19165,motionsensorPOI,1
19278,wallClockRandomLootHelper,1
19329,tvCRT,1
19372,recessedLight,7
19376,lightCeiling07,2
19378,fluorescentLight,2
19395,industrialLight01,1
19461,signExitFrameMount,1
19969,chainlinkFenceTopPlainRail,10
19970,chainlinkFenceTopPlainPoleLeft,2
19971,chainlinkFenceTopPlainPoleRight,2
19972,chainlinkFenceTopPlainCorner,4
20262,cntBirdnest,1
20319,palletBrownBoxesBase,1
20323,palletBrownBoxesLoose,3
20383,palletEmpty,2
20384,palletEmptyStack,1
20905,commercialDoorV2Blue,2
21163,rollUpDoor3x3White,2
21205,ironHatchGrey,1
21266,glassBusinessSheet,4
21900,officeChair01Black,1
22110,decoSodaCanSingle,5
22111,decoSodaCan6Pack,1
22112,decoSodaCan6PackCorner,1
22124,decoWineBottleShelfRow,2
22126,decoWineBottlePile02,3
22448,decoMetalBollard,4
22458,parkingBlockYellow,2
22469,cntNewsDispenseFreeGreen,1
22478,cntVendingMachine2,1
22488,cntVendingMachineSnacksEmptyBroken,1
22492,cntIceMachine,1
22516,cntFreezerBeveragesMiddleEmptyClosed,2
22522,cntFreezerBeveragesMiddleRandomLootHelper,2
22525,cntFreezerBeveragesLeftRandomLootHelper,1
22528,cntFreezerBeveragesRightRandomLootHelper,1
22534,cntStoreShelfSingleBottomEmpty,2
22535,cntStoreShelfSingleTopEmpty,3
22540,cntStoreShelfSingleBottomFoodRandomLootHelper,3
22542,cntStoreShelfSingleTopFoodRandomLootHelper,2
22576,cntShelvesWoodFullA,1
22581,cntShelvesMetalEmpty,3
22797,cashRegisterScanner,1
22798,cntCashRegisterRandomLootHelper,1
22935,cntLiquorPileSmall,2
22936,cntLiquorPileMedium,2
22994,cntFileCabinetTallBlackRandomLootHelper,1
23142,decoHandTruck,1
23391,pipeSmallWall1x1Green,1
23410,pipeSmallWall1x1Blue,1
23429,pipeSmallWall1x1Grey,1
23437,pipeSmallWallOutsideCornerGrey,1
23499,signOpenWallMountChain,1
23552,signDoNotEnterHanging,1
23567,signGunsThinSmoke,1
23676,signMegaCrushAd,2
23686,signSnackPosterHealth,1
23687,signSnackPosterJailBreakers,1
23688,signSnackPosterJerky,1
23689,signSnackPosterNachos,1
23692,signSnackPosterOopsClassic,1
23693,signSnackPosterOops,1
23694,signSnackPosterPrime,1
23695,signSnackPosterRamen,1
23726,signStaffOnly,1
23741,signMiscSurveilledArea,1
23752,signBathroomSignUnisexWallMount,1
23781,signCanvasWood3x1,1
23817,signDecalWood1x1,3
23823,signDecalWood3x1,1
23905,signDecalCorrugatedMetal1x1,1
23997,looseCorrugatedMetalTrapDynamicGrate,1
24493,plantShrubRandomHelper,4
24494,plantHangingIvy01,1
24495,plantHangingIvy02,2
24496,treeDeadTree01,1
24557,treeForestGrassDiagonal,7
24683,sleeperSit,3
24684,sleeperBack,2
24685,sleeperSideLeft,3
24688,sleeperIdle,1
24689,sleeperCrawlerOnly,1
