id,name,count
1,terrStone,1
2,terrainFiller,1868
14,terrDestroyedStone,15
16,terrGravel,98
17,terrAsphalt,850
383,woodShapes:plate,40
484,woodShapes:pillar50CenteredSquareTop,7
1691,woodShapes:doorTrim0.5m,11
1700,woodShapes:doorTrimTop,76
2243,woodShapes:fenceBroken1,1
2444,brickShapes:cube,16
4194,brickShapes:brickHalfDestroyed05,1
6814,concreteShapes:cube,780
7010,concreteShapes:pillar100,10
7294,concreteShapes:wedge60,26
7295,concreteShapes:wedge60Tip,21
7886,concreteShapes:cubeBaseboard,48
8014,concreteShapes:cubeTrimQuarterEdge,202
8124,concreteShapes:cubeTrimQuarterEdgeTwoSided,44
8130,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,13
8136,concreteShapes:cubeTrimQuarterEdgeDouble,6
8141,concreteShapes:cubeTrimCornerRound,4
8145,concreteShapes:cubeTrimQuarterEdgeRound,4
8571,concreteShapes:cubeTrimDestroyed03,2
8592,concreteShapes:concreteDestroyed05,1
8595,concreteShapes:concreteDestroyed08,6
8711,concreteShapes:table,2
8741,concreteShapes:cubeTileBroken,6
9037,steelShapes:cubeQuarter,9
13369,corrugatedMetalShapes:cube,73
13384,corrugatedMetalShapes:cubeHalf,444
13493,corrugatedMetalShapes:plate,4
13494,corrugatedMetalShapes:plateCentered,52
13565,corrugatedMetalShapes:pillar100,4
13576,corrugatedMetalShapes:pillar100Cap,2
13577,corrugatedMetalShapes:pillar50,23
13796,corrugatedMetalShapes:cornerRound,4
13849,corrugatedMetalShapes:wedge60,9
14120,corrugatedMetalShapes:plateDiagonal,2
15165,corrugatedMetalShapes:plateDestroyed03,3
15167,corrugatedMetalShapes:plateDiagonalDestroyed02,1
15169,corrugatedMetalShapes:plateDiagonalDestroyed04,1
15170,corrugatedMetalShapes:plateDiagonalDestroyed05,1
15501,corrugatedMetalShapes:signNumber_2,1
15503,corrugatedMetalShapes:signNumber_4,1
15509,corrugatedMetalShapes:signLetter_a,6
15516,corrugatedMetalShapes:signLetter_h,4
15523,corrugatedMetalShapes:signLetter_o,3
15526,corrugatedMetalShapes:signLetter_r,1
15527,corrugatedMetalShapes:signLetter_s,3
15528,corrugatedMetalShapes:signLetter_t,3
15529,corrugatedMetalShapes:signLetter_u,3
15531,corrugatedMetalShapes:signLetter_w,3
17741,bulletproofShapes:windowStoreThreeSidedBulletproofFull,6
17742,bulletproofShapes:windowStoreFourSidedBulletproofFull,1
17957,cntFoodPileSmallRandomHelper,1
18066,cntCabinetBottomFiller,1
18081,cntCabinetOldBottomLootHelper,1
18088,cntCabinetOldCNRRoundFiller,1
18101,wallMountSinkCommercial,1
18116,cntToilet02,1
18121,bathroomStallDoor,1
18123,bathroomStallSupport,2
18133,cntMedicineCabinetClosedRandomLootHelper,1
18173,cntTrashPile01,1
18174,cntTrashPile02,3
18175,cntTrashPile03,1
18178,cntTrashPile06,1
18179,cntTrashPile07,1
18182,garbage_decor1,2
18184,garbage_decor3,3
18222,cntBinTrashMetalWhiteRandomLootHelper,1
18260,cntDomedTrashCanRandomLootHelper,4
18266,cntBruteStyleTrashCanRandomLootHelper,3
18272,cntDumpsterFlies,1
18353,cntBagsRandomLootHelper,2
18366,airConditionVentFan,4
18380,controlPanelTop01,4
18470,breakerBoxWallClosed,2
18476,commercialDualMeter,1
18551,cntFridgeStainlessSteelRandomLootHelper,1
18626,cntMicrowaveRandomLootHelper,1
18720,lightCeiling07,12
18739,industrialLight01,10
18805,signExitFrameMount,1
18812,deskLampLight,1
18858,streetLight01,3
19308,chainlinkFenceBottomPlain,41
19309,chainlinkFenceBottomPlainPoleLeft,43
19310,chainlinkFenceBottomPlainPoleRight,3
19312,chainlinkFenceTopPlainRail,41
19313,chainlinkFenceTopPlainPoleLeft,43
19314,chainlinkFenceTopPlainPoleRight,3
19461,pictureMediumRandomHelper,1
19506,cntBarrelPlasticSingle45,2
19534,decoCarTireSmallFlat,2
19556,goreBlockHumanCorpse1,2
19614,cinderBlocks01,1
19616,cinderBlocks03,1
19709,palletEmpty,2
20182,commercialBulletproofGlassDoor,1
20194,commercialDoorV1Purple,2
21317,couchModernCorner,2
21401,parkBenchA,1
21650,decoMetalBollard,16
21680,cntVendingMachine2,1
21731,cntFreezerBeveragesStandaloneRandomLootHelper,1
21979,cashRegisterScanner,1
21980,cntCashRegisterRandomLootHelper,1
22271,ladderMetal,6
22443,concreteDestroyed05,12
22444,concreteDestroyed06,9
22445,concreteDestroyed07,6
22448,concreteHalfDestroyed05Left,1
22449,concreteHalfDestroyed05Right,2
22450,concreteHalfDestroyed06,1
22451,concreteHalfDestroyed07Left,1
22466,rubblePileBricksSmall,4
22507,pipeSmall1x1,9
22514,pipeSmallCorner,10
22515,pipeSmallWall1x1,6
22522,pipeSmallWallCorner,2
22607,pipeSmallValveGrey,1
22609,pipeSmallCornerGrey,2
22681,signOpenWallMountFrame,1
22723,signRoadSpeed25noTrucks,1
22899,signBulletinBoard02,1
22917,signBathroomSignUnisexWallMount,1
23059,cntSedan01RandomHelper,1
23313,cntServiceTruckMoPower,1
23386,cntMinivan01AirRandomHelper,1
23648,cntQuestRandomLootHelper,1
23659,sleeperIdle,4
