id,name,count
2,terrainFiller,14952
5,terrDirt,86
14,terrDestroyedStone,1485
16,terrGravel,211
259,woodShapes:cube,398
276,woodShapes:cube0.25m,4
291,woodShapes:cubeQuarter,2
293,woodShapes:quarterCenteredWall,4
300,woodShapes:quarterTeeCentered,1
310,woodShapes:pole,85
312,woodShapes:poleSideCentered,8
315,woodShapes:poleHalfSideCentered,3
320,woodShapes:poleSquareSideCenteredTee,1
375,woodShapes:plate,67
376,woodShapes:plateCentered,10
387,woodShapes:plateCorner,2
388,woodShapes:plateCornerHalfTop,1
405,woodShapes:plateHalf,7
410,woodShapes:plateHalfTriangle,57
411,woodShapes:plateQuarterTriangle,15
415,woodShapes:platePole,7
455,woodShapes:plateQuarterRoundCorner,2
459,woodShapes:pillar50,8
476,woodShapes:pillar50CenteredSquareTop,10
501,woodShapes:pillar0.05Middle,4
687,woodShapes:plateQuarterRoundInside,8
692,woodShapes:plateFenderSkirtLeft,4
693,woodShapes:plateFenderSkirtRight,4
695,woodShapes:ramp,410
702,woodShapes:rampInsideCornerFull,40
710,woodShapes:rampOutsideCornerFull,10
711,woodShapes:rampCorner,29
712,woodShapes:rampCornerFiller,20
729,woodShapes:wedge60,109
730,woodShapes:wedge60Tip,195
737,woodShapes:wedge60TipCorner,4
739,woodShapes:wedge60InsideCorner,6
742,woodShapes:wedge60Incline,50
752,woodShapes:wedge60InclineCorner,2
762,woodShapes:wedge60SlopeMiddle,2
763,woodShapes:wedge60SlopeTip,4
843,woodShapes:wedgeNarrowHigh,20
844,woodShapes:wedgeNarrowMid,20
845,woodShapes:wedgeNarrowLow,44
846,woodShapes:wedgeNarrowTip,17
904,woodShapes:wedgeTipHalf,52
965,woodShapes:gablePyramid,1
978,woodShapes:rampInclineFiller,4
989,woodShapes:plateDiagonal,11
992,woodShapes:plateDiagonalFiller,4
999,woodShapes:plateDiagonalWallLeft,11
1000,woodShapes:plateDiagonalWallRight,7
1018,woodShapes:plateWedge60Tip,1
1025,woodShapes:plateWedge60Incline,3
1144,woodShapes:stairsWinderTip,1
1146,woodShapes:stairsWinderHollowFiller2,1
1147,woodShapes:stairs,15
1159,woodShapes:stairsHollowRailingRight,4
1186,woodShapes:railingFloatRight,4
1189,woodShapes:catwalkV1,3
1197,woodShapes:catwalkV1RailOnly,3
1261,woodShapes:railing,1
1493,woodShapes:cubeTrimHalfSplitDiagonal,18
1611,woodShapes:crownStraight,28
1615,woodShapes:crownInsideCorner,8
1627,woodShapes:doorTrim0.5m,2
1629,woodShapes:doorTrim1m,14
1635,woodShapes:doorTrim2m,7
1636,woodShapes:doorTrimTop,5
1645,woodShapes:windowTrim,24
1646,woodShapes:windowTrimBottom,4
1647,woodShapes:windowTrimSides,1
1680,woodShapes:windowStoreThreeSidedFull,6
1681,woodShapes:windowStoreFourSidedFull,6
1710,woodShapes:windowStoreFourSidedEmpty,2
1872,woodShapes:windowBoarded,17
1877,woodShapes:windowCentered,24
1878,woodShapes:windowPanel,8
1903,woodShapes:cubeTrimDestroyed03,2
1904,woodShapes:cubeTrimDestroyed04,2
1905,woodShapes:cubeTrimDestroyed05,1
1939,woodShapes:plateDestroyed,10
1940,woodShapes:plateDestroyed02,13
1941,woodShapes:plateDestroyed03,2
1942,woodShapes:plateDiagonalDestroyed,1
1943,woodShapes:plateDiagonalDestroyed02,15
1946,woodShapes:plateDiagonalDestroyed05,9
1960,woodShapes:slopePlateDestroyedLeft05,1
1961,woodShapes:slopePlateDestroyedRight05,1
1962,woodShapes:slopePlateDestroyedLeft06,3
1963,woodShapes:slopePlateDestroyedRight06,1
1975,woodShapes:woodDebris01,16
1976,woodShapes:woodDebris02,16
1977,woodShapes:woodDebris03,1
1993,woodShapes:floorJoist,32
2040,woodShapes:coffeeTable,1
2041,woodShapes:table,2
2042,woodShapes:tableDynamic,4
2074,woodShapes:cubeCornerBeveledBookcaseEmpty,1
2079,woodShapes:bookcaseEmpty,1
2087,woodShapes:bookcaseOpenEnded,1
2106,woodShapes:mirror,6
2116,woodShapes:trellisDiamond,14
2129,woodShapes:fenceBroken2,1
2317,brickShapes:cube,186
2319,brickShapes:cubeHalfInsideCorner,4
2326,brickShapes:cubeHalfCorner,36
2349,brickShapes:cubeQuarter,2
2368,brickShapes:pole,40
2371,brickShapes:poleHalf,4
2373,brickShapes:poleHalfSideCentered,2
2374,brickShapes:poleTwoWayCorner,4
2378,brickShapes:poleSquareSideCenteredTee,1
2395,brickShapes:cubePoleCorner,12
2412,brickShapes:polePlateHalf,42
2417,brickShapes:polePlate,6
2433,brickShapes:plate,6
2722,brickShapes:archCurveBase,30
2723,brickShapes:archCurveMiddle,30
2724,brickShapes:archCurveTop,32
2725,brickShapes:archCurveFiller,32
2726,brickShapes:archCurveTopMiddle,1
2729,brickShapes:archCurveWall,22
3388,brickShapes:cubeTrimHalfSplit,85
3396,brickShapes:cubeTrimHalfCorner2,8
3398,brickShapes:cubeTrimHalfEdge2,28
3403,brickShapes:cubeTrimCornerQuarter,8
3551,brickShapes:cubeTrimHalfSplitDiagonal,4
3559,brickShapes:cubeTrimSplitWedge60Right,2
3630,brickShapes:cubeHeatVent,1
3683,brickShapes:doorTrimCorner,2
3703,brickShapes:windowTrim,26
3704,brickShapes:windowTrimBottom,7
3705,brickShapes:windowTrimSides,4
3710,brickShapes:windowTrimTopFancy,1
3737,brickShapes:windowStoreTwoSidedFull,1
3906,brickShapes:windowArchTop,1
3911,brickShapes:windowTopRound,6
3960,brickShapes:cubeTrimDestroyed02,1
3961,brickShapes:cubeTrimDestroyed03,4
4126,brickShapes:counterWallMount,2
4127,brickShapes:counterWallMountRound,4
6433,concreteShapes:cube,4740
6435,concreteShapes:cubeHalfInsideCorner,8
6436,concreteShapes:cubeThreeQuarter,9
6448,concreteShapes:cubeHalf,179
6451,concreteShapes:cubeCornerBeveled,3
6465,concreteShapes:cubeQuarter,215
