id,name,count
17,terrAsphalt,481
259,woodShapes:cube,76
274,woodShapes:cubeHalf,8
316,woodShapes:pole,24
325,woodShapes:poleSquareCenteredTee,56
330,woodShapes:poleSquareCornerBracketLeft,2
332,woodShapes:poleSquareCornerBracketRight,2
351,woodShapes:rampInclineFillerPoleSquareLeft,1
352,woodShapes:rampInclineFillerPoleSquareRight,1
353,woodShapes:rampInclinePoleSquareLeft,3
354,woodShapes:rampInclinePoleSquareRight,3
376,woodShapes:cubeQuarterCenteredSquareTop,1
379,woodShapes:cubeHalfPlateCorner,6
383,woodShapes:plate,28
413,woodShapes:plateHalf,8
444,woodShapes:billboardQuarter,4
445,woodShapes:billboardQuarterTrim,2
447,woodShapes:billboard,5
690,woodShapes:plateHalfCornerRoundLeft,2
691,woodShapes:plateHalfCornerRoundRight,2
705,woodShapes:ramp,32
792,woodShapes:rampInclineHalfLeft,8
793,woodShapes:rampInclineHalfRight,8
929,woodShapes:wedgeTipHalf,14
951,woodShapes:gableHalf,2
968,woodShapes:gableInvertedHalfHalfOffset,12
969,woodShapes:gableInvertedHalfQuarterOffset,2
1002,woodShapes:rampIncline,74
1003,woodShapes:rampInclineFiller,52
1004,woodShapes:rampInclineFillerHalfLeft,6
1005,woodShapes:rampInclineFillerHalfRight,6
1342,woodShapes:cubeBaseboard,12
1367,woodShapes:cubeBaseboardChairRail,2
1471,woodShapes:cubeTrimCenterArrowHalf,4
1723,woodShapes:doorTrimCorner,4
1727,woodShapes:doorTrim1m,7
2120,woodShapes:plateDestroyed03,2
2148,woodShapes:sidingBurnt02,2
2149,woodShapes:sidingBurnt03,1
2517,brickShapes:cube,7
2625,brickShapes:polePlate,7
3665,brickShapes:cubeTrimHalfSplit4Sided,4
3666,brickShapes:cubeTrimHalfSplit,25
7033,concreteShapes:cube,138
8876,concreteShapes:concreteDestroyed05,4
9025,concreteShapes:cubeTileBroken,2
9134,concreteShapes:roadPaintArrowStraight,2
9135,concreteShapes:roadPaintArrowLeft,2
13807,corrugatedMetalShapes:cube,1
14081,corrugatedMetalShapes:pipeThin,1
14083,corrugatedMetalShapes:pipeThinCornerUp,1
15275,corrugatedMetalShapes:doorTrim1m,4
15365,corrugatedMetalShapes:windowStoreTwoSidedFull,1
15366,corrugatedMetalShapes:windowStoreThreeSidedFull,4
15367,corrugatedMetalShapes:windowStoreFourSidedFull,3
15766,corrugatedMetalShapes:dynamicGrate,1
15772,corrugatedMetalShapes:prepTable,2
15795,corrugatedMetalShapes:plateCounterHoleSquare,1
15801,corrugatedMetalShapes:cubeBookcase,2
15816,corrugatedMetalShapes:bookcaseOpenEnded,3
15837,corrugatedMetalShapes:ladderRound,4
18708,utilitySink,1
18709,sinkKitchen,1
18711,wallMountSinkCommercial,1
18727,cntToilet03,1
18746,wallMirrorRandomHelper,1
18796,garbage_decor2,1
18832,cntbinTrashRollingGrey,1
18876,cntDomedTrashCanCornerRandomLootHelper,1
18968,cntBagsRandomLootHelper,1
18981,airConditionVentFan,1
19094,commercialTripleMeter,1
19169,cntFridgeStainlessSteelRandomLootHelper,1
19249,cntMiniBeverageCoolerRandomLootHelper,2
19254,cntCoffeeMaker,1
19255,cntCoffeeMakerCommercial,1
19260,wallClock,1
19333,lightWallGooseneckBlack,1
19336,lightCeilingBulbMountWhite,1
19368,lightPanelLEDGrey,3
19446,signExitFrameMountHigh,1
20165,hubcapNoMine,7
20168,hubCapsHanging2,4
20263,decoCowSkull,1
20500,treePlant02,1
20637,ironDoorBrown,1
20883,commercialDoorV2Brown,1
21185,ironHatchGreen,1
21851,decoPicnicTable,1
21954,barStoolGreen,2
22431,decoMetalBollard,2
23483,signOpenWallMountFrame,1
23651,signDinersMenu,3
23652,signDinersMenu2m,1
23676,signSnackPosterOops,1
23680,signGas01,1
23703,signNotice01,1
23709,signStaffOnly,1
23735,signBathroomSignUnisexWallMount,1
23810,signDecalWood4x2,1
23874,looseBoardsTrapPlate1x1,2
24154,cntPickupTruck3Wide01RandomHelper,1
24578,sleeperSit,1
