id,name,count
2,terrainFiller,1764
16,terrGravel,105
17,terrAsphalt,238
259,woodShapes:cube,141
318,woodShapes:poleSideCentered,9
321,woodShapes:poleHalfSideCentered,1
331,woodShapes:poleSquareSideCenteredCornerBracket,1
335,woodShapes:poleSquareBracketCornerPlate02,3
383,woodShapes:plate,30
428,woodShapes:platePoleCorner2,26
430,woodShapes:poleTwoWayPlate2,4
533,woodShapes:pipeThin,4
741,woodShapes:wedge60,48
742,woodShapes:wedge60Tip,58
748,woodShapes:wedge60Corner,8
749,woodShapes:wedge60TipCorner,16
751,woodShapes:wedge60InsideCorner,14
754,woodShapes:wedge60Incline,14
766,woodShapes:wedge60InclineCorner,8
1005,woodShapes:rampInclineFiller,64
1008,woodShapes:rampInclineInsideCnrFiller,8
1040,woodShapes:plateWedge60RightTip,6
1048,woodShapes:plateWedge60RightHollow,1
1402,woodShapes:counterRound1m,2
2081,woodShapes:cubeTrimDestroyed01,1
2082,woodShapes:cubeTrimDestroyed02,2
2083,woodShapes:cubeTrimDestroyed03,3
2084,woodShapes:cubeTrimDestroyed04,1
2106,woodShapes:concreteDestroyed07,4
2120,woodShapes:plateDestroyed,7
2121,woodShapes:plateDestroyed02,2
2124,woodShapes:plateDiagonalDestroyed02,1
2126,woodShapes:plateDiagonalDestroyed04,1
2145,woodShapes:slopePlateDestroyedLeft07,1
2146,woodShapes:slopePlateDestroyedRight07,2
2150,woodShapes:sidingBurnt02,8
2151,woodShapes:sidingBurnt03,5
2152,woodShapes:sidingBurnt04,4
2153,woodShapes:sidingBurnt05,1
2157,woodShapes:woodDebris02,2
2158,woodShapes:woodDebris03,2
2222,woodShapes:coffeeTable,1
2227,woodShapes:prepTableDynamic,6
2234,woodShapes:cabinetAjar,1
2268,woodShapes:bookcaseQuarterDoubleEmpty,2
2269,woodShapes:bookcaseQuarterDoubleEmptyOffset,1
2294,woodShapes:ladderSquare,1
2311,woodShapes:fenceBroken1,1
2312,woodShapes:fenceBroken2,3
2519,brickShapes:cube,621
2534,brickShapes:cubeHalf,31
2557,brickShapes:cubeQuarter,36
3669,brickShapes:cubeTrimHalfSplit4Sided,21
3670,brickShapes:cubeTrimHalfSplit,168
3673,brickShapes:halfTrimSplit,12
3676,brickShapes:quarterTrimSplit,36
3712,brickShapes:cubeTrimCenterHalf,11
4323,brickShapes:brickDestroyed01,6
4324,brickShapes:brickDestroyed02,11
4325,brickShapes:brickDestroyed03,1
4326,brickShapes:brickDestroyed04,3
4342,brickShapes:cubeTrimDestroyed02,2
4343,brickShapes:cubeTrimDestroyed03,2
7039,concreteShapes:cube,1828
7096,concreteShapes:pole,293
7102,concreteShapes:poleTwoWayCorner,1
7125,concreteShapes:cubePoleCorner,20
7135,concreteShapes:poleSquareTipLeft,2
7136,concreteShapes:poleSquareTipRight,2
7154,concreteShapes:poleSquareCornerRound,8
7193,concreteShapes:plateHalf,19
7196,concreteShapes:plateQuarter,9
8842,concreteShapes:cornerstone,3
8861,concreteShapes:cubeTrimDestroyed01,6
8863,concreteShapes:cubeTrimDestroyed03,10
8864,concreteShapes:cubeTrimDestroyed04,4
8868,concreteShapes:cubeTrimDestroyed08,1
8869,concreteShapes:cubeTrimDestroyed09,4
9033,concreteShapes:cubeTileBroken,3
9112,concreteShapes:farmPlot,1
9116,concreteShapes:plateSidewalkBroke01,4
9119,concreteShapes:plateSidewalkBroke04,2
9123,concreteShapes:roadPaintDashCNTR,72
13819,corrugatedMetalShapes:cube,16
13857,corrugatedMetalShapes:cubeQuarter,22
