id,name,count
259,woodShapes:cube,41
274,woodShapes:cubeHalf,39
317,woodShapes:poleCentered,1
318,woodShapes:poleSideCentered,9
339,woodShapes:poleSquareCenteredBracketDouble,1
380,woodShapes:cubeHalfPlateCorner2,2
383,woodShapes:plate,3
1369,woodShapes:cubeBaseboardChairRail,5
1370,woodShapes:cubeBaseboardChairRail2Sided,3
1380,woodShapes:halfChairRailOffset,7
1384,woodShapes:halfChairRail4Sided,2
1401,woodShapes:counterBottomFiller,8
1402,woodShapes:counterRound1m,3
1410,woodShapes:cubeTrimHalfSplit,1
2058,woodShapes:windowPanel,9
2174,woodShapes:floorJoist,44
2251,woodShapes:counterWallMountRound,1
2256,woodShapes:cubeCornerBeveledBookcaseEmpty,2
3604,brickShapes:cubeBaseboard,3
7039,concreteShapes:cube,1388
7054,concreteShapes:cubeHalf,290
7077,concreteShapes:cubeQuarter,15
7091,concreteShapes:cubeEighth,2
7485,concreteShapes:ramp,3
7972,concreteShapes:stairsFilledQuarterVerticalUV,3
7997,concreteShapes:stairsHollowRailingMetalLeft,2
7998,concreteShapes:stairsHollowRailingMetalRight,5
8037,concreteShapes:stairsHollowRailingMetalFillerLeft,1
8038,concreteShapes:stairsHollowRailingMetalFillerRight,4
8124,concreteShapes:cubeBaseboard,36
8128,concreteShapes:cubeBaseboard2Sided,2
8139,concreteShapes:halfBaseboard,5
8140,concreteShapes:halfBaseboardOffset,2
8149,concreteShapes:cubeBaseboardChairRail,11
8150,concreteShapes:cubeBaseboardChairRail2Sided,9
8151,concreteShapes:cubeBaseboardChairRail3Sided,5
8159,concreteShapes:halfChairRail,5
8160,concreteShapes:halfChairRailOffset,8
8161,concreteShapes:cubeHalfBaseboardChairRail2SidedLeft,1
8162,concreteShapes:cubeHalfBaseboardChairRail2SidedRight,1
8164,concreteShapes:halfChairRail4Sided,8
8190,concreteShapes:cubeTrimHalfSplit,1
8193,concreteShapes:halfTrimSplit,4
8298,concreteShapes:cubeTrimQuarterCornerInside2,2
8304,concreteShapes:cubeTrimQuarterCornerInsideQuad,2
8323,concreteShapes:cubeTrimQuarterCornerDiagonal,2
8338,concreteShapes:cubeTrimQuarterDiagonalFiller2,12
8344,concreteShapes:cubeTrimQuarterEdgeDiagonalFiller2Left,8
8347,concreteShapes:cubeTrimQuarterEdgeDiagonalFiller2Right,6
8350,concreteShapes:cubeTrimQuarterEdgeCornerDiagonalFiller2,2
8385,concreteShapes:cubeTrimQuarterEdgeDouble,11
8388,concreteShapes:cubeTrimQuarterEdgeQuad,3
13819,corrugatedMetalShapes:cube,23
13834,corrugatedMetalShapes:cubeHalf,24
13853,corrugatedMetalShapes:halfQuarterPost,4
13857,corrugatedMetalShapes:cubeQuarter,11
13871,corrugatedMetalShapes:cubeEighth,4
13943,corrugatedMetalShapes:plate,3
14004,corrugatedMetalShapes:billboardQuarter,20
14007,corrugatedMetalShapes:billboard,1
14054,corrugatedMetalShapes:pillar0.0125Centered,8
14247,corrugatedMetalShapes:cornerRound,4
14259,corrugatedMetalShapes:cubeHalfQuarterRoundOutside,2
14301,corrugatedMetalShapes:wedge60,5
14302,corrugatedMetalShapes:wedge60Tip,1
14743,corrugatedMetalShapes:pillar50Platepillar0.0125,6
14752,corrugatedMetalShapes:stairsFilledQuarterVerticalUV,5
14765,corrugatedMetalShapes:stairsRailingMetal,8
14833,corrugatedMetalShapes:catwalkV2Rail,4
14870,corrugatedMetalShapes:catwalkV2RailOnly,2
14877,corrugatedMetalShapes:catwalkV2RailOnlyBentLeft,1
14884,corrugatedMetalShapes:catwalkV2RailOnlyEndLeft,1
14885,corrugatedMetalShapes:catwalkV2RailOnlyEndRight,1
14888,corrugatedMetalShapes:ladderRails,3
15065,corrugatedMetalShapes:cubeTrimQuarterCircle,1
15285,corrugatedMetalShapes:doorTrimCorner,10
15286,corrugatedMetalShapes:doorTrimCornerDouble,2
15289,corrugatedMetalShapes:doorTrim1m,32
15290,corrugatedMetalShapes:doorTrim1mOffCenter,1
15293,corrugatedMetalShapes:doorTrim1mDouble,7
15296,corrugatedMetalShapes:doorTrimTop,2
15306,corrugatedMetalShapes:windowTrimBottom,4
15378,corrugatedMetalShapes:windowStoreOneSidedFull,16
15379,corrugatedMetalShapes:windowStoreTwoSidedFull,9
15380,corrugatedMetalShapes:windowStoreThreeSidedFull,27
15381,corrugatedMetalShapes:windowStoreFourSidedFull,8
15382,corrugatedMetalShapes:windowStoreCornerFull,28
15383,corrugatedMetalShapes:windowStorePaneFull,1
15393,corrugatedMetalShapes:windowStoreOneSidedBroken,5
15394,corrugatedMetalShapes:windowStoreTwoSidedBroken,4
15395,corrugatedMetalShapes:windowStoreThreeSidedBroken,4
15397,corrugatedMetalShapes:windowStoreCornerBroken,5
15550,corrugatedMetalShapes:windowIndustrial01Full,11
15551,corrugatedMetalShapes:windowIndustrial01Broken01,3
15552,corrugatedMetalShapes:windowIndustrial01Broken02,3
15756,corrugatedMetalShapes:bracket,2
15760,corrugatedMetalShapes:trussingCentered,4
15781,corrugatedMetalShapes:fakeDynamicGrate,1
15849,corrugatedMetalShapes:mirror,9
15851,corrugatedMetalShapes:ladderRound,13
15995,corrugatedMetalShapes:cubeFacade,18
15997,corrugatedMetalShapes:cubeFacadeCapCorner,4
15998,corrugatedMetalShapes:cubeFacadeCorner,4
16002,corrugatedMetalShapes:cubeFacadeTileCorner,2
16034,corrugatedMetalShapes:signLetter_a,1
16039,corrugatedMetalShapes:signLetter_f,2
16052,corrugatedMetalShapes:signLetter_s,1
16053,corrugatedMetalShapes:signLetter_t,1
18564,cntWeaponsBagSmall,1
18590,smallPileRandomHelper,1
18602,cntCardboardBox,1
18727,wallMountSinkCommercial,2
18728,counterMountedSinkCommercial,1
18743,cntToilet03,3
18745,drinkingfountainSingle,2
18761,wallMirrorBroken,1
18762,wallMirrorRandomHelper,1
18799,cntTrashPile01,1
18801,cntTrashPile03,1
18802,cntTrashPile04,1
18811,garbage_decor1,5
18812,garbage_decor2,7
18813,garbage_decor3,4
18815,glassBroken_01,4
18816,glassBroken_02,3
18817,glassBroken_03,2
18818,glassBrokenCapLeft,2
18819,glassBrokenCapRight,2
18873,cntBinTrashPlasticEmptyBlack,1
18884,cntBinTrashPlasticBlackRandomLootHelper,2
18892,cntDomedTrashCanCornerRandomLootHelper,5
18895,cntBruteStyleTrashCanRandomLootHelper,3
18896,cntDumpster,1
18909,cntTiltTruckRandomLootHelper,1
19102,breakerBoxBroken,1
19103,breakerBoxWallClosed,1
19104,breakerBoxWallOpen,1
19110,commercialTripleMeter,1
19166,motionsensorLeftPOI,1
19167,motionsensorRightPOI,1
19277,wallClockBroken,3
19376,lightCeiling07,1
19378,fluorescentLight,2
19379,fluorescentLightBayIntact,5
19380,fluorescentLightBayBroken,2
19381,fluorescentLightBayBrokenOff,2
19384,lightPanelLEDGrey,3
19403,lightIndustrialHangingBlack,5
19404,lightSconce,1
19457,endTable,1
19459,signExitLight,2
19461,signExitFrameMount,6
19464,signExitFrameMountHigh2mCentered,1
