id,name,count
17,terrAsphalt,406
259,woodShapes:cube,373
268,woodShapes:cubeHalfCorner,23
274,woodShapes:cubeHalf,152
297,woodShapes:cubeQuarter,5
316,woodShapes:pole,4
320,woodShapes:poleHalfCentered,2
367,woodShapes:polePlate,5
380,woodShapes:cubeHalfPlateCorner2,3
383,woodShapes:plate,44
413,woodShapes:plateHalf,9
423,woodShapes:platePole,2
447,woodShapes:billboard,1
492,woodShapes:pillar100Plate,1
661,woodShapes:arch,24
1010,woodShapes:plateDiagonal,1
1022,woodShapes:plateRamp,26
1023,woodShapes:plateRampCorner,1
1055,woodShapes:plateWedge60Filler,2
1166,woodShapes:platePillar0.025,12
1337,woodShapes:cubeBaseboard4Sided,2
1348,woodShapes:halfBaseboard4Sided,9
1382,woodShapes:counterBottomFiller,36
1383,woodShapes:counterRound1m,12
1496,woodShapes:cubeTrimQuarterCornerInside,2
1571,woodShapes:cubeTrimQuarterEdgeTwoSided,11
1572,woodShapes:cubeHalfTrimQuarterEdgeTwoSided,4
1679,woodShapes:crown,2
1680,woodShapes:crownStraight,25
1681,woodShapes:crownEnd,1
1684,woodShapes:crownInsideCorner,2
1696,woodShapes:doorTrim0.5m,2
2026,woodShapes:windowCentered,6
2027,woodShapes:windowPanel,23
2089,woodShapes:plateDestroyed,10
2090,woodShapes:plateDestroyed02,7
2091,woodShapes:plateDestroyed03,6
2093,woodShapes:plateDiagonalDestroyed02,5
2096,woodShapes:plateDiagonalDestroyed05,2
2112,woodShapes:slopePlateDestroyedLeft06,1
2113,woodShapes:slopePlateDestroyedRight06,1
2125,woodShapes:woodDebris01,6
2126,woodShapes:woodDebris02,4
2127,woodShapes:woodDebris03,6
2210,woodShapes:counterHalfHollowTopOffset,1
2212,woodShapes:counterHollowCombo,2
2216,woodShapes:plateCounterSquareHole,2
2219,woodShapes:counterWallMount,4
2224,woodShapes:cubeBookcase,1
2230,woodShapes:bookcaseEmpty,2
2262,woodShapes:ladderSquare,3
2264,woodShapes:ladderSquareBroken02,1
2304,woodShapes:plateSidewalkBroke01,1
2481,brickShapes:cube,704
2483,brickShapes:cubeHalfInsideCorner,6
2490,brickShapes:cubeHalfCorner,14
2496,brickShapes:cubeHalf,31
2538,brickShapes:pole,15
2589,brickShapes:polePlate,20
2602,brickShapes:cubeHalfPlateCorner2,11
2605,brickShapes:plate,6
3217,brickShapes:halfRampStairs50Filler,2
3406,brickShapes:stairsFilledQuarterVerticalUV,3
3553,brickShapes:cubeBaseboard,16
3613,brickShapes:cubeTrimHalfSplit,27
3618,brickShapes:halfTrimSplit2,7
3636,brickShapes:cubeTrimChevron,2
3683,brickShapes:cubeTrimQuarterEdge,29
3685,brickShapes:halfTrimQuarterEdge,5
4108,brickShapes:windowPlateRoundedSquareHalf3SidedFull,2
4110,brickShapes:windowPlateRoundedSquare2SidedFull,2
4111,brickShapes:windowPlateRoundedSquare3SidedFull,2
4154,brickShapes:arch2mWindow01Top,4
4157,brickShapes:arch2mWindow01Center,2
4203,brickShapes:arch3mWindowCornerSide,6
4204,brickShapes:arch3mWindowCenterSide,3
4221,brickShapes:windowArchTopFilledCentered,1
4226,brickShapes:windowTopRoundFilledCentered,4
