id,name,count
2,terrainFiller,2188
4,terrBedrock,5
5,terrDirt,14578
16,terrGravel,559
259,woodShapes:cube,599
261,woodShapes:cubeHalfInsideCorner,2
268,woodShapes:cubeHalfCorner,1
313,woodShapes:cubeHalfPoleCorner,2
316,woodShapes:pole,218
318,woodShapes:poleSideCentered,17
322,woodShapes:poleTwoWayCorner,16
323,woodShapes:poleThreeWayCorner,8
330,woodShapes:poleSquareCornerBracketLeft,4
333,woodShapes:poleSquareBracketCorner,4
341,woodShapes:poleSquareDouble,18
343,woodShapes:poleSquareDoubleTop,8
344,woodShapes:poleSquareDoubleTopDouble,4
345,woodShapes:cubePoleCorner,4
362,woodShapes:polePlateHalf,6
376,woodShapes:cubeQuarterCenteredSquareTop,1
383,woodShapes:plate,161
413,woodShapes:plateHalf,2
423,woodShapes:platePole,16
424,woodShapes:platePoleSideCentered,2
427,woodShapes:platePoleCorner,12
447,woodShapes:billboard,6
662,woodShapes:arch,4
705,woodShapes:ramp,12
741,woodShapes:wedge60,88
742,woodShapes:wedge60Tip,158
743,woodShapes:wedge60TipHalf,76
744,woodShapes:wedge60TipHalfOutsideCorner,4
748,woodShapes:wedge60Corner,8
749,woodShapes:wedge60TipCorner,8
751,woodShapes:wedge60InsideCorner,4
754,woodShapes:wedge60Incline,68
766,woodShapes:wedge60InclineCorner,4
950,woodShapes:gable3Quarter,9
959,woodShapes:gablePlateHalf,2
1043,woodShapes:plateWedge60FillerWallLeft,2
1044,woodShapes:plateWedge60FillerWallRight,2
1047,woodShapes:plateWedge60Tip,32
1048,woodShapes:plateWedge60TipHalfLeft,4
1049,woodShapes:plateWedge60TipHalfRight,4
1054,woodShapes:plateWedge60Incline,14
1055,woodShapes:plateWedge60InclineHalfLeft,2
1056,woodShapes:plateWedge60InclineHalfRight,2
1057,woodShapes:plateWedge60Filler,14
1058,woodShapes:plateWedge60FillerHalfLeft,2
1059,woodShapes:plateWedge60FillerHalfRight,2
1064,woodShapes:plateWedge60InclineWallLeft,2
1065,woodShapes:plateWedge60InclineWallRight,2
1066,woodShapes:plateWedge60TipWallLeft,2
1067,woodShapes:plateWedge60TipWallRight,2
1186,woodShapes:stairsFilledQuarterVerticalUV,2
1198,woodShapes:stairsRailing,4
1323,woodShapes:railing,42
1326,woodShapes:railingBroke01,31
1336,woodShapes:cubeBaseboard,48
1340,woodShapes:cubeBaseboard2Sided,2
1342,woodShapes:cubeBaseboard4Sided,18
1345,woodShapes:halfCornerBaseboard4Sided,2
1383,woodShapes:rampBaseboard3Sided,3
1402,woodShapes:cubeTrimHalfSplit,2
1503,woodShapes:cubeTrimQuarterCornerOutside,4
1582,woodShapes:cubeTrimQuarterEdgeTwoSided,10
1705,woodShapes:doorTrimCorner,5
1709,woodShapes:doorTrim1m,49
1718,woodShapes:doorTrimThreeSided,2
1725,woodShapes:windowTrim,32
1726,woodShapes:windowTrimBottom,15
1954,woodShapes:window01Broken,6
1956,woodShapes:window01Broken03,6
1957,woodShapes:window01Broken04,2
1959,woodShapes:window01Empty,12
2061,woodShapes:cubeTrimDestroyed01,25
2063,woodShapes:cubeTrimDestroyed03,2
2064,woodShapes:cubeTrimDestroyed04,3
2065,woodShapes:cubeTrimDestroyed05,3
2070,woodShapes:cubeTrimDestroyed10,7
2102,woodShapes:plateDestroyed03,2
2103,woodShapes:plateDiagonalDestroyed,1
2136,woodShapes:woodDebris01,2
2137,woodShapes:woodDebris02,1
2138,woodShapes:woodDebris03,3
2153,woodShapes:sawhorse,1
2233,woodShapes:cubeTileBroken,3
2236,woodShapes:cubeCornerBeveledBookcaseEmpty,3
2239,woodShapes:cubeHalfBookshelfDouble,7
2241,woodShapes:bookcaseEmpty,4
2244,woodShapes:bookcaseHalfEmpty,16
2288,woodShapes:fence,249
2290,woodShapes:fenceCorner,1
2291,woodShapes:fenceBroken1,6
2292,woodShapes:fenceBroken2,6
6979,concreteShapes:cube,231
7425,concreteShapes:ramp,1
8056,concreteShapes:cubeBaseboard,2
8285,concreteShapes:cubeTrimHalfSplitDiagonal,1
9406,steelShapes:billboardHalf,6
13699,corrugatedMetalShapes:cube,120
13714,corrugatedMetalShapes:cubeHalf,16
13823,corrugatedMetalShapes:plate,4
13973,corrugatedMetalShapes:pipeThin,3
14181,corrugatedMetalShapes:wedge60,26
14182,corrugatedMetalShapes:wedge60Tip,40
14194,corrugatedMetalShapes:wedge60Incline,16
14487,corrugatedMetalShapes:plateWedge60Tip,56
14494,corrugatedMetalShapes:plateWedge60Incline,34
14497,corrugatedMetalShapes:plateWedge60Filler,24
14520,corrugatedMetalShapes:plateWedge60TipPipe,1
14611,corrugatedMetalShapes:wedge60InclinePillar0.025,2
14782,corrugatedMetalShapes:cubeBaseboard4Sided,6
15145,corrugatedMetalShapes:doorTrimCorner,10
15149,corrugatedMetalShapes:doorTrim1m,22
15393,corrugatedMetalShapes:window01,3
15394,corrugatedMetalShapes:window01Broken,1
15582,corrugatedMetalShapes:shantywall04,1
15640,corrugatedMetalShapes:dynamicGrate,6
18404,cntWeaponsBagSmall,1
18425,cntFoodPileSmallCorner,1
18428,cntFoodPileSmallRandomHelper,1
18532,cntCabinetBottomFiller,1
18544,cntCupboardCornerCNRRed,2
18547,cntCabinetOldBottomLootHelper,5
18553,cntCounterHollowCabinetOldRandomLootHelper,1
18555,cntCupboardCabinetOldTopLootHelper,3
18564,utilitySink,1
18565,sinkKitchen,1
18567,wallMountSinkCommercial,1
18580,decoClawFootBathTub,1
18583,cntToilet03,1
18601,wallMirrorBroken,1
18638,laundryLoose,1
18639,cntTrashPile01,1
18640,cntTrashPile02,2
18649,garbage_decor1,1
18650,garbage_decor2,1
18651,garbage_decor3,1
18733,cntBruteStyleTrashCanRandomLootHelper,1
18824,cntSportsBag02RandomLootHelper,1
19013,cntRetroFridgeVer1Closed,1
19021,hoodRangeWhite,1
19037,cntStoveRandomLootHelper,1
19053,cntWoodBurningStove,1
19054,cntGasGrillRandomLootHelper,1
19095,cntMicrowaveRandomLootHelper,1
19103,cntCoffeeMaker,1
19106,decoCookingPot,1
19108,wallClock,1
19146,tvCRT,2
19169,lightCeilingBulbMountWhite,4
19181,ceilingLight04,2
19269,ceilingFanLight,3
19274,endTable,2
19275,endTableLamp,1
19316,tableLampLight01CenteredGrey,1
19325,tableLampLight01TippedOverBlue,1
19710,banditPlatform3x3A,2
19782,chainlinkFenceBottomPlain,123
19908,posterCalendarWorkingStiff,1
19938,pictureSmallRandomHelper,4
19939,pictureMediumRandomHelper,1
19954,paintingPictureRandomHelper,1
19974,cntBarrelGasOld,1
20023,decoCarTireStack,2
20040,goreBlockAnimal,1
20042,goreBlockHumanCorpse1,1
20044,goreBlockHumanCorpse2Offset,1
20045,goreBlockHumanCorpse3,1
20075,cntBirdnestCorner,1
20079,modularFireWoodStackA,2
20080,modularFireWoodStackB,4
20082,hayBaleSquare,2
20086,cntTroughPigRandomHelper,1
20094,horseshoe_03,1
20118,cobweb,3
20208,palletBagCowFeedBaseFull,5
20211,palletBagCowFeedCapMed,2
20212,palletBagCowFeedCapSml,2
20350,plantHousePottedBrown,1
20460,oldWoodDoor,1
20470,ironDoorGrey,3
20553,exteriorHouseDoorOldGrey,2
20620,interiorDoorOldGreen,2
20638,tallCabinetDoorBrown,2
20908,steelGarageDoor4x3Grey,1
20991,woodHatch,1
21077,curtainDrapesRod1m,1
21181,curtainDrapesFullTopDirtyYellow,4
21192,curtainDrapesFullTileDirtyYellow,4
21214,curtainDrapesLeftHalfTopDirtyYellow,4
21225,curtainDrapesLeftHalfTileDirtyYellow,4
21247,curtainDrapesRightHalfTopDirtyYellow,3
21258,curtainDrapesRightHalfTileDirtyYellow,3
21357,plainWoodWindowPlugCTRPlate,3
21365,cntMailBox02White,1
21492,cntNightstandRandomLootHelper,1
21659,diningTable01,1
21663,decoPicnicTable,1
21699,woodChair1,4
21700,woodChair1Broken,2
21776,sectionalPlaidChair,1
21783,couchUglySingleRed,1
21784,couchUglySingleOrange,1
21795,couchUglySmallOrange,1
21900,parkBenchB,1
21921,piano,1
21928,decoSwingSet,1
21950,bed02,1
22187,cntRollingToolBoxRandomLootHelperGrey,1
