id,name,count
2,terrainFiller,6910
14,terrDestroyedStone,841
17,terrAsphalt,1748
259,woodShapes:cube,7
282,woodShapes:cubeCornerBeveled,6
383,woodShapes:plate,34
413,woodShapes:plateHalf,16
447,woodShapes:billboard,2
706,woodShapes:ramp,2
1006,woodShapes:rampInclineFiller,4
1020,woodShapes:plateDiagonalHalfLeft,1
1021,woodShapes:plateDiagonalHalfRight,2
1023,woodShapes:plateDiagonalFillerHalfLeft,3
1024,woodShapes:plateDiagonalFillerHalfRight,2
1115,woodShapes:slopePlate04,1
1393,woodShapes:rampBaseboardChairRail3Sided,4
1402,woodShapes:counterBottomFiller,3
1403,woodShapes:counterRound1m,3
1726,woodShapes:doorTrimCorner,1
1728,woodShapes:doorTrim0.5m,2
1730,woodShapes:doorTrim1m,4
1746,woodShapes:windowTrim,5
1819,woodShapes:windowStoreOneSidedFull,21
1820,woodShapes:windowStoreTwoSidedFull,6
1823,woodShapes:windowStoreCornerFull,2
1824,woodShapes:windowStorePaneFull,4
1848,woodShapes:windowStoreOneSidedEmpty,8
2059,woodShapes:windowPanel,55
2226,woodShapes:coffeeTable,1
2249,woodShapes:plateCounter02,29
2250,woodShapes:plateCounter03,20
2259,woodShapes:cubeBookcase,3
2265,woodShapes:bookcaseEmpty,16
2272,woodShapes:bookcaseQuarterDoubleEmpty,4
2274,woodShapes:bookcaseOpenEnded,1
2291,woodShapes:pictureFrame,2
7051,concreteShapes:cube,5645
7060,concreteShapes:cubeHalfCorner,16
7066,concreteShapes:cubeHalf,607
7067,concreteShapes:cubeHalfCentered,8
7073,concreteShapes:cube0.25m,45
7074,concreteShapes:cubeCornerBeveled,14
7085,concreteShapes:halfQuarterPost,4
7089,concreteShapes:cubeQuarter,32
7096,concreteShapes:cubeTee,4
7106,concreteShapes:cubeHalfPoleSideCentered,4
7108,concreteShapes:pole,411
7111,concreteShapes:poleHalf,1
7137,concreteShapes:cubePoleCorner,168
7152,concreteShapes:catwalkPlate,24
7154,concreteShapes:polePlateHalf,10
7159,concreteShapes:polePlate,152
7162,concreteShapes:polePlateCorner,4
7171,concreteShapes:cubeHalfPlateCorner,3
7172,concreteShapes:cubeHalfPlateCorner2,12
7175,concreteShapes:plate,24
7238,concreteShapes:billboardHalf,42
7247,concreteShapes:pillar100,24
7251,concreteShapes:halfPillar1m,6
7262,concreteShapes:pillar50Corner,8
7342,concreteShapes:3mTunnelCenter,4
7346,concreteShapes:3mTunnelCorner,4
7362,concreteShapes:cube5mRound01,4
7363,concreteShapes:cube5mRound02,4
7364,concreteShapes:cube5mRound03,4
7365,concreteShapes:cube5mRound04,4
7498,concreteShapes:ramp,8
7534,concreteShapes:wedge60,5
7535,concreteShapes:wedge60Tip,5
7663,concreteShapes:wedgeNarrowHigh,1
