id,name,count
2,terrainFiller,43140
5,terrDirt,22
17,terrAsphalt,2030
274,woodShapes:cubeHalf,21
383,woodShapes:plate,2
540,woodShapes:pillar25,4
1105,woodShapes:slopePlate01,1
1394,woodShapes:counterRound1m,2
1725,woodShapes:windowTrim,2
2202,woodShapes:coffeeTable,2
2225,woodShapes:plateCounter02,3
2226,woodShapes:plateCounter03,5
2234,woodShapes:cubeHollow,3
2241,woodShapes:bookcaseEmpty,4
4748,cobblestoneShapes:cubeHalfCorner,8
4756,cobblestoneShapes:cubeHalfPoleSquare,14
4766,cobblestoneShapes:cubeHalfSplitBeveledCorner,4
4793,cobblestoneShapes:cubeHalfPoleCorner,3
4825,cobblestoneShapes:cubePoleCorner,12
4935,cobblestoneShapes:pillar100,2
5201,cobblestoneShapes:rampOutsideCornerFull,58
5209,cobblestoneShapes:rampSplitLeft01,1
5344,cobblestoneShapes:wedgeNarrowHigh,22
5345,cobblestoneShapes:wedgeNarrowMid,22
5346,cobblestoneShapes:wedgeNarrowLow,22
5347,cobblestoneShapes:wedgeNarrowTip,22
5667,cobblestoneShapes:stairsFilledVerticalUV,6
5702,cobblestoneShapes:wedgeTipStairs,22
5711,cobblestoneShapes:wedgeStairs,22
5803,cobblestoneShapes:railing,12
5804,cobblestoneShapes:railingDiagonal,2
6189,cobblestoneShapes:doorTrim1m,4
6979,concreteShapes:cube,9006
6988,concreteShapes:cubeHalfCorner,9
6994,concreteShapes:cubeHalf,1387
6996,concreteShapes:cubeHalfPoleSquare,4
7002,concreteShapes:cubeCornerBeveled,82
7003,concreteShapes:cubeCornerBeveledOutsideCorner,6
7017,concreteShapes:cubeQuarter,29
7024,concreteShapes:cubeTee,24
7036,concreteShapes:pole,177
7103,concreteShapes:plate,20
7129,concreteShapes:plateCornerRound1m,8
7182,concreteShapes:quarterPillar1m,8
7382,concreteShapes:arch,4
7425,concreteShapes:ramp,512
7427,concreteShapes:cubeHalfRampTip,8
7450,concreteShapes:rampSplitRight01,1
7462,concreteShapes:wedge60Tip,4
7463,concreteShapes:wedge60TipHalf,110
7464,concreteShapes:wedge60TipHalfOutsideCorner,9
7465,concreteShapes:wedge60TipHalfInsideCorner,8
7907,concreteShapes:stairsFilledVerticalUV,44
7920,concreteShapes:stairsFilledRailingLeft,8
7921,concreteShapes:stairsFilledRailingRight,8
8230,concreteShapes:cubeTrimQuarterCornerInside2,1
8255,concreteShapes:cubeTrimQuarterCornerDiagonal,2
8270,concreteShapes:cubeTrimQuarterDiagonalFiller2,5
8276,concreteShapes:cubeTrimQuarterEdgeDiagonalFiller2Left,2
8279,concreteShapes:cubeTrimQuarterEdgeDiagonalFiller2Right,10
8282,concreteShapes:cubeTrimQuarterEdgeCornerDiagonalFiller2,2
8302,concreteShapes:cubeTrimQuarterEdgeTwoSided,200
8322,concreteShapes:cubeTrimCornerRound,9
8429,concreteShapes:doorTrim1m,4
8788,concreteShapes:cubeTrimDestroyed08,3
8804,concreteShapes:concreteDestroyed05,14
8805,concreteShapes:concreteDestroyed06,13
8806,concreteShapes:concreteDestroyed07,4
8807,concreteShapes:concreteDestroyed08,9
8808,concreteShapes:concreteDestroyed09,5
8809,concreteShapes:concreteDestroyedFiller01,12
8816,concreteShapes:pillar50CornerDestroyed,2
8817,concreteShapes:cubeQuarterBroken,6
9043,concreteShapes:roadPaintDashCNTR,192
9062,concreteShapes:roadPaintArrowStraight,5
9063,concreteShapes:roadPaintArrowLeft,2
9064,concreteShapes:roadPaintArrowRight,3
9149,concreteShapes:plateFacadeTile01,40
13699,corrugatedMetalShapes:cube,32
13823,corrugatedMetalShapes:plate,8
13944,corrugatedMetalShapes:pillar0.025OutsideCorner,4
14636,corrugatedMetalShapes:stairs,5
14638,corrugatedMetalShapes:stairsRailing,1
14662,corrugatedMetalShapes:wedgeTipStairs,16
14763,corrugatedMetalShapes:railing,63
14765,corrugatedMetalShapes:railingCorner,2
14767,corrugatedMetalShapes:bars,80
14768,corrugatedMetalShapes:barsCorner,2
15149,corrugatedMetalShapes:doorTrim1m,2
15155,corrugatedMetalShapes:doorTrim2m,2
15160,corrugatedMetalShapes:doorTrimHalfDouble,16
15241,corrugatedMetalShapes:windowStoreFourSidedFull,3
15395,corrugatedMetalShapes:window01Broken02,62
15396,corrugatedMetalShapes:window01Broken03,32
15397,corrugatedMetalShapes:window01Broken04,28
15398,corrugatedMetalShapes:window01Broken05,2
15400,corrugatedMetalShapes:window02Full,9
15663,corrugatedMetalShapes:counterHollowCombo,2
15665,corrugatedMetalShapes:plateCounter02,8
15680,corrugatedMetalShapes:cubeHalfBookshelfTriple,3
15683,corrugatedMetalShapes:bookcaseFull,16
15854,corrugatedMetalShapes:bowlingGutterCenteredTrim01,4
18316,cntWallSafe,1
18404,cntWeaponsBagSmall,1
18532,cntCabinetBottomFiller,14
18533,cntCabinetBottomRandomLootHelper,19
18540,cntCabinetGraniteSinkHoleRound,14
18541,cntCupboardCabinetRedTopLootHelper,8
18563,cntCounterHollowCabinetTaupeRandomLootHelper,2
18565,sinkKitchen,2
18568,counterMountedSinkCommercial,13
18574,showerHead,14
18579,cntBathTubsRandomLootHelper,14
18581,cntToilet01,12
18582,cntToilet02,2
18634,laundryCartFull,1
18639,cntTrashPile01,3
18640,cntTrashPile02,1
18642,cntTrashPile04,2
18644,cntTrashPile06,1
18645,cntTrashPile07,1
18646,cntTrashPile08,2
18649,garbage_decor1,3
18650,garbage_decor2,3
18651,garbage_decor3,1
18652,glassDebris01,1
18653,glassBroken_01,2
18666,rubbishDecor05,1
18667,rubbishDecor06,7
18668,rubbishDecor08,3
18670,rubbishDecor10,1
18689,cntBinTrashMetalWhiteRandomLootHelper,10
18738,cntDumpsterRandomLootHelper,2
18774,cntJanitorCartRandomLootHelper,1
18815,cntLuggageBigRandomLootHelper,1
18818,cntLuggagePileARandomLootHelper,1
18836,airConditionVentFanDouble,4
18936,breakerBoxClosed,2
18937,breakerBoxOpen,1
18939,breakerBoxWallClosed,1
18944,commercialSingleMeter,1
19020,cntFridgeStainlessSteelRandomLootHelper,1
19030,hoodRangeBlackOffset,1
19039,cntgasRangeGrey,2
19052,cntwallOvenBlackRandomLootHelper,2
19087,cntWasherIndustrialRandomLootHelper,1
19098,cntMiniBeverageCoolerUnderCounter,1
19099,cntMiniBeverageCoolerUnderCounterEmpty,1
19101,cntMiniBeverageCoolerUnderCounterRandomLootHelper,1
19104,cntCoffeeMakerCommercial,1
19105,cntSodaFountain,1
19106,decoCookingPot,1
19117,decoComputerMonitorKeyboardMousePC,2
19121,decoLaptop,1
19133,tvSmallStand1x1Fallen,1
19134,tvSmallWall1x1,1
19135,tvSmallStand2x1,1
19136,tvSmallWall2x1,1
19138,tvLargeWall2x2,2
19154,lightPorchBlack,2
19187,recessedLight,15
19188,recessedLight_2x2,15
19189,recessedLightOffset,8
19190,recessedLight_2x2Offset,38
19219,lightSconce,2
19272,endTable,14
19273,endTableLamp,19
19335,streetLightClassic,6
19905,posterCalendarWorkingStiff,1
19948,paintingPictureRandomHelper,29
20035,goreBlockHumanCorpse,1
20036,goreBlockHumanCorpse1,1
20068,cntBirdnest,1
20322,treePlant02,3
20412,tableSaw,1
20484,exteriorHouseDoorWhite,33
20652,pantryDoorBrown,1
20663,commercialGlassDoorDouble,2
20733,commercialDoorV4White,1
21260,miniblindTopSheet,4
21261,miniblindBottomSheet,6
21335,plywoodOsbCTRPlate,40
21337,plainWoodBarricade02CTRPlate,43
21338,woodBarricadeCTRPlate,1
21467,apartmentSmallMailboxClosedGrey,2
21474,cntNightstandRandomLootHelper,2
21590,cntDeskWoodRandomLootHelper,14
21644,decoTableRound,7
21645,decoPicnicTable,5
21648,umbrellaTableDownRed,3
21659,umbrellaTableUpRed,8
21668,officeChair01,14
21684,oldChair1,33
21689,oldChair1White,2
21747,barStoolBrown,9
21759,sectionalLeatherCouchSofaArm,28
21760,sectionalLeatherCouchSofaCorner,6
21761,sectionalLeatherCouchSofaMiddle,30
21762,sectionalLeatherChair,2
21764,couchUglySingleBrown,1
21786,couchUglyLargeBrown,1
21814,couchModernArmBlack,2
21816,couchModernSectionBlack,2
21896,decoWineBottle,1
21899,decoWineBottlePile01,2
21900,decoWineBottlePile02,1
21930,bed02,12
21936,mattressFlatThin,1
21937,mattressCurled,1
22140,parkingBlockYellow,14
22144,parkingBlockBlue,2
