id,name,count
2,terrainFiller,1600
5,terrDirt,2088
14,terrDestroyedStone,4
15,terrDestroyedWoodDebris,24
16,terrGravel,18
259,woodShapes:cube,475
268,woodShapes:cubeHalfCorner,23
269,woodShapes:cubeHalfCorner2,1
274,woodShapes:cubeHalf,155
281,woodShapes:cube0.25m,29
282,woodShapes:cubeCornerBeveled,1
289,woodShapes:cubeHalfCornerArch,2
297,woodShapes:cubeQuarter,8
316,woodShapes:pole,14
317,woodShapes:poleCentered,2
318,woodShapes:poleSideCentered,4
320,woodShapes:poleHalfCentered,2
321,woodShapes:poleHalfSideCentered,3
332,woodShapes:poleSquareCornerBracketRight,2
334,woodShapes:poleSquareBracketCornerPlate,2
346,woodShapes:cubePoleCentered,2
379,woodShapes:cubeHalfPlateCorner,2
383,woodShapes:plate,24
447,woodShapes:billboard,1
517,woodShapes:pillarCrossSupportFiller,11
518,woodShapes:poleSupport,4
548,woodShapes:3mTubeCenterStraight2,3
601,woodShapes:cube5mDomeMiddle06,1
696,woodShapes:cubeHalfQuarterRoundInside,2
741,woodShapes:wedge60,124
742,woodShapes:wedge60Tip,127
743,woodShapes:wedge60TipHalf,112
744,woodShapes:wedge60TipHalfOutsideCorner,8
745,woodShapes:wedge60TipHalfInsideCorner,4
746,woodShapes:wedge60TipHalfCornerLeft,5
747,woodShapes:wedge60TipHalfCornerRight,6
748,woodShapes:wedge60Corner,19
749,woodShapes:wedge60TipCorner,12
750,woodShapes:wedge60InsideCorner2,8
751,woodShapes:wedge60InsideCorner,6
754,woodShapes:wedge60Incline,20
755,woodShapes:cubeHalfWedge60Incline,15
846,woodShapes:cubeHalfWedge60BevelLeft,1
848,woodShapes:wedge60InclineHalfLeft,4
849,woodShapes:wedge60InclineHalfRight,8
852,woodShapes:wedge60TipHalfLeft,8
853,woodShapes:wedge60TipHalfRight,12
908,woodShapes:wedge60Gable1mLeft,1
913,woodShapes:wedge60TipWedgeTip,1
915,woodShapes:wedge60TipWedgeTipRight,1
939,woodShapes:wedgeTipQuarter,7
950,woodShapes:gable3Quarter,7
954,woodShapes:gable3QuarterHalf,1
979,woodShapes:gableWedge60,4
980,woodShapes:gableWedge60CubeHalf,1
998,woodShapes:rampIncline,3
999,woodShapes:rampInclineFiller,2
1033,woodShapes:plateWedge60LeftTip,2
1034,woodShapes:plateWedge60RightTip,4
1038,woodShapes:plateWedge60HalfOffset,1
1047,woodShapes:plateWedge60Tip,2
1054,woodShapes:plateWedge60Incline,2
1057,woodShapes:plateWedge60Filler,2
1070,woodShapes:plateWedge60InclineWallLeftTrim,1
1072,woodShapes:plateWedge60TipWallLeftTrim,2
1153,woodShapes:ramp6m03,1
1187,woodShapes:stairsFilledVerticalUV,5
