id,name,count
14,terrDestroyedStone,3460
2317,brickShapes:cube,258
2752,brickShapes:ramp,1
3940,brickShapes:brickDestroyed01,17
3941,brickShapes:brickDestroyed02,34
3942,brickShapes:brickDestroyed03,20
6433,concreteShapes:cube,367
7311,concreteShapes:stairsFilledVerticalUV,3
10984,awningShapes:ramp,7
14159,corrugatedMetalShapes:windowIndustrial01Full,8
14160,corrugatedMetalShapes:windowIndustrial01Broken01,11
14161,corrugatedMetalShapes:windowIndustrial01Broken02,6
16824,cntDeskSafe,1
16830,cntGunSafe,1
17157,cntTrashPile04,3
17161,cntTrashPile08,1
17163,garbage_decor1,1
17164,garbage_decor2,1
17165,garbage_decor3,1
17172,scrapMetalPile,9
17651,lightWallGooseneckBlack,1
18490,cinderBlocks01,3
18491,cinderBlocks02,3
18492,cinderBlocks03,2
19105,commercialDoorV1Blue,3
19634,plywoodOsbCTRPlate,5
19636,plainWoodBarricade02CTRPlate,10
19637,woodBarricadeCTRPlate,1
19835,cntDeskMetalFullBlue,1
19925,oldChair1,1
20644,cntBookcaseGoodRandomLootHelper,2
21113,rebarDestroyed,9
21135,concreteDestroyed01,1
21136,concreteDestroyed02,8
21137,concreteDestroyed03,1
21138,concreteDestroyed04,15
22284,sleeperSit,5
22285,sleeperBack,3
22286,sleeperSideLeft,10
22287,sleeperSideRight,4
22288,sleeperStomach,1
22289,sleeperIdle,16
