id,name,count
1,terrStone,42
2,terrainFiller,1406
5,terrDirt,64
10,terrSand,50
16,terrGravel,1828
17,terrAsphalt,5985
259,woodShapes:cube,61
274,woodShapes:cubeHalf,93
297,woodShapes:cubeQuarter,30
316,woodShapes:pole,219
322,woodShapes:poleTwoWayCorner,9
323,woodShapes:poleThreeWayCorner,24
345,woodShapes:cubePoleCorner,21
358,woodShapes:poleSquareDiagonal,4
383,woodShapes:plate,235
413,woodShapes:plateHalf,10
416,woodShapes:plateQuarter,3
418,woodShapes:plateHalfTriangle,8
419,woodShapes:plateQuarterTriangle,2
423,woodShapes:platePole,20
424,woodShapes:platePoleSideCentered,4
427,woodShapes:platePoleCorner,61
431,woodShapes:poleTwoWayPlateCorner,1
447,woodShapes:billboard,1
872,woodShapes:wedgeNarrowMid,12
1031,woodShapes:plateRamp,14
1037,woodShapes:plateRampCornerOutside,5
1101,woodShapes:slopeHalfPlate3mLeft02,1
1112,woodShapes:slopePlate01,117
1113,woodShapes:slopePlate02,58
1114,woodShapes:slopePlate03,74
1115,woodShapes:slopePlate04,97
1402,woodShapes:counterBottomFiller,3
1411,woodShapes:cubeTrimHalfSplit,6
1681,woodShapes:plateTrimSplit,1
1683,woodShapes:plateTrimSplitOutside,6
1734,woodShapes:doorTrim1mDouble,9
2059,woodShapes:windowPanel,3
2121,woodShapes:plateDestroyed,5
2122,woodShapes:plateDestroyed02,3
2123,woodShapes:plateDestroyed03,4
2147,woodShapes:slopePlateDestroyedLeft06,1
2148,woodShapes:slopePlateDestroyedRight06,1
2149,woodShapes:slopePlateDestroyedLeft07,2
2150,woodShapes:slopePlateDestroyedRight07,2
2160,woodShapes:woodDebris01,1
2161,woodShapes:woodDebris02,1
2165,woodShapes:shantywall03,4
2166,woodShapes:shantywall04,1
2177,woodShapes:sawhorse,2
2249,woodShapes:plateCounter02,1
2250,woodShapes:plateCounter03,6
2258,woodShapes:cubeHollow,1
2260,woodShapes:cubeCornerBeveledBookcaseEmpty,1
2272,woodShapes:bookcaseQuarterDoubleEmpty,2
2281,woodShapes:storageCubeHalf,2
2312,woodShapes:fence,58
2314,woodShapes:fenceCorner,2
2315,woodShapes:fenceBroken1,3
2316,woodShapes:fenceBroken2,3
2532,brickShapes:cubeHalfCorner,9
2538,brickShapes:cubeHalf,147
2561,brickShapes:cubeQuarter,24
7051,concreteShapes:cube,478
7239,concreteShapes:billboard,16
7247,concreteShapes:pillar100,7
7249,concreteShapes:pillar100Open,36
7338,concreteShapes:3mTubeCenter,140
7339,concreteShapes:3mTubeCorner,132
7346,concreteShapes:3mTunnelCorner,8
8203,concreteShapes:cubeTrimHalfSplit,8
8251,concreteShapes:cubeTrimCenterTeeHalf,2
8273,concreteShapes:cubeTrimQuarterEdge,12
8304,concreteShapes:cubeTrimQuarterCornerOutside,2
8308,concreteShapes:cubeTrimQuarterCornerInside,2
8336,concreteShapes:cubeTrimQuarterCornerDiagonal,14
8357,concreteShapes:cubeTrimQuarterEdgeDiagonalFiller2Left,56
8363,concreteShapes:cubeTrimQuarterEdgeCornerDiagonalFiller2,14
8398,concreteShapes:cubeTrimQuarterEdgeDouble,92
8403,concreteShapes:cubeTrimCornerRound,4
8407,concreteShapes:cubeTrimQuarterEdgeRound,8
9049,concreteShapes:cubeTileBroken,1
9138,concreteShapes:roadPaintDash,5
9139,concreteShapes:roadPaintDashCNTR,162
9157,concreteShapes:roadPaintHandicapOffset,5
9159,concreteShapes:roadPaintArrowLeft,1
9208,concreteShapes:cubeDrainCentered,1
11767,awningShapes:billboard,2
13380,awningShapes:commercialBlind,2
13843,corrugatedMetalShapes:cube,656
13858,corrugatedMetalShapes:cubeHalf,29
13866,corrugatedMetalShapes:cubeCornerBeveled,4
13900,corrugatedMetalShapes:pole,14
13929,corrugatedMetalShapes:cubePoleCorner,4
13951,corrugatedMetalShapes:polePlate,6
13967,corrugatedMetalShapes:plate,54
13979,corrugatedMetalShapes:plateCorner,2
13997,corrugatedMetalShapes:plateHalf,15
14002,corrugatedMetalShapes:plateHalfTriangle,4
14011,corrugatedMetalShapes:platePoleCorner,4
14030,corrugatedMetalShapes:billboardHalf,2
14031,corrugatedMetalShapes:billboard,1
14052,corrugatedMetalShapes:pillar50,63
14054,corrugatedMetalShapes:pillar50Corner,2
14081,corrugatedMetalShapes:pillar0.025,9
14085,corrugatedMetalShapes:pillar0.025Middle,6
14090,corrugatedMetalShapes:pillar0.05,18
14125,corrugatedMetalShapes:pillar25,16
14254,corrugatedMetalShapes:arch3m,4
14455,corrugatedMetalShapes:wedgeNarrowHigh,32
14456,corrugatedMetalShapes:wedgeNarrowMid,20
14457,corrugatedMetalShapes:wedgeNarrowLow,15
14458,corrugatedMetalShapes:wedgeNarrowTip,12
14546,corrugatedMetalShapes:plateGableIncline,4
14603,corrugatedMetalShapes:plateDiagonal,4
14606,corrugatedMetalShapes:plateDiagonalFiller,50
14615,corrugatedMetalShapes:plateRamp,13
14616,corrugatedMetalShapes:plateRampCorner,1
14621,corrugatedMetalShapes:plateRampCornerOutside,5
14699,corrugatedMetalShapes:slopePlate04,15
14700,corrugatedMetalShapes:slopeHalfPlateLeft01,1
14701,corrugatedMetalShapes:slopeHalfPlateLeft02,1
14702,corrugatedMetalShapes:slopeHalfPlateLeft03,1
14703,corrugatedMetalShapes:slopeHalfPlateLeft04,1
14790,corrugatedMetalShapes:stairsRailingMetal,4
14879,corrugatedMetalShapes:wedgeNarrowHighLeftTrim2SidedRail,1
14881,corrugatedMetalShapes:wedgeNarrowMidLeftTrim2SidedRail,1
14882,corrugatedMetalShapes:wedgeNarrowLowLeftTrim2SidedRail,1
14884,corrugatedMetalShapes:wedgeNarrowTipLeftTrim2SidedRailEnd,1
14885,corrugatedMetalShapes:wedgeNarrowHighRightTrim2SidedRail,1
14887,corrugatedMetalShapes:wedgeNarrowMidRightTrim2SidedRail,1
14888,corrugatedMetalShapes:wedgeNarrowLowRightTrim2SidedRail,1
14889,corrugatedMetalShapes:wedgeNarrowTipRightTrim2SidedRail,1
14895,corrugatedMetalShapes:catwalkV2RailOnly,11
14897,corrugatedMetalShapes:catwalkV2RailOnlyLeftCap,1
14898,corrugatedMetalShapes:catwalkV2RailOnlyRightCap,1
14900,corrugatedMetalShapes:catwalkV2RailOnlyCorner,2
14909,corrugatedMetalShapes:catwalkV2RailOnlyEndLeft,1
14910,corrugatedMetalShapes:catwalkV2RailOnlyEndRight,2
14913,corrugatedMetalShapes:ladderRails,2
14929,corrugatedMetalShapes:cubeBaseboard,36
14933,corrugatedMetalShapes:cubeBaseboard2Sided,3
14945,corrugatedMetalShapes:halfBaseboardOffset,6
14994,corrugatedMetalShapes:cubeTrimHalfSplit4Sided,11
14995,corrugatedMetalShapes:cubeTrimHalfSplit,89
15000,corrugatedMetalShapes:halfTrimSplit2,4
15037,corrugatedMetalShapes:cubeTrimCenterHalf,10
15175,corrugatedMetalShapes:cubeTrimQuarterEdgeTwoSided,28
15181,corrugatedMetalShapes:cubeTrimQuarterCornerOutsideTwoSided,2
15247,corrugatedMetalShapes:wedgeNarrowHighRightTrim2Sided,1
15248,corrugatedMetalShapes:wedgeNarrowMidRightTrim2Sided,1
15249,corrugatedMetalShapes:wedgeNarrowLowRightTrim2Sided,1
15310,corrugatedMetalShapes:doorTrimCorner,42
15314,corrugatedMetalShapes:doorTrim1m,79
15405,corrugatedMetalShapes:windowStoreThreeSidedFull,12
15407,corrugatedMetalShapes:windowStoreCornerFull,12
15420,corrugatedMetalShapes:windowStoreThreeSidedBroken,6
15422,corrugatedMetalShapes:windowStoreCornerBroken,8
15705,corrugatedMetalShapes:plateDestroyed,8
15706,corrugatedMetalShapes:plateDestroyed02,6
15707,corrugatedMetalShapes:plateDestroyed03,6
15711,corrugatedMetalShapes:plateDiagonalDestroyed,1
15714,corrugatedMetalShapes:plateDiagonalDestroyed04,1
15728,corrugatedMetalShapes:slopePlateDestroyedRight04,1
15733,corrugatedMetalShapes:slopePlateDestroyedLeft07,1
15734,corrugatedMetalShapes:slopePlateDestroyedRight07,2
15742,corrugatedMetalShapes:sidingBurnt06,3
15743,corrugatedMetalShapes:sidingBurnt07,6
15744,corrugatedMetalShapes:woodDebris01,3
15745,corrugatedMetalShapes:woodDebris02,1
15746,corrugatedMetalShapes:woodDebris03,1
15749,corrugatedMetalShapes:shantywall03,1
15750,corrugatedMetalShapes:shantywall04,3
15765,corrugatedMetalShapes:floorJoist2,21
15767,corrugatedMetalShapes:wallStud,3
15768,corrugatedMetalShapes:wallStudBroken,3
15809,corrugatedMetalShapes:fakeDynamicGrate,1
15879,corrugatedMetalShapes:ladderRound,10
18629,cntShippingCrateWorkingStiffs,1
18632,cntShippingCrateConstructionSupplies,2
18633,cntGarageStorage,1
18739,cntCabinetOldBottomLootHelper,6
18745,cntCounterHollowCabinetOldRandomLootHelper,1
18747,cntCupboardCabinetOldTopLootHelper,5
18756,utilitySink,1
18757,sinkKitchen,1
18759,wallMountSinkCommercial,4
18775,cntToilet03,4
18777,drinkingfountainSingle,1
18794,wallMirrorRandomHelper,5
18797,cntPillCaseRandomLootHelper,1
18830,laundryLoose,1
18831,cntTrashPile01,4
18832,cntTrashPile02,6
18833,cntTrashPile03,2
18834,cntTrashPile04,1
18837,cntTrashPile07,1
18838,cntTrashPile08,2
18843,garbage_decor1,1
18844,garbage_decor2,1
18845,garbage_decor3,2
18848,glassBroken_02,6
18850,glassBrokenCapLeft,1
18851,glassBrokenCapRight,1
18852,newspaperDecor01,1
18853,newspaperDecor02,1
18854,newspaperDecor03,1
18856,rubbishDecor01,1
18857,rubbishDecor02,2
18859,rubbishDecor04,1
18860,rubbishDecor05,10
18864,rubbishDecor10,2
18865,rubbishDecor11,1
18869,bloodDecor01,2
18872,bloodDecor06,1
18884,cntBinTrashMetalWhiteRandomLootHelper,1
18925,cntDomedTrashCanCornerRandomLootHelper,4
18928,cntBruteStyleTrashCanRandomLootHelper,6
18933,cntDumpsterRandomLootHelper,1
18969,cntJanitorCartRandomLootHelper,1
18985,cntDuffle01,2
19017,cntBagsRandomLootHelper,1
19018,cntSportsBag01RandomLootHelper,2
19019,cntSportsBag02RandomLootHelper,1
19029,airConditioner,3
19032,satelliteUnitLarge,1
19140,commercialSingleMeterDisconnect,2
19150,conduitSingleCentered,15
19151,conduitSingleCenteredEnd,1
19154,conduitSingleOffset,2
19155,conduitSingleOffsetEnd,1
19159,pushButtonSwitch02,1
19187,cntCollapsedGeneratorbank,1
19199,motionsensorLeftPOI,3
19200,motionsensorRightPOI,1
19218,cntFridgeStainlessSteelRandomLootHelper,1
19293,cntMicrowaveRandomLootHelper,1
19303,cntCoffeeMaker,1
19307,decoCookingPotRandomLootHelper,1
19311,wallClockRandomLootHelper,3
19316,radioHam,1
19320,decoComputerMonitorKeyboardMouse,3
19322,decoComputerMonitorKeyboardMouse2,2
19359,tvExtraSmallStandFallen1x1,1
19374,lightWallGooseneckBrown,2
19385,lightCeilingBulbMountWhite,1
19397,ceilingLight04,2
19403,ceilingLight05_PendantBase,2
19405,recessedLight,1
19409,lightCeiling07,5
19411,fluorescentLight,2
19412,fluorescentLightBayIntact,3
19413,fluorescentLightBayBroken,3
19418,lightPanelLEDBlack,15
19428,industrialLight01,3
19430,lightIndustrialRed,1
19507,deskLampLight02Green,1
19546,workLightPOI,1
19548,streetLight01,4
19549,streetLight02,2
19552,streetLightBroken,1
19562,projectorTableTop,1
19580,burningBarrel,1
19978,chainlinkGateDoubleWide,3
19980,chainlinkFenceDoor,3
19981,chainlinkFenceDoorDouble,1
19982,chainlinkFencePole,73
19983,chainlinkFencePole02,6
19984,chainlinkFencePole03,5
19994,chainlinkFenceTopRailBridge,4
19995,chainlinkFenceTopRailPoleLeft,6
19996,chainlinkFenceTopRailPoleRight,6
19998,chainlinkFenceBottomPlain,216
19999,chainlinkFenceBottomPlainPoleLeft,21
20000,chainlinkFenceBottomPlainPoleRight,236
20001,chainlinkFenceBottomPlainCorner,10
20002,chainlinkFenceTopPlainRail,217
20003,chainlinkFenceTopPlainPoleLeft,21
20004,chainlinkFenceTopPlainPoleRight,236
20005,chainlinkFenceTopPlainCorner,10
20031,guardRailStraight,4
20032,guardRailPole,2
20033,guardRailBarrierFlipped,1
20034,guardRailBarrier,1
20103,pictureFrame_01f,1
20104,pictureFrame_01g,1
20105,pictureFrame_01h,1
20119,pictureFrame_01v,1
20127,posterCalendarWorkingStiff,1
20140,pictureDeskFrameRandomHelper,1
20195,cntBarrelGenericSingle00,1
20196,cntBarrelGenericSingle45,1
20212,cntBarrelPlasticSingle45,2
20213,cntBarrelPlasticQuadA,2
20227,decoCarRadiatorFlat,1
20229,decoCarSeatUpright,1
20245,decoCarTireSmallFlat02,1
20265,goreBlockHumanCorpse3,1
