id,name,count
1,terrStone,1806
2,terrainFiller,8870
14,terrDestroyedStone,301
16,terrGravel,98
17,terrAsphalt,685
379,woodShapes:cubeHalfPlateCorner,3
390,woodShapes:plateCladding05,5
444,woodShapes:billboardQuarter,2
2177,woodShapes:sawhorse,1
2523,brickShapes:cube,124
2532,brickShapes:cubeHalfCorner,34
2538,brickShapes:cubeHalf,229
2583,brickShapes:poleHalf,4
2625,brickShapes:polePlateQuarter,9
2626,brickShapes:polePlateHalf,41
2934,brickShapes:arch3m,18
2935,brickShapes:arch3mTip,23
2936,brickShapes:arch3mMiddle,16
4337,brickShapes:brickHalfDestroyed01,2
4338,brickShapes:brickHalfDestroyed02,4
4339,brickShapes:brickHalfDestroyed03,4
4340,brickShapes:brickHalfDestroyed04,2
4342,brickShapes:brickHalfDestroyed06,2
4344,brickShapes:brickHalfDestroyed08,1
4357,brickShapes:cubeHalfTrimStairsFilled,2
7051,concreteShapes:cube,1262
7053,concreteShapes:cubeHalfInsideCorner,8
7060,concreteShapes:cubeHalfCorner,32
7066,concreteShapes:cubeHalf,90
7067,concreteShapes:cubeHalfCentered,32
7074,concreteShapes:cubeCornerBeveled,16
7096,concreteShapes:cubeTee,64
7175,concreteShapes:plate,30
7251,concreteShapes:halfPillar1m,4
7266,concreteShapes:logsWall01,9
7491,concreteShapes:cubeQuarterRoundOutside,3
7498,concreteShapes:ramp,5
7534,concreteShapes:wedge60,2
7535,concreteShapes:wedge60Tip,2
7663,concreteShapes:wedgeNarrowHigh,1
7664,concreteShapes:wedgeNarrowMid,8
7665,concreteShapes:wedgeNarrowLow,3
7666,concreteShapes:wedgeNarrowTip,1
7798,concreteShapes:rampInclineFiller,4
7823,concreteShapes:plateRamp,60
7829,concreteShapes:plateRampCornerOutside,3
7956,concreteShapes:ramp8m01,3
7957,concreteShapes:ramp8m02,3
7958,concreteShapes:ramp8m03,2
7959,concreteShapes:ramp8m04,1
7962,concreteShapes:ramp8m07,4
7963,concreteShapes:ramp8m08,23
8275,concreteShapes:halfTrimQuarterEdge,27
8282,concreteShapes:cubeTrimQuarter2Sided,6
8318,concreteShapes:cubeTrimQuarterEdge2Sided,39
8351,concreteShapes:cubeTrimQuarterDiagonalFiller2,20
8360,concreteShapes:cubeTrimQuarterEdgeDiagonalFiller2Right,6
8894,concreteShapes:concreteDestroyed02,1
8897,concreteShapes:concreteDestroyed05,7
8898,concreteShapes:concreteDestroyed06,10
8899,concreteShapes:concreteDestroyed07,12
8900,concreteShapes:concreteDestroyed08,11
8901,concreteShapes:concreteDestroyed09,2
8902,concreteShapes:concreteDestroyedFiller01,1
8960,concreteShapes:scaffoldingRails,12
9132,concreteShapes:plateSidewalkBroke01,7
9133,concreteShapes:plateSidewalkBroke02,5
9134,concreteShapes:plateSidewalkBroke03,5
9135,concreteShapes:plateSidewalkBroke04,1
9138,concreteShapes:roadPaintDash,26
9139,concreteShapes:roadPaintDashCNTR,28
9160,concreteShapes:roadPaintArrowRight,5
9162,concreteShapes:roadPaintArrowRightStraight,1
9261,concreteShapes:signNumber_1,1
9262,concreteShapes:signNumber_2,1
9263,concreteShapes:signNumber_3,1
13843,corrugatedMetalShapes:cube,13
13858,corrugatedMetalShapes:cubeHalf,11
13866,corrugatedMetalShapes:cubeCornerBeveled,5
13874,corrugatedMetalShapes:cubeHalfCornerBeveled,1
13944,corrugatedMetalShapes:catwalkPlate,4
13967,corrugatedMetalShapes:plate,309
13979,corrugatedMetalShapes:plateCorner,2
13997,corrugatedMetalShapes:plateHalf,21
14000,corrugatedMetalShapes:plateQuarter,4
14052,corrugatedMetalShapes:pillar50,9
14328,corrugatedMetalShapes:wedge60TipHalf,2
14591,corrugatedMetalShapes:rampInclineFillerHalfLeft,1
14603,corrugatedMetalShapes:plateDiagonal,1
14606,corrugatedMetalShapes:plateDiagonalFiller,1
14638,corrugatedMetalShapes:plateWedge60Tip,1
14648,corrugatedMetalShapes:plateWedge60Filler,1
14661,corrugatedMetalShapes:plateWedge60InclineWallLeftTrim,1
14662,corrugatedMetalShapes:plateWedge60InclineWallRightTrim,1
14699,corrugatedMetalShapes:slopePlate04,1
14715,corrugatedMetalShapes:slopePlateFiller,1
14790,corrugatedMetalShapes:stairsRailingMetal,10
14856,corrugatedMetalShapes:catwalkV2RailSingle,30
14895,corrugatedMetalShapes:catwalkV2RailOnly,1
14906,corrugatedMetalShapes:catwalkV2RailOnlyDoubleEndCorner,1
15267,corrugatedMetalShapes:plateTrimSplitOutside,12
15270,corrugatedMetalShapes:plateQuarterCornerTrimLeftOutside,12
15314,corrugatedMetalShapes:doorTrim1m,4
15315,corrugatedMetalShapes:doorTrim1mOffCenter,6
15316,corrugatedMetalShapes:doorTrim1mOffCenterCorner,2
15319,corrugatedMetalShapes:doorTrim1mDoubleCentered,1
15330,corrugatedMetalShapes:windowTrim,4
15331,corrugatedMetalShapes:windowTrimBottom,3
15405,corrugatedMetalShapes:windowStoreThreeSidedFull,3
15406,corrugatedMetalShapes:windowStoreFourSidedFull,1
15407,corrugatedMetalShapes:windowStoreCornerFull,2
15558,corrugatedMetalShapes:window01,7
15694,corrugatedMetalShapes:concreteDestroyedFiller01,7
15705,corrugatedMetalShapes:plateDestroyed,3
15706,corrugatedMetalShapes:plateDestroyed02,6
15711,corrugatedMetalShapes:plateDiagonalDestroyed,2
15716,corrugatedMetalShapes:plateDiagonalDestroyed06,2
15717,corrugatedMetalShapes:plateWedge60InclineDestroyed,1
15728,corrugatedMetalShapes:slopePlateDestroyedRight04,1
15733,corrugatedMetalShapes:slopePlateDestroyedLeft07,3
15734,corrugatedMetalShapes:slopePlateDestroyedRight07,3
15736,corrugatedMetalShapes:slopePlateDestroyedRight08,1
15756,corrugatedMetalShapes:scaffoldingPlankSupportedCenter,1
15762,corrugatedMetalShapes:floorJoist,5
15763,corrugatedMetalShapes:cubeHalfFloorJoist,2
15786,corrugatedMetalShapes:bracketDouble,2
15787,corrugatedMetalShapes:plateBracketCentered,10
15804,corrugatedMetalShapes:airDuctHalfBroken,1
15805,corrugatedMetalShapes:securityGateCentered,1
15807,corrugatedMetalShapes:securityGatePlate,56
15843,corrugatedMetalShapes:cubeBookcase,1
15847,corrugatedMetalShapes:cubeHalfBookshelfDouble,4
15848,corrugatedMetalShapes:cubeHalfBookshelfTriple,1
18621,cntFoodPileSmallCornerRandomHelper,1
18622,smallPileRandomHelper,2
18638,cntLootCrateCarParts,1
18674,cntWoodenChestRottenClosed,1
18739,cntCabinetOldBottomLootHelper,2
18758,pedestalSink,1
18775,cntToilet03,1
18794,wallMirrorRandomHelper,1
18797,cntPillCaseRandomLootHelper,1
18831,cntTrashPile01,1
18834,cntTrashPile04,1
18835,cntTrashPile05,1
18839,cntTrashPile09,1
18842,cntTrashBoxRandomLootHelper,1
18843,garbage_decor1,1
18844,garbage_decor2,1
18845,garbage_decor3,1
18854,newspaperDecor03,2
18855,newspaperDecor04,3
18856,rubbishDecor01,2
18857,rubbishDecor02,1
18859,rubbishDecor04,1
18861,rubbishDecor06,1
18864,rubbishDecor10,1
18865,rubbishDecor11,1
18869,bloodDecor01,2
18870,bloodDecor02,2
18871,bloodDecor05,3
18875,cntbinTrashRollingBrown,1
18908,cntBinTrashPlasticWhiteRandomLootHelper,2
18938,cntDumpsterFliesRandomLootHelper,1
18967,cntJanitorCartFull,1
18970,cntCoolerRandomLootHelper,1
19000,cntSportsBag02Blue,1
19029,airConditioner,2
19031,airConditionVentFanDouble,1
19135,breakerBoxBroken,1
19139,commercialDistributionBox,1
19145,conduit01,12
19146,conduit01End,1
19147,conduit01Curve,2
19309,wallClock,2
19320,decoComputerMonitorKeyboardMouse,2
19324,decoComputerMonitor,1
19405,recessedLight,2
19407,recessedLightOffset,2
19408,recessedLight_2x2Offset,1
19419,lightPanelLEDOffsetWhite,4
19548,streetLight01,1
19580,burningBarrel,1
19857,tarpHangingBlue,1
20127,posterCalendarWorkingStiff,2
20191,cntBarrelGasSingle45,2
20212,cntBarrelPlasticSingle45,2
20230,decoCarSeatFlipped,1
20234,decoCarHoodFlipped,1
20243,decoCarTireStack,2
20244,decoCarWheelFlat,2
20245,decoCarTireSmallFlat02,1
20296,cntBirdnest,1
20414,palletCompressedCardboard,1
20636,plantHouseTallPottedPink,1
20685,oldWoodDoor,2
20686,oldWoodDoorDouble,1
20864,tallCabinetDoorWhite,1
20907,commercialGlassDoorDouble,1
20933,commercialDoorV2White,4
20941,commercialDoorV2Grey,1
20985,commercialDoorV4Grey,2
21208,rollUpDoor5x4White,6
21934,officeChair01Black,2
21945,oldChair1Blue,3
21951,oldChair1BrokenBlue,1
22021,couchUglySingleBrown,1
22387,cntToolBoxRandomLootHelperRed,1
22492,parkingBlockYellow,2
22494,parkingBlockCrooked2Yellow,1
22823,cntBookPileRandomLootHelper2,1
22972,officeDesk,2
23398,concreteDestroyed07,2
23399,concreteDestroyed08,1
23401,concreteHalfDestroyed05Left,1
23402,concreteHalfDestroyed05Right,4
23403,concreteHalfDestroyed06,5
23404,concreteHalfDestroyed07Left,2
